"determinante","n_clusters"
"PROFITS",3
"CREDIT.SCORE",5
"RISK.PROFILE",7
"ADDED.VALUE",3
"FRUGALITY",3
"CLIMATE.PROTECTION",3
"LEGAL",3
"TRUST",5
"SAFETY",4
"COST.EFFICIENCY",5
"KNOWLEDGE",7
"OWN.COMPETENCE",7
"TECHNICAL.FIT",5
"ENVIRONMENTAL.CONCERNS",4
"SELF.SATISFACTION",7
"COMMITMENT",5
"ADHERENCE",6
"AUTARKY",7
"WELLBEING",6
"COZINESS",4
"RIGHTS.AND.DUTIES",2
"PEER.PRESSURE",0
"SUPPORT",1
"SOCIALISING",1
"AGREEMENT",1
"NOVELTY",3
"FUN",1
"RECOGNITION",2
"TRENDS",0
"AUTHORITY",3
"OWN.SIGNIFICANCE",1
"APPROVAL",5
