;FINANCIAL;SECURITY;COMPETENCE;AUTONOMY;PHYSICALNESS;RELATEDNESS;STIMULATION;POPULARITY;MEANING
PROFITS;0,2;0;0;0;0;0;0;0;0
CREDIT SCORE;0,2;0;0;0;0;0;0;0;0
RISK PROFILE;0,2;0;0;0;0;0;0;0;0
ADDED VALUE;0,2;0;0;0;0;0;0;0;0
FRUGALITY;0,2;0;0;0;0;0;0;0;0
CLIMATE PROTECTION;0;0,25;0;0;0;0;0;0;0
LEGAL;0;0,25;0;0;0;0;0;0;0
TRUST;0;0,25;0;0;0;0;0;0;0
SAFETY;0;0,25;0;0;0;0;0;0;0
COST-EFFICIENCY;0;0;0,2;0;0;0;0;0;0
KNOWLEDGE;0;0;0,2;0;0;0;0;0;0
OWN COMPETENCE;0;0;0,2;0;0;0;0;0;0
TECHNICAL FIT;0;0;0,2;0;0;0;0;0;0
ENVIRONMENTAL CONCERNS;0;0;0,2;0;0;0;0;0;0
SELF-SATISFACTION;0;0;0;0,25;0;0;0;0;0
COMMITMENT;0;0;0;0,25;0;0;0;0;0
ADHERENCE;0;0;0;0,25;0;0;0;0;0
AUTARKY;0;0;0;0,25;0;0;0;0;0
WELLBEING;0;0;0;0;0,5;0;0;0;0
COZINESS;0;0;0;0;0,5;0;0;0;0
RIGHTS AND DUTIES;0;0;0;0;0;0,2;0;0;0
PEER-PRESSURE;0;0;0;0;0;0,2;0;0;0
SUPPORT;0;0;0;0;0;0,2;0;0;0
SOCIALISING;0;0;0;0;0;0,2;0;0;0
AGREEMENT;0;0;0;0;0;0,2;0;0;0
NOVELTY;0;0;0;0;0;0;0,333333333;0;0
FUN;0;0;0;0;0;0;0,333333333;0;0
RECOGNITION;0;0;0;0;0;0;0,333333333;0;0
TRENDS;0;0;0;0;0;0;0;0,5;0
AUTHORITY;0;0;0;0;0;0;0;0,5;0
OWN SIGNIFICANCE;0;0;0;0;0;0;0;0;0,5
APPROVAL;0;0;0;0;0;0;0;0;0,5
