Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
633c2b924b90849566ddcec4,6151b616d2a8cac5c41d3899,APPROVED,2022-10-04T12:48:18.140000Z,2022-10-04T13:44:11.113000Z,2022-10-05T13:40:43.838000Z,2022-10-04T13:44:11.539422Z,3353.0,CYDMOCQ1,151,0.0,100.0,49,Male,White,Finland,Finland,Finland,Finnish,No,Full-Time,
633c2b995c96683c83686ab3,5dcd750828792003fc23dc39,APPROVED,2022-10-04T12:53:09.730000Z,2022-10-04T13:09:49.885000Z,2022-10-05T13:40:43.990000Z,2022-10-04T13:09:50.298307Z,1001.0,CYDMOCQ1,741,0.0,100.0,34,Male,White,United Kingdom,Ireland,United Kingdom,English,No,Full-Time,
633c2b9f540c57c551930fea,55b75944fdf99b6e0c49981b,APPROVED,2022-10-04T12:48:31.673000Z,2022-10-04T13:34:20.085000Z,2022-10-05T13:40:44.113000Z,2022-10-04T13:34:20.528922Z,2749.0,CYDMOCQ1,909,4.0,100.0,52,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time,
633c2ba51a28120acdf172e3,5f1bf7bb9f48184274051108,APPROVED,2022-10-04T12:48:37.620000Z,2022-10-04T13:20:14.207000Z,2022-10-05T13:40:44.230000Z,2022-10-04T13:20:15.340789Z,1897.0,CYDMOCQ1,545,3.0,100.0,47,Male,White,France,Ireland,France,French,No,Full-Time,
633c2bb12b6d77942a6bee10,5c41e9263be7b70001fcf4ab,APPROVED,2022-10-04T12:48:49.591000Z,2022-10-04T13:00:17.730000Z,2022-10-05T13:40:44.347000Z,2022-10-04T13:00:18.115354Z,689.0,CYDMOCQ1,929,4.0,100.0,44,Male,White,Ireland,Ireland,Ireland,English,Yes,Full-Time,
633c2bb2e93fdd4a003b2b14,5ed8e10d54fe053fbc756c72,APPROVED,2022-10-04T12:48:50.042000Z,2022-10-04T13:21:07.755000Z,2022-10-05T13:40:44.464000Z,2022-10-04T13:21:08.135151Z,1938.0,CYDMOCQ1,246,0.0,100.0,28,Male,White,Latvia,Latvia,Latvia,Latvian,No,Full-Time,
633c2bba13cf9681d50692be,587905adc34844000174ee45,APPROVED,2022-10-04T12:48:58.121000Z,2022-10-04T13:20:59.662000Z,2022-10-05T13:40:44.580000Z,2022-10-04T13:21:00.048255Z,1922.0,CYDMOCQ1,1259,12.0,99.0,35,Male,White,Finland,Finland,Finland,Finnish,Yes,Full-Time,
633c2bc0c13e7894463a1e9d,615572f02ecfb5a9cd769014,APPROVED,2022-10-04T12:49:38.386000Z,2022-10-04T13:26:44.127000Z,2022-10-05T13:40:44.706000Z,2022-10-04T13:26:44.511526Z,2226.0,CYDMOCQ1,75,1.0,100.0,39,Male,White,Latvia,Latvia,Latvia,Latvian,No,DATA_EXPIRED,
633c2bc170d3457e8d3a1e67,5ea7405befba05108ebec3af,APPROVED,2022-10-04T12:49:05.466000Z,2022-10-04T13:11:54.134000Z,2022-10-05T13:40:44.827000Z,2022-10-04T13:11:54.677378Z,1369.0,CYDMOCQ1,124,0.0,100.0,28,Male,White,Finland,Finland,Finland,Finnish,Yes,Due to start a new job within the next month,
633c2bc563f3ebbbb00f026f,5dd6023dcaee3e5b7ba7a5bc,APPROVED,2022-10-04T12:50:51.228000Z,2022-10-04T13:33:09.088000Z,2022-10-05T13:40:44.945000Z,2022-10-04T13:33:09.565376Z,2538.0,CYDMOCQ1,212,0.0,100.0,25,Male,White,Sweden,Sweden,Sweden,Swedish,No,Unemployed (and job seeking),
633c2bcbfa66985b9842d1e6,5dfc822839bcde9801aac17c,APPROVED,2022-10-04T12:49:15.060000Z,2022-10-04T13:02:17.368000Z,2022-10-05T13:40:45.064000Z,2022-10-04T13:02:17.841662Z,783.0,CYDMOCQ1,271,5.0,98.0,32,Male,White,Sweden,Sweden,Sweden,Swedish,DATA_EXPIRED,Part-Time,
633c2bd4a8704dce8a6c62fc,5f4fa43ff313fc07706bb0fe,APPROVED,2022-10-04T12:49:24.380000Z,2022-10-04T13:27:35.483000Z,2022-10-05T13:40:45.182000Z,2022-10-04T13:27:35.866684Z,2292.0,CYDMOCQ1,289,2.0,100.0,45,Male,White,Finland,Finland,Finland,Finnish,No,Part-Time,
633c2bd8c00e1dfb0c41af1a,5bf6d8146b9e0e0001ed9841,APPROVED,2022-10-04T12:49:28.248000Z,2022-10-04T13:13:53.318000Z,2022-10-05T13:40:45.309000Z,2022-10-04T13:13:53.701474Z,1466.0,CYDMOCQ1,200,1.0,100.0,21,Male,White,Sweden,Sweden,Sweden,Swedish,No,Unemployed (and job seeking),
633c2bdf3a912fa05fab6a3a,60d79860d12471e858c57b6f,APPROVED,2022-10-04T12:49:35.922000Z,2022-10-04T13:24:11.806000Z,2022-10-05T13:40:45.432000Z,2022-10-04T13:24:12.205643Z,2076.0,CYDMOCQ1,71,2.0,98.0,39,Male,White,Romania,Denmark,Romania,Romanian,No,Full-Time,
633c2be0fa76ca4a0517cad0,5c6eb56e1218960001b5e19c,APPROVED,2022-10-04T12:49:38.473000Z,2022-10-04T13:45:18.919000Z,2022-10-05T13:40:45.551000Z,2022-10-04T13:45:19.355151Z,3341.0,CYDMOCQ1,441,6.0,99.0,22,Male,White,Finland,Finland,Finland,Finnish,Yes,Part-Time,
633c2be6a9b19fb39a8b1554,5f0ef1582a709a00093a8b86,APPROVED,2022-10-04T12:49:42.896000Z,2022-10-04T13:03:59.885000Z,2022-10-05T13:40:45.896000Z,2022-10-04T13:04:00.290560Z,857.0,CYDMOCQ1,259,5.0,97.0,27,Male,Asian,India,Ireland,India,Hindi,No,Full-Time,
633c2bf3b6c5646e6bfe63ce,5ea8b5e215996a31e80e5fac,APPROVED,2022-10-04T12:49:55.311000Z,2022-10-04T13:18:42.051000Z,2022-10-05T13:40:46.013000Z,2022-10-04T13:18:42.529895Z,1727.0,CYDMOCQ1,43,0.0,100.0,31,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time,
633c2cf5a0e51456ce42d1dc,5ec96e3609117f0a67231842,APPROVED,2022-10-04T12:59:31.255000Z,2022-10-04T13:27:31.923000Z,2022-10-05T13:40:46.157000Z,2022-10-04T13:27:32.243141Z,1681.0,CYDMOCQ1,912,0.0,100.0,51,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time,
633c2d43da2f2d617ce29535,6107acc592df914a921e2b41,APPROVED,2022-10-04T12:56:51.106000Z,2022-10-04T13:30:17.279000Z,2022-10-05T13:40:46.289000Z,2022-10-04T13:30:17.687632Z,2007.0,CYDMOCQ1,383,4.0,99.0,48,Male,White,Ireland,Ireland,Ireland,English,Yes,Full-Time,
633c2d70618941fe81686acc,5c3211cd24d16c00015b1095,APPROVED,2022-10-04T12:56:16.560000Z,2022-10-04T13:17:25.745000Z,2022-10-05T13:40:46.405000Z,2022-10-04T13:17:26.167542Z,1270.0,CYDMOCQ1,237,1.0,100.0,26,Male,White,Latvia,Latvia,Latvia,Latvian,No,Unemployed (and job seeking),
633c2df7c2466e8af5eded40,60b813c4fc5537ec416c41cd,APPROVED,2022-10-04T12:58:31.762000Z,2022-10-04T13:07:31.497000Z,2022-10-05T13:40:46.524000Z,2022-10-04T13:07:31.897911Z,540.0,CYDMOCQ1,81,1.0,100.0,24,Male,Mixed,Malaysia,Ireland,Ireland,Chinese,Yes,Full-Time,
633c2e297dfb2893c5613fc9,5b45113dcd6a5500018c5dd0,APPROVED,2022-10-04T12:59:21.883000Z,2022-10-04T13:20:51.643000Z,2022-10-05T13:40:46.644000Z,2022-10-04T13:20:51.987773Z,1290.0,CYDMOCQ1,619,0.0,100.0,30,Male,White,Finland,Finland,Finland,Finnish,Yes,Other,
633c2e4dedcf4ef6118b1554,5991980db83f800001a5e38f,APPROVED,2022-10-04T13:00:25.261000Z,2022-10-04T13:23:40.634000Z,2022-10-05T13:40:46.760000Z,2022-10-04T13:23:41.027879Z,1396.0,CYDMOCQ1,329,10.0,94.0,67,Male,White,United Kingdom,Ireland,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
633c2ec39b1f12123a135be0,5c0239caecc5660001424ed6,APPROVED,2022-10-04T13:02:07.946000Z,2022-10-04T13:14:13.419000Z,2022-10-05T13:40:46.875000Z,2022-10-04T13:14:13.774160Z,726.0,CYDMOCQ1,615,9.0,97.0,40,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time,
633c2ffb2057b8bb75328231,5faef6b4d3b259100089b131,APPROVED,2022-10-04T13:08:01.410000Z,2022-10-04T13:33:21.279000Z,2022-10-05T13:40:46.993000Z,2022-10-04T13:33:21.673008Z,1520.0,CYDMOCQ1,56,0.0,100.0,23,Male,White,Denmark,Denmark,Denmark,Danish,No,Unemployed (and job seeking),
633c3041d9107da9d5dcbe27,5ff383ebc2bdeb9a8cfb038b,APPROVED,2022-10-04T13:08:20.219000Z,2022-10-04T13:46:09.411000Z,2022-10-05T13:40:47.112000Z,2022-10-04T13:46:09.823617Z,2270.0,CYDMOCQ1,97,1.0,100.0,20,Male,White,Latvia,Latvia,Latvia,Latvian,Yes,Part-Time,
633c319d5ffb1a69f48b1500,5c61cbf25434430001870681,APPROVED,2022-10-04T13:14:25.029000Z,2022-10-04T13:49:33.987000Z,2022-10-05T13:40:47.265000Z,2022-10-04T13:49:35.328239Z,2109.0,CYDMOCQ1,244,1.0,100.0,26,Male,White,Sweden,Sweden,Sweden,Swedish,No,Full-Time,
633c31c1a0d4ee83ab72e2c6,59d40cd1c732930001d8896c,APPROVED,2022-10-04T13:14:41.871000Z,2022-10-04T13:31:54.711000Z,2022-10-05T13:40:47.378000Z,2022-10-04T13:31:55.150154Z,1033.0,CYDMOCQ1,219,1.0,100.0,23,Male,White,Finland,Finland,Finland,Finnish,Yes,Unemployed (and job seeking),
633c31ea8b69c75ea517cb16,5f392fae9168cc472f0468f6,APPROVED,2022-10-04T13:15:33.939000Z,2022-10-04T13:34:29.822000Z,2022-10-05T13:40:47.496000Z,2022-10-04T13:34:30.236842Z,1136.0,CYDMOCQ1,348,1.0,100.0,75,Male,White,Ireland,Ireland,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
633c325979946eb354c6cd83,5f861a972534c8146ae39d0e,APPROVED,2022-10-04T13:17:19.338000Z,2022-10-04T13:35:18.609000Z,2022-10-05T13:40:47.622000Z,2022-10-04T13:35:19.003930Z,1080.0,CYDMOCQ1,168,1.0,100.0,39,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time,
633c325a30fd0c96d7376540,5fa23c9b64b18a4067cc842e,APPROVED,2022-10-04T13:17:16.686000Z,2022-10-04T13:50:04.279000Z,2022-10-05T13:40:47.740000Z,2022-10-04T13:50:04.642613Z,1968.0,CYDMOCQ1,512,0.0,100.0,36,Male,Asian,Vietnam,Finland,Vietnam,Vietnamese,No,Full-Time,
633c332f03427953667b2d46,5dc75ca46bba9b53c23a76af,APPROVED,2022-10-04T13:20:47.395000Z,2022-10-04T13:36:17.375000Z,2022-10-05T13:40:47.886000Z,2022-10-04T13:36:17.790656Z,930.0,CYDMOCQ1,383,7.0,98.0,40,Male,White,Italy,Finland,Italy,Italian,DATA_EXPIRED,Full-Time,
