cluster,determinant_id,centroid,determinant_label,overall_mean,difference_from_overall
Cluster 1,profits,34.86486486486486,Beneficio económico,47.75155279503105,-12.88668793016619
Cluster 1,fun,19.783783783783782,Diversión,25.198757763975152,-5.41497398019137
Cluster 1,recognition,14.675675675675675,Reconocimiento,18.97515527950311,-4.299479603827434
Cluster 1,cost_efficiency,63.189189189189186,Eficiencia de costes,66.88819875776397,-3.6990095685747875
Cluster 1,authority,22.7027027027027,Autoridad,26,-3.2972972972972983
Cluster 2,cost_efficiency,25.666666666666668,Eficiencia de costes,66.88819875776397,-41.2215320910973
Cluster 2,autarky,22.583333333333332,Autosuficiencia,59.86335403726709,-37.28002070393376
Cluster 2,profits,20.166666666666668,Beneficio económico,47.75155279503105,-27.584886128364385
Cluster 2,credit_score_access_to_funding,38.916666666666664,Acceso a financiación,61.701863354037265,-22.7851966873706
Cluster 2,trends,9.083333333333334,Tendencias,31.211180124223603,-22.127846790890267
Cluster 3,agreement,44.32,Acuerdo,67.8136645962733,-23.493664596273298
Cluster 3,socialising,10.52,Sociabilidad,30.018633540372672,-19.498633540372673
Cluster 3,peer_pressure,22.28,Presión social,38.16149068322981,-15.881490683229806
Cluster 3,self_satisfaction,59.28,Satisfacción personal,72.00931677018633,-12.72931677018633
Cluster 3,recognition,7.44,Reconocimiento,18.97515527950311,-11.535155279503108
Cluster 4,environmental_concerns,71,Preocupación ambiental,75.74534161490683,-4.745341614906835
Cluster 4,climate_protection,70.3,Protección climática,74.74844720496894,-4.448447204968943
Cluster 4,adherence,71.3,Persistencia,72.54037267080746,-1.24037267080746
Cluster 4,knowledge,80.2,Conocimiento,79.40372670807453,0.7962732919254734
Cluster 4,commitment,79.5,Compromiso,75.96894409937889,3.531055900621112
Cluster 5,trends,14.785714285714286,Tendencias,31.211180124223603,-16.425465838509318
Cluster 5,own_significance,51.285714285714285,Significado personal,64.0248447204969,-12.739130434782616
Cluster 5,support,48.964285714285715,Apoyo social,59.38819875776397,-10.423913043478258
Cluster 5,peer_pressure,29,Presión social,38.16149068322981,-9.161490683229808
Cluster 5,added_value,54.285714285714285,Valor añadido,62.62732919254658,-8.341614906832298
Cluster 6,knowledge,66.48717948717949,Conocimiento,79.40372670807453,-12.91654722089504
Cluster 6,technical_fit,67.46153846153847,Adecuación técnica,78.17391304347827,-10.712374581939798
Cluster 6,legal,60.717948717948715,Cumplimiento legal,70.72049689440993,-10.002548176461218
Cluster 6,commitment,67.17948717948718,Compromiso,75.96894409937889,-8.789456919891705
Cluster 6,self_satisfaction,63.23076923076923,Satisfacción personal,72.00931677018633,-8.778547539417097
Cluster 7,own_competence,19.3,Competencia propia,59.90683229813665,-40.60683229813665
Cluster 7,legal,36.8,Cumplimiento legal,70.72049689440993,-33.920496894409936
Cluster 7,risk_profile,34.7,Perfil de riesgo,60.06832298136646,-25.368322981366454
Cluster 7,socialising,8.9,Sociabilidad,30.018633540372672,-21.11863354037267
Cluster 7,rights_and_duties,47.1,Derechos y deberes,67.68012422360249,-20.58012422360249
Cluster 8,own_competence,27.928571428571427,Competencia propia,59.90683229813665,-31.978260869565222
Cluster 8,novelty,13.357142857142858,Novedad,42.10248447204969,-28.74534161490683
Cluster 8,climate_protection,46.5,Protección climática,74.74844720496894,-28.24844720496894
Cluster 8,socialising,7,Sociabilidad,30.018633540372672,-23.018633540372672
Cluster 8,own_significance,42.92857142857143,Significado personal,64.0248447204969,-21.09627329192547
