row_id,participant_id,source_survey,identifier_type,n_non_missing,country_clean,residence_region,has_country,n_sociodemographic_non_missing,n_key_sociodemographic_non_missing,line_check_answer,check_42_answer,check_4_answer,strongly_disagree_answer,line_check_status,check_42_status,check_4_status,strongly_disagree_status,pass_line_check,pass_42_check,pass_4_check,pass_strongly_disagree_check,fail_line_check,fail_42_check,fail_4_check,fail_strongly_disagree_check,no_response_line_check,no_response_42_check,no_response_4_check,no_response_strongly_disagree_check,no_response_attention_check,failed_attention_check,failed_attention_check_decision,failed_attention_check_other,failed_attention_check_any,problematic_merge_flag,duplicate_n,duplicate_rank,duplicated_participant,n_determinants_valid,determinant_sd,possible_straightlining,row_quality
184,184,decision,sin_identificador,110,Spain,Europa del Sur,TRUE,14,5,The bottom line is the longest.,42.,NA,NA,falla,pasa,no_responde,no_responde,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,FALSE,23,21.55744233804425,FALSE,attention_check_fallido
191,191,decision,sin_identificador,97,Netherlands,Europa Occidental,TRUE,14,5,The middle line is the longest.,The questionnaire is difficult to follow.,NA,NA,falla,falla,no_responde,no_responde,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,FALSE,12,15.962788166877553,FALSE,attention_check_fallido
198,198,decision,sin_identificador,143,Netherlands,Europa Occidental,TRUE,14,5,All lines are the same length.,The questionnaire is difficult to follow.,NA,NA,pasa,falla,no_responde,no_responde,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,FALSE,31,16.050793033032583,FALSE,attention_check_fallido
201,201,decision,sin_identificador,100,Spain,Europa del Sur,TRUE,14,5,The bottom line is the longest.,42.,NA,NA,falla,pasa,no_responde,no_responde,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,FALSE,32,25.423648344824358,FALSE,attention_check_fallido
202,202,decision,sin_identificador,61,NA,NA,FALSE,0,0,NA,42.,NA,NA,no_responde,pasa,no_responde,no_responde,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,31,38.20443030099593,FALSE,sin_sociodemografico
204,204,decision,sin_identificador,43,Spain,Europa del Sur,TRUE,13,5,All lines are the same length.,I prefer not to answer.,NA,NA,pasa,falla,no_responde,no_responde,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,FALSE,10,23.861638203982935,FALSE,attention_check_fallido
208,208,decision,sin_identificador,110,Spain,Europa del Sur,TRUE,14,5,All lines are the same length.,The survey has been easy so far.,NA,NA,pasa,falla,no_responde,no_responde,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,FALSE,19,32.03744154608344,FALSE,attention_check_fallido
212,212,decision,sin_identificador,45,NA,NA,FALSE,0,0,NA,The questionnaire is difficult to follow.,NA,NA,no_responde,falla,no_responde,no_responde,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,FALSE,22,23.907333729644677,FALSE,attention_check_fallido
214,214,decision,sin_identificador,136,Spain,Europa del Sur,TRUE,14,5,All lines are the same length.,42.,NA,NA,pasa,pasa,no_responde,no_responde,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,32,0,TRUE,usable
215,215,decision,sin_identificador,69,Spain,Europa del Sur,TRUE,14,5,All lines are the same length.,The questionnaire is difficult to follow.,NA,NA,pasa,falla,no_responde,no_responde,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,FALSE,10,25.974560203741234,FALSE,attention_check_fallido
