participant_id,year_of_birth,gender,country,residence_region,city_size,climate_zone,employment,education_level,work_home,type_house,tenure,political_orientation_raw,technology_col,experience_raw,technology,experience_clean,education_group,political_orientation,age_group,experience_short
PROLIFIC_6a229a11e392c08625a712bd,1988,Female,Bulgaria,Eastern Europe,Large city,Warm/Mediterranean climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Other household type,Homeowner without mortgage,49,for_each_of_the_following_technologies_decisions_or_behaviours_balcony_solar_kits_final,I am aware of this and could consider it in the future,Balcony solar kits,I am aware of this and could consider it in the future,University education,Centre,Millennials,Aware / would consider
PROLIFIC_6a229a11e392c08625a712bd,1988,Female,Bulgaria,Eastern Europe,Large city,Warm/Mediterranean climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Other household type,Homeowner without mortgage,49,for_each_of_the_following_technologies_decisions_or_behaviours_change_of_electricity_tariff_e_g_switching_to_a_time_of_use_tariff_final,"I am unaware of this technology, decision, or behaviour",Electricity tariff change,"I am unaware of this technology, decision, or behaviour",University education,Centre,Millennials,Unaware
PROLIFIC_6a229a11e392c08625a712bd,1988,Female,Bulgaria,Eastern Europe,Large city,Warm/Mediterranean climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Other household type,Homeowner without mortgage,49,for_each_of_the_following_technologies_decisions_or_behaviours_cooling_system_final,"I am unaware of this technology, decision, or behaviour",Cooling system,"I am unaware of this technology, decision, or behaviour",University education,Centre,Millennials,Unaware
PROLIFIC_6a229a11e392c08625a712bd,1988,Female,Bulgaria,Eastern Europe,Large city,Warm/Mediterranean climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Other household type,Homeowner without mortgage,49,for_each_of_the_following_technologies_decisions_or_behaviours_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system_final,I am aware of this and could consider it in the future,Domestic hot water system,I am aware of this and could consider it in the future,University education,Centre,Millennials,Aware / would consider
PROLIFIC_6a229a11e392c08625a712bd,1988,Female,Bulgaria,Eastern Europe,Large city,Warm/Mediterranean climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Other household type,Homeowner without mortgage,49,for_each_of_the_following_technologies_decisions_or_behaviours_electric_vehicle_final,I am aware of this and could consider it in the future,Electric vehicle,I am aware of this and could consider it in the future,University education,Centre,Millennials,Aware / would consider
PROLIFIC_6a229a11e392c08625a712bd,1988,Female,Bulgaria,Eastern Europe,Large city,Warm/Mediterranean climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Other household type,Homeowner without mortgage,49,for_each_of_the_following_technologies_decisions_or_behaviours_elevator_final,Already present when I moved in,Elevator,Already present when I moved in,University education,Centre,Millennials,Already present
PROLIFIC_6a229a11e392c08625a712bd,1988,Female,Bulgaria,Eastern Europe,Large city,Warm/Mediterranean climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Other household type,Homeowner without mortgage,49,for_each_of_the_following_technologies_decisions_or_behaviours_energy_efficient_appliances_final,I am aware of this and could consider it in the future,Energy-efficient appliances,I am aware of this and could consider it in the future,University education,Centre,Millennials,Aware / would consider
PROLIFIC_6a229a11e392c08625a712bd,1988,Female,Bulgaria,Eastern Europe,Large city,Warm/Mediterranean climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Other household type,Homeowner without mortgage,49,for_each_of_the_following_technologies_decisions_or_behaviours_energy_storage_systems_final,"I am unaware of this technology, decision, or behaviour",Energy storage systems,"I am unaware of this technology, decision, or behaviour",University education,Centre,Millennials,Unaware
PROLIFIC_6a229a11e392c08625a712bd,1988,Female,Bulgaria,Eastern Europe,Large city,Warm/Mediterranean climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Other household type,Homeowner without mortgage,49,for_each_of_the_following_technologies_decisions_or_behaviours_envelope_renovation_e_g_wall_roof_insulation_double_windows_final,I have installed / implemented / am currently doing this myself,Envelope renovation,I have installed / implemented / am currently doing this myself,University education,Centre,Millennials,Implemented
PROLIFIC_6a229a11e392c08625a712bd,1988,Female,Bulgaria,Eastern Europe,Large city,Warm/Mediterranean climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Other household type,Homeowner without mortgage,49,for_each_of_the_following_technologies_decisions_or_behaviours_fosil_fuel_or_biomass_based_heating_system_final,I would never apply / use it,Fossil fuel or biomass heating,I would never apply / use it,University education,Centre,Millennials,Would never use it
