group,experience_short,n,total_group,percentage
Boomers + generación silenciosa,Ya estaba presente,153,1533,9.980430528375733
Boomers + generación silenciosa,Implementada,409,1533,26.679712981082844
Boomers + generación silenciosa,Buscó información,192,1533,12.524461839530332
Boomers + generación silenciosa,La conoce / la consideraría,477,1533,31.115459882583167
Boomers + generación silenciosa,No la conoce,176,1533,11.480756686236138
Boomers + generación silenciosa,Nunca la usaría,126,1533,8.21917808219178
Generación X,Ya estaba presente,173,1550,11.161290322580646
Generación X,Implementada,336,1550,21.677419354838708
Generación X,Buscó información,212,1550,13.67741935483871
Generación X,La conoce / la consideraría,502,1550,32.387096774193544
Generación X,No la conoce,152,1550,9.806451612903226
Generación X,Nunca la usaría,175,1550,11.29032258064516
Generación Z,Ya estaba presente,68,572,11.888111888111888
Generación Z,Implementada,87,572,15.209790209790212
Generación Z,Buscó información,77,572,13.461538461538462
Generación Z,La conoce / la consideraría,145,572,25.34965034965035
Generación Z,No la conoce,141,572,24.65034965034965
Generación Z,Nunca la usaría,54,572,9.44055944055944
Millennials,Ya estaba presente,266,2203,12.074443940081707
Millennials,Implementada,332,2203,15.070358601906491
Millennials,Buscó información,376,2203,17.067635043123015
Millennials,La conoce / la consideraría,636,2203,28.869723104857016
Millennials,No la conoce,359,2203,16.295960054471177
Millennials,Nunca la usaría,234,2203,10.6218792555606
