group,experience_short,n,total_group,percentage
Centro,Ya estaba presente,130,1133,11.47396293027361
Centro,Implementada,207,1133,18.27007943512798
Centro,Buscó información,182,1133,16.063548102383056
Centro,La conoce / la consideraría,274,1133,24.18358340688438
Centro,No la conoce,183,1133,16.15180935569285
Centro,Nunca la usaría,157,1133,13.857016769638127
Derecha,Ya estaba presente,44,444,9.90990990990991
Derecha,Implementada,93,444,20.945945945945947
Derecha,Buscó información,79,444,17.792792792792792
Derecha,La conoce / la consideraría,133,444,29.954954954954953
Derecha,No la conoce,52,444,11.711711711711711
Derecha,Nunca la usaría,43,444,9.684684684684685
Extrema derecha,Ya estaba presente,16,93,17.20430107526882
Extrema derecha,Implementada,14,93,15.053763440860216
Extrema derecha,Buscó información,20,93,21.50537634408602
Extrema derecha,La conoce / la consideraría,22,93,23.655913978494624
Extrema derecha,No la conoce,15,93,16.129032258064516
Extrema derecha,Nunca la usaría,6,93,6.451612903225806
Extrema izquierda,Ya estaba presente,252,2165,11.639722863741339
Extrema izquierda,Implementada,433,2165,20
Extrema izquierda,Buscó información,297,2165,13.718244803695152
Extrema izquierda,La conoce / la consideraría,686,2165,31.685912240184756
Extrema izquierda,No la conoce,300,2165,13.856812933025402
Extrema izquierda,Nunca la usaría,197,2165,9.099307159353348
Izquierda,Ya estaba presente,207,1954,10.59365404298874
Izquierda,Implementada,385,1954,19.703172978505627
Izquierda,Buscó información,312,1954,15.967246673490276
Izquierda,La conoce / la consideraría,592,1954,30.296827021494373
Izquierda,No la conoce,271,1954,13.868986693961105
Izquierda,Nunca la usaría,187,1954,9.570112589559878
