group,experience_short,n,total_group,percentage
Alquiler,Ya estaba presente,211,1369,15.412710007304604
Alquiler,Implementada,171,1369,12.490869247626005
Alquiler,Buscó información,205,1369,14.974433893352812
Alquiler,La conoce / la consideraría,395,1369,28.85317750182615
Alquiler,No la conoce,238,1369,17.384952520087655
Alquiler,Nunca la usaría,149,1369,10.883856829802776
Otro régimen,Ya estaba presente,23,200,11.5
Otro régimen,Implementada,33,200,16.5
Otro régimen,Buscó información,25,200,12.5
Otro régimen,La conoce / la consideraría,60,200,30
Otro régimen,No la conoce,40,200,20
Otro régimen,Nunca la usaría,19,200,9.5
Propiedad con hipoteca,Ya estaba presente,173,1625,10.646153846153846
Propiedad con hipoteca,Implementada,359,1625,22.092307692307692
Propiedad con hipoteca,Buscó información,219,1625,13.476923076923079
Propiedad con hipoteca,La conoce / la consideraría,458,1625,28.184615384615384
Propiedad con hipoteca,No la conoce,222,1625,13.661538461538461
Propiedad con hipoteca,Nunca la usaría,194,1625,11.938461538461539
Propiedad sin hipoteca,Ya estaba presente,266,2777,9.578682030968672
Propiedad sin hipoteca,Implementada,608,2777,21.89413035649982
Propiedad sin hipoteca,Buscó información,442,2777,15.916456607850199
Propiedad sin hipoteca,La conoce / la consideraría,869,2777,31.29276197335254
Propiedad sin hipoteca,No la conoce,354,2777,12.747569319409436
Propiedad sin hipoteca,Nunca la usaría,238,2777,8.570399711919336
