participant_id,year_of_birth,gender,country,residence_region,city_size,climate_zone,employment,education_level,work_home,type_house,tenure,political_orientation_raw,technology_col,experience_raw,technology,experience_clean,education_group,political_orientation,age_group,experience_short
PROLIFIC_6a229a11e392c08625a712bd,1988,Mujer,Bulgaria,Europa del Este,Ciudad grande,Clima subtropical,Empleado/a,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Otro tipo de hogar,Propiedad sin hipoteca,49,for_each_of_the_following_technologies_decisions_or_behaviours_balcony_solar_kits_final,I am aware of this and could consider it in the future,Kits solares de balcón,I am aware of this and could consider it in the future,Universitaria,Centro,Millennials,La conoce / la consideraría
PROLIFIC_6a229a11e392c08625a712bd,1988,Mujer,Bulgaria,Europa del Este,Ciudad grande,Clima subtropical,Empleado/a,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Otro tipo de hogar,Propiedad sin hipoteca,49,for_each_of_the_following_technologies_decisions_or_behaviours_change_of_electricity_tariff_e_g_switching_to_a_time_of_use_tariff_final,"I am unaware of this technology, decision, or behaviour",Cambio de tarifa eléctrica,"I am unaware of this technology, decision, or behaviour",Universitaria,Centro,Millennials,No la conoce
PROLIFIC_6a229a11e392c08625a712bd,1988,Mujer,Bulgaria,Europa del Este,Ciudad grande,Clima subtropical,Empleado/a,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Otro tipo de hogar,Propiedad sin hipoteca,49,for_each_of_the_following_technologies_decisions_or_behaviours_cooling_system_final,"I am unaware of this technology, decision, or behaviour",Sistema de refrigeración,"I am unaware of this technology, decision, or behaviour",Universitaria,Centro,Millennials,No la conoce
PROLIFIC_6a229a11e392c08625a712bd,1988,Mujer,Bulgaria,Europa del Este,Ciudad grande,Clima subtropical,Empleado/a,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Otro tipo de hogar,Propiedad sin hipoteca,49,for_each_of_the_following_technologies_decisions_or_behaviours_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system_final,I am aware of this and could consider it in the future,Agua caliente sanitaria,I am aware of this and could consider it in the future,Universitaria,Centro,Millennials,La conoce / la consideraría
PROLIFIC_6a229a11e392c08625a712bd,1988,Mujer,Bulgaria,Europa del Este,Ciudad grande,Clima subtropical,Empleado/a,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Otro tipo de hogar,Propiedad sin hipoteca,49,for_each_of_the_following_technologies_decisions_or_behaviours_electric_vehicle_final,I am aware of this and could consider it in the future,Vehículo eléctrico,I am aware of this and could consider it in the future,Universitaria,Centro,Millennials,La conoce / la consideraría
PROLIFIC_6a229a11e392c08625a712bd,1988,Mujer,Bulgaria,Europa del Este,Ciudad grande,Clima subtropical,Empleado/a,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Otro tipo de hogar,Propiedad sin hipoteca,49,for_each_of_the_following_technologies_decisions_or_behaviours_elevator_final,Already present when I moved in,Ascensor,Already present when I moved in,Universitaria,Centro,Millennials,Ya estaba presente
PROLIFIC_6a229a11e392c08625a712bd,1988,Mujer,Bulgaria,Europa del Este,Ciudad grande,Clima subtropical,Empleado/a,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Otro tipo de hogar,Propiedad sin hipoteca,49,for_each_of_the_following_technologies_decisions_or_behaviours_energy_efficient_appliances_final,I am aware of this and could consider it in the future,Electrodomésticos eficientes,I am aware of this and could consider it in the future,Universitaria,Centro,Millennials,La conoce / la consideraría
PROLIFIC_6a229a11e392c08625a712bd,1988,Mujer,Bulgaria,Europa del Este,Ciudad grande,Clima subtropical,Empleado/a,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Otro tipo de hogar,Propiedad sin hipoteca,49,for_each_of_the_following_technologies_decisions_or_behaviours_energy_storage_systems_final,"I am unaware of this technology, decision, or behaviour",Almacenamiento energético,"I am unaware of this technology, decision, or behaviour",Universitaria,Centro,Millennials,No la conoce
PROLIFIC_6a229a11e392c08625a712bd,1988,Mujer,Bulgaria,Europa del Este,Ciudad grande,Clima subtropical,Empleado/a,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Otro tipo de hogar,Propiedad sin hipoteca,49,for_each_of_the_following_technologies_decisions_or_behaviours_envelope_renovation_e_g_wall_roof_insulation_double_windows_final,I have installed / implemented / am currently doing this myself,Renovación de envolvente,I have installed / implemented / am currently doing this myself,Universitaria,Centro,Millennials,Implementada
PROLIFIC_6a229a11e392c08625a712bd,1988,Mujer,Bulgaria,Europa del Este,Ciudad grande,Clima subtropical,Empleado/a,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Otro tipo de hogar,Propiedad sin hipoteca,49,for_each_of_the_following_technologies_decisions_or_behaviours_fosil_fuel_or_biomass_based_heating_system_final,I would never apply / use it,Calefacción fósil o biomasa,I would never apply / use it,Universitaria,Centro,Millennials,Nunca la usaría
