participant_id,renovation_age_col,renovation_age_raw,technology_index,renovation_age_clean,technology,experience_clean
PROLIFIC_6a229a11e392c08625a712bd,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_elevator_final,Never or more than 25 years ago,6,Hace más de 25 años / nunca actualizada,Ascensor,Already present when I moved in
PROLIFIC_6a229a11e392c08625a712bd,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_envelope_renovation_e_g_wall_roof_insulation_double_windows_final,"Yes, between 15 and 5 years ago",9,Hace 5-15 años,Renovación de envolvente,I have installed / implemented / am currently doing this myself
PROLIFIC_69f0ef9892bba1b2c3596e76,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system_final,I do not know,4,No lo sé,Agua caliente sanitaria,Already present when I moved in
PROLIFIC_69f0ef9892bba1b2c3596e76,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_electric_vehicle_final,"Yes, less than 5 years ago",5,Hace menos de 5 años,Vehículo eléctrico,I have installed / implemented / am currently doing this myself
PROLIFIC_69f0ef9892bba1b2c3596e76,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_elevator_final,I do not know,6,No lo sé,Ascensor,Already present when I moved in
PROLIFIC_69f0ef9892bba1b2c3596e76,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_energy_efficient_appliances_final,I do not know,7,No lo sé,Electrodomésticos eficientes,I have installed / implemented / am currently doing this myself
PROLIFIC_69f0ef9892bba1b2c3596e76,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_energy_storage_systems_final,I do not know,8,No lo sé,Almacenamiento energético,I have installed / implemented / am currently doing this myself
PROLIFIC_69f0ef9892bba1b2c3596e76,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_envelope_renovation_e_g_wall_roof_insulation_double_windows_final,I do not know,9,No lo sé,Renovación de envolvente,Already present when I moved in
PROLIFIC_69f0ef9892bba1b2c3596e76,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_fosil_fuel_or_biomass_based_heating_system_final,I do not know,10,No lo sé,Calefacción fósil o biomasa,I have installed / implemented / am currently doing this myself
PROLIFIC_69f0ef9892bba1b2c3596e76,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_heat_pump_based_heating_system_final,I do not know,11,No lo sé,Bomba de calor,I have installed / implemented / am currently doing this myself
PROLIFIC_69f0ef9892bba1b2c3596e76,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_heat_recovery_mechanical_ventilation_final,I do not know,12,No lo sé,Ventilación con recuperador,I have installed / implemented / am currently doing this myself
