"","Early Adopter","Uninterested","Homo Economicus","Fearful","Stubborn","Influencer","Careful","Activist"
"pattern_2",0,0,0,0,0,0,0,0
"pattern_21",0.1,0.1,0,0,0,0.25,0,0
"pattern_10",0.181818181818182,0.0833333333333333,0.0666666666666667,0.0666666666666667,0.111111111111111,0.333333333333333,0.0555555555555556,0
"pattern_29",0.285714285714286,0,0.333333333333333,0.2,0.5,0.142857142857143,0.153846153846154,0.125
"pattern_15",0.142857142857143,0,0.222222222222222,0.1,0.25,0,0.0769230769230769,0.142857142857143
"pattern_63",0.2,0.0909090909090909,0.0714285714285714,0.0714285714285714,0.125,0.375,0.0588235294117647,0
"pattern_28",0.166666666666667,0.166666666666667,0.411764705882353,0.6,0.2,0.111111111111111,0.588235294117647,0.3125
"pattern_140",0.0909090909090909,0.0909090909090909,0,0,0,0.222222222222222,0,0
"pattern_82",0.166666666666667,0.166666666666667,0.0625,0.0625,0.1,0.444444444444444,0.0526315789473684,0
"pattern_57",0.166666666666667,0.105263157894737,0.411764705882353,0.5,0.2,0.176470588235294,0.5,0.3125
"pattern_352",0.0833333333333333,0.0833333333333333,0.0666666666666667,0.0666666666666667,0,0.2,0.0555555555555556,0
"pattern_22",0.166666666666667,0.166666666666667,0.411764705882353,0.6,0.2,0.176470588235294,0.5,0.3125
"pattern_92",0,0,0.111111111111111,0.111111111111111,0,0,0.0833333333333333,0
"pattern_113",0.166666666666667,0.105263157894737,0.333333333333333,0.5,0.2,0.176470588235294,0.588235294117647,0.3125
"pattern_142",0.222222222222222,0,0.0769230769230769,0.0769230769230769,0.142857142857143,0.428571428571429,0.0625,0
"pattern_24",0,0,0,0,0,0.166666666666667,0,0
"pattern_68",0.0909090909090909,0.0909090909090909,0,0,0,0.222222222222222,0,0
"pattern_5",0.125,0,0.0909090909090909,0.0909090909090909,0.2,0.333333333333333,0.0714285714285714,0
"pattern_48",0.25,0,0.3,0.3,0.4,0.125,0.230769230769231,0.111111111111111
