"cluster","expert","vol_cluster","vol_expert","vol_common","pct_cluster_covered","pct_expert_covered","jaccard"
"cluster_1","Early.Adopter",0,6,0,0,0,0
"cluster_1","Uninterested",0,6,0,0,0,0
"cluster_1","Homo.Economicus",0,9,0,0,0,0
"cluster_1","Fearful",0,9,0,0,0,0
"cluster_1","Stubborn",0,3,0,0,0,0
"cluster_1","Influencer",0,5,0,0,0,0
"cluster_1","Careful",0,12,0,0,0,0
"cluster_1","Activist",0,6,0,0,0,0
"cluster_2","Early.Adopter",5,6,1,20,16.6666666666667,10
"cluster_2","Uninterested",5,6,1,20,16.6666666666667,10
"cluster_2","Homo.Economicus",5,9,0,0,0,0
"cluster_2","Fearful",5,9,0,0,0,0
"cluster_2","Stubborn",5,3,0,0,0,0
"cluster_2","Influencer",5,5,2,40,40,25
"cluster_2","Careful",5,12,0,0,0,0
"cluster_2","Activist",5,6,0,0,0,0
"cluster_3","Early.Adopter",3,6,2,66.6666666666667,33.3333333333333,28.5714285714286
"cluster_3","Uninterested",3,6,0,0,0,0
"cluster_3","Homo.Economicus",3,9,3,100,33.3333333333333,33.3333333333333
"cluster_3","Fearful",3,9,2,66.6666666666667,22.2222222222222,20
"cluster_3","Stubborn",3,3,2,66.6666666666667,66.6666666666667,50
"cluster_3","Influencer",3,5,1,33.3333333333333,20,14.2857142857143
"cluster_3","Careful",3,12,2,66.6666666666667,16.6666666666667,15.3846153846154
"cluster_3","Activist",3,6,1,33.3333333333333,16.6666666666667,12.5
"cluster_4","Early.Adopter",15,6,3,20,50,16.6666666666667
"cluster_4","Uninterested",15,6,3,20,50,16.6666666666667
"cluster_4","Homo.Economicus",15,9,7,46.6666666666667,77.7777777777778,41.1764705882353
"cluster_4","Fearful",15,9,9,60,100,60
"cluster_4","Stubborn",15,3,3,20,100,20
"cluster_4","Influencer",15,5,2,13.3333333333333,40,11.1111111111111
"cluster_4","Careful",15,12,10,66.6666666666667,83.3333333333333,58.8235294117647
"cluster_4","Activist",15,6,5,33.3333333333333,83.3333333333333,31.25
"cluster_5","Early.Adopter",8,6,2,25,33.3333333333333,16.6666666666667
"cluster_5","Uninterested",8,6,2,25,33.3333333333333,16.6666666666667
"cluster_5","Homo.Economicus",8,9,1,12.5,11.1111111111111,6.25
"cluster_5","Fearful",8,9,1,12.5,11.1111111111111,6.25
"cluster_5","Stubborn",8,3,1,12.5,33.3333333333333,10
"cluster_5","Influencer",8,5,4,50,80,44.4444444444444
"cluster_5","Careful",8,12,1,12.5,8.33333333333333,5.26315789473684
"cluster_5","Activist",8,6,0,0,0,0
"cluster_6","Early.Adopter",15,6,4,26.6666666666667,66.6666666666667,23.5294117647059
"cluster_6","Uninterested",15,6,3,20,50,16.6666666666667
"cluster_6","Homo.Economicus",15,9,6,40,66.6666666666667,33.3333333333333
"cluster_6","Fearful",15,9,7,46.6666666666667,77.7777777777778,41.1764705882353
"cluster_6","Stubborn",15,3,3,20,100,20
"cluster_6","Influencer",15,5,3,20,60,17.6470588235294
"cluster_6","Careful",15,12,6,40,50,28.5714285714286
"cluster_6","Activist",15,6,4,26.6666666666667,66.6666666666667,23.5294117647059
