"pattern_id","cluster"
1,1
2,1
3,1
4,1
5,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
19,1
21,1
22,1
23,1
26,1
28,1
29,1
30,1
31,1
32,1
33,1
36,1
38,1
39,1
40,1
43,1
44,1
45,1
46,1
47,1
50,1
51,1
52,1
53,1
56,1
57,1
59,1
60,1
61,1
62,1
63,1
64,1
66,1
68,1
69,1
70,1
71,1
73,1
74,1
77,1
78,1
79,1
81,1
82,1
83,1
91,1
93,1
95,1
96,1
97,1
105,1
108,1
111,1
114,1
115,1
118,1
120,1
124,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
6,2
15,2
16,2
17,2
18,2
20,2
24,2
25,2
27,2
34,2
35,2
37,2
41,2
42,2
48,2
49,2
54,2
55,2
58,2
65,2
67,2
72,2
75,2
76,2
80,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
92,2
94,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
106,2
107,2
109,2
110,2
112,2
113,2
116,2
117,2
119,2
121,2
122,2
123,2
125,2
