"","expert_1","expert_2","expert_3","expert_4","expert_5","expert_6","expert_7","expert_8","expert_9"
"pattern_1",15,17,9,6,9,22,18,11,15
"pattern_2",9,13,5,8,7,14,8,7,9
"pattern_3",15,15,7,8,7,18,14,9,9
"pattern_4",15,11,13,16,13,10,8,15,13
"pattern_5",0,14,14,15,14,13,13,14,14
"pattern_6",10,14,12,17,14,11,11,8,14
"pattern_7",5,11,15,20,17,10,10,13,13
"pattern_8",6,10,14,19,16,9,9,12,12
"pattern_9",7,11,13,18,15,10,8,13,13
"pattern_10",15,9,9,12,11,14,8,11,3
"pattern_11",15,19,13,8,11,24,16,13,13
"pattern_12",10,12,6,5,4,19,11,10,10
"pattern_13",11,11,7,8,7,16,12,9,7
"pattern_14",15,17,9,12,11,16,12,7,11
"pattern_15",10,12,14,19,16,9,9,10,14
"pattern_16",4,10,10,13,10,11,9,10,10
"pattern_17",15,13,15,16,13,12,14,17,11
"pattern_18",6,10,16,21,18,9,11,12,14
"pattern_19",15,15,5,6,5,18,12,9,9
"pattern_20",15,15,9,4,7,22,18,11,13
"pattern_21",14,10,10,15,14,9,7,6,8
"pattern_22",15,13,3,8,7,16,10,7,7
"pattern_23",12,6,12,15,14,11,9,8,8
"pattern_24",15,13,11,16,13,12,8,7,13
"pattern_25",7,13,9,12,9,14,8,9,11
"pattern_26",15,17,11,8,11,22,18,11,17
"pattern_27",3,11,11,12,11,12,10,11,11
"pattern_28",15,15,5,4,5,20,14,7,11
"pattern_29",15,15,11,8,9,24,16,13,11
"pattern_30",10,14,14,19,16,11,11,14,16
"pattern_31",7,9,15,20,17,8,10,11,13
"pattern_32",2,12,12,13,12,13,11,12,12
"pattern_33",11,11,11,16,13,10,8,7,11
"pattern_34",14,10,10,13,12,13,7,10,6
"pattern_35",9,13,7,10,7,14,8,9,11
"pattern_36",15,13,5,8,7,16,12,9,7
"pattern_37",15,17,7,8,9,18,12,7,13
"pattern_38",15,17,9,6,9,20,16,11,13
"pattern_39",1,13,13,14,13,12,12,13,13
"pattern_40",7,11,15,20,17,8,8,13,13
"pattern_41",8,10,14,19,16,7,7,12,12
"pattern_42",15,15,9,8,7,20,12,11,11
"pattern_43",6,12,8,11,8,11,9,10,12
"pattern_44",15,19,11,8,9,22,16,13,15
"pattern_45",15,15,7,4,5,20,14,11,9
"pattern_46",15,11,9,12,11,12,8,7,7
"pattern_47",8,8,16,21,18,7,9,12,12
"pattern_48",6,12,14,19,16,9,9,14,14
"pattern_49",15,17,9,4,7,22,16,11,11
"pattern_50",15,13,7,8,7,18,12,11,7
"pattern_51",15,11,11,16,15,10,8,7,9
"pattern_52",7,13,9,8,7,14,12,13,13
"pattern_53",15,15,11,10,11,22,16,13,13
"pattern_54",9,13,7,10,7,14,8,7,11
"pattern_55",6,10,14,17,14,11,11,12,10
"pattern_56",15,11,11,16,13,8,6,7,11
"pattern_57",6,12,10,11,10,15,9,10,10
"pattern_58",15,11,5,8,7,16,12,7,5
"pattern_59",11,7,11,16,13,10,6,7,9
"pattern_60",15,17,7,4,7,22,16,9,13
"pattern_61",15,13,7,8,7,18,14,9,7
"pattern_62",9,11,13,18,15,10,8,13,13
"pattern_63",15,17,11,6,9,22,18,13,13
"pattern_64",8,12,14,19,16,9,9,14,14
"pattern_65",7,9,15,20,17,8,8,13,11
"pattern_66",15,13,5,8,7,16,12,7,7
"pattern_67",15,15,7,12,11,16,10,5,11
"pattern_68",2,12,12,15,12,13,11,12,12
"pattern_69",15,15,5,6,5,18,12,9,9
"pattern_70",5,13,15,20,17,10,10,15,15
"pattern_71",13,5,13,16,13,10,8,11,9
"pattern_72",15,13,9,14,13,12,8,7,9
"pattern_73",15,15,9,8,9,22,14,11,11
"pattern_74",8,10,14,19,16,9,7,12,12
"pattern_75",15,11,11,16,15,12,8,7,9
"pattern_76",15,13,5,4,3,18,12,9,7
"pattern_77",15,17,7,12,11,16,10,7,11
"pattern_78",15,17,7,6,7,20,14,9,11
"pattern_79",6,12,16,21,18,9,9,14,14
"pattern_80",15,11,11,14,13,14,10,9,11
"pattern_81",10,6,16,19,16,9,9,12,10
"pattern_82",2,14,14,17,14,13,13,14,14
"pattern_83",4,10,10,15,12,11,9,10,10
"pattern_84",15,13,7,10,9,14,10,7,7
"pattern_85",10,10,14,19,16,7,5,14,12
"pattern_86",15,15,11,8,11,24,18,13,15
"pattern_87",12,14,4,3,4,19,13,8,10
"pattern_88",6,10,12,13,10,13,11,12,10
"pattern_89",5,11,13,18,15,10,10,11,11
"pattern_90",15,15,9,6,7,20,16,11,11
"pattern_91",11,15,9,8,7,16,12,9,13
"pattern_92",8,10,12,17,14,11,7,12,12
"pattern_93",15,13,9,14,13,12,10,5,9
"pattern_94",15,17,11,10,11,20,16,11,15
"pattern_95",10,8,10,13,12,13,9,8,6
"pattern_96",15,11,5,10,9,14,8,9,7
"pattern_97",6,14,10,11,10,13,11,10,14
"pattern_98",6,10,8,9,8,15,9,10,10
"pattern_99",15,15,7,12,9,16,10,7,11
"pattern_100",15,15,7,4,3,22,16,13,13
"pattern_101",15,13,7,8,7,16,12,9,7
"pattern_102",10,8,14,17,16,11,11,10,10
"pattern_103",15,13,3,6,5,18,12,7,9
"pattern_104",7,9,13,18,15,10,8,11,11
"pattern_105",4,12,14,19,16,9,9,14,14
"pattern_106",4,12,10,11,10,11,11,10,12
"pattern_107",8,12,14,19,16,11,9,12,14
"pattern_108",3,13,13,16,13,12,12,13,13
"pattern_109",2,14,14,15,14,15,13,12,14
"pattern_110",15,19,15,10,11,24,20,17,15
"pattern_111",15,15,7,2,5,22,16,11,11
"pattern_112",15,15,13,10,9,26,18,15,15
"pattern_113",15,13,5,10,9,16,12,7,7
"pattern_114",3,11,11,12,11,14,12,11,11
"pattern_115",7,11,17,22,19,8,8,15,13
"pattern_116",13,13,11,16,13,10,8,7,13
"pattern_117",11,15,7,10,9,16,10,7,11
"pattern_118",13,15,5,4,5,20,14,9,11
"pattern_119",8,8,12,17,14,9,7,10,10
"pattern_120",15,11,7,10,9,16,10,9,5
"pattern_121",14,12,10,15,14,11,7,8,8
"pattern_122",15,15,9,6,7,22,16,11,11
"pattern_123",11,11,13,18,15,10,6,9,11
"pattern_124",15,15,11,8,9,22,16,13,11
"pattern_125",15,15,5,4,5,18,12,9,9
"pattern_126",15,13,11,16,13,12,10,5,13
"pattern_127",7,15,9,10,9,14,10,9,13
"pattern_128",11,5,15,18,15,8,8,11,9
"pattern_129",12,8,14,19,18,9,9,10,10
"pattern_130",6,12,12,17,14,11,11,12,12
"pattern_131",15,17,9,6,7,20,14,11,13
"pattern_132",15,17,13,8,9,22,18,15,15
"pattern_133",4,12,14,19,16,11,11,14,14
"pattern_134",7,9,15,18,15,10,10,13,11
"pattern_135",13,13,3,6,5,18,12,7,9
"pattern_136",15,15,9,10,9,18,12,11,9
"pattern_137",13,17,9,8,7,18,14,9,15
"pattern_138",12,10,8,13,10,11,7,6,10
"pattern_139",15,17,9,6,9,22,14,13,11
"pattern_140",9,11,15,20,17,10,8,11,13
"pattern_141",15,15,11,8,9,22,14,13,9
"pattern_142",15,15,7,6,5,18,14,11,9
"pattern_143",15,13,9,8,7,18,14,11,7
"pattern_144",15,15,9,6,7,22,14,11,9
"pattern_145",15,13,3,8,7,18,12,5,9
"pattern_146",4,12,10,11,10,13,13,10,12
"pattern_147",4,12,10,13,10,11,11,10,12
"pattern_148",12,12,16,21,18,11,9,14,14
"pattern_149",15,13,5,10,9,14,8,7,7
"pattern_150",15,11,11,10,11,20,14,13,11
"pattern_151",15,13,7,6,5,18,14,11,7
"pattern_152",14,12,10,15,12,11,7,6,12
"pattern_153",15,17,7,4,7,20,14,9,11
"pattern_154",15,15,9,8,9,22,16,11,15
"pattern_155",10,6,14,17,14,9,9,10,10
"pattern_156",15,17,9,6,9,20,16,11,13
"pattern_157",11,5,15,18,15,8,8,11,9
"pattern_158",15,13,7,6,5,18,14,9,7
"pattern_159",9,15,9,12,9,14,10,9,13
"pattern_160",15,11,9,14,13,10,8,5,9
"pattern_161",1,15,15,16,15,14,14,15,15
"pattern_162",15,17,9,8,9,20,16,11,13
"pattern_163",15,15,7,8,9,18,12,11,11
"pattern_164",13,11,5,6,5,16,12,7,5
"pattern_165",12,8,12,15,14,11,7,10,6
"pattern_166",8,10,14,19,16,11,9,10,12
"pattern_167",6,10,14,19,16,11,9,12,12
"pattern_168",14,14,12,17,14,11,11,8,14
"pattern_169",5,13,9,10,9,12,10,9,11
"pattern_170",15,15,7,2,5,22,16,9,11
"pattern_171",15,17,7,6,7,22,16,9,13
"pattern_172",5,11,11,14,11,12,10,11,11
"pattern_173",15,11,7,12,11,12,8,7,7
"pattern_174",15,15,7,6,5,20,14,9,13
"pattern_175",6,10,14,19,16,9,11,10,12
"pattern_176",14,16,6,3,6,21,15,8,12
"pattern_177",15,11,11,16,13,10,8,5,13
"pattern_178",1,13,13,14,13,14,12,13,13
"pattern_179",15,17,11,8,11,22,18,15,15
"pattern_180",15,11,11,14,13,14,8,11,5
"pattern_181",12,14,6,7,4,17,11,6,12
"pattern_182",14,12,12,17,14,11,7,8,12
"pattern_183",3,13,13,18,15,12,12,13,13
"pattern_184",2,12,12,15,12,11,11,12,12
"pattern_185",15,11,11,16,13,10,6,7,11
"pattern_186",15,9,9,14,13,12,8,7,5
"pattern_187",15,15,5,6,5,18,12,7,9
"pattern_188",9,11,13,18,15,10,6,13,13
"pattern_189",15,13,5,6,5,18,12,9,7
"pattern_190",12,6,14,17,16,9,9,10,8
"pattern_191",5,13,11,12,11,14,10,9,11
"pattern_192",10,6,16,19,16,7,9,12,10
"pattern_193",4,12,12,15,12,13,11,12,12
"pattern_194",3,13,13,14,13,14,12,11,13
"pattern_195",15,15,7,8,7,18,12,9,13
"pattern_196",15,15,5,8,7,18,12,9,9
"pattern_197",2,12,12,15,12,11,11,12,12
"pattern_198",15,15,9,10,9,16,12,9,9
"pattern_199",15,15,5,4,5,20,14,9,11
"pattern_200",15,17,13,8,9,22,18,13,13
"pattern_201",6,10,14,19,16,9,9,12,12
"pattern_202",10,12,10,15,12,11,9,6,10
"pattern_203",15,15,9,6,7,22,18,11,13
"pattern_204",13,13,17,20,17,12,8,19,13
"pattern_205",7,13,9,12,9,12,10,7,11
"pattern_206",15,13,11,6,9,24,18,13,13
"pattern_207",10,12,12,17,14,9,9,12,14
"pattern_208",6,8,8,9,8,15,11,10,8
"pattern_209",14,10,10,15,12,9,7,6,10
"pattern_210",9,13,7,10,7,16,8,7,11
"pattern_211",4,12,14,15,12,13,13,14,12
"pattern_212",15,17,11,6,7,24,18,13,15
"pattern_213",7,9,9,14,11,10,6,7,7
"pattern_214",15,11,11,16,13,10,8,7,11
"pattern_215",6,12,8,9,8,15,11,10,12
"pattern_216",15,15,9,4,7,22,14,11,9
"pattern_217",10,12,12,17,14,11,9,8,12
"pattern_218",15,15,7,8,7,18,12,11,9
"pattern_219",5,13,9,10,9,12,10,11,13
"pattern_220",15,13,9,12,11,16,10,11,7
"pattern_221",7,13,7,8,7,14,8,9,11
"pattern_222",12,6,14,17,14,9,7,10,8
"pattern_223",15,15,13,8,9,22,18,15,13
"pattern_224",11,11,13,18,15,8,8,9,13
"pattern_225",8,14,10,11,8,13,11,8,12
"pattern_226",15,13,15,10,11,22,18,15,13
"pattern_227",5,9,9,10,9,14,10,9,9
"pattern_228",15,9,13,16,15,12,8,9,7
"pattern_229",9,9,15,20,17,8,8,11,13
"pattern_230",15,13,5,8,7,18,12,7,9
"pattern_231",15,11,7,10,9,14,10,7,5
"pattern_232",15,11,9,6,7,20,14,11,13
"pattern_233",13,11,11,16,15,10,10,7,9
"pattern_234",15,15,5,4,5,20,14,9,11
"pattern_235",9,7,15,18,15,8,8,13,9
"pattern_236",15,19,11,6,9,24,18,13,13
"pattern_237",14,14,8,11,8,15,9,6,12
"pattern_238",9,7,13,18,15,8,8,9,11
"pattern_239",15,15,13,8,11,24,18,13,15
"pattern_240",14,16,6,3,6,21,15,10,12
"pattern_241",5,11,9,12,9,10,10,9,11
"pattern_242",15,13,7,4,3,18,12,11,9
"pattern_243",7,11,13,18,15,12,10,11,13
"pattern_244",15,13,9,6,7,20,16,13,11
"pattern_245",15,17,7,10,11,18,12,7,13
"pattern_246",15,17,11,8,11,22,16,13,13
"pattern_247",9,9,15,18,15,10,12,13,13
"pattern_248",15,13,9,12,11,14,10,5,11
"pattern_249",8,12,16,21,18,9,13,12,16
"pattern_250",15,15,11,6,9,22,16,13,11
"pattern_251",9,7,17,20,17,8,10,13,11
"pattern_252",15,11,5,10,9,14,10,5,5
"pattern_253",15,17,7,6,7,20,14,9,13
"pattern_254",8,14,8,9,8,15,13,8,14
"pattern_255",15,15,7,10,9,16,10,7,13
"pattern_256",8,8,16,21,18,7,9,12,12
"pattern_257",15,17,7,6,7,20,14,9,13
"pattern_258",15,17,13,8,9,22,18,15,15
"pattern_259",15,11,5,10,9,14,8,7,9
"pattern_260",13,11,13,18,15,8,6,11,13
"pattern_261",15,19,11,6,9,24,18,13,13
"pattern_262",4,12,10,11,10,15,11,12,12
"pattern_263",5,13,11,12,11,12,12,9,13
"pattern_264",4,12,14,19,16,11,11,12,12
"pattern_265",15,7,15,18,17,10,8,11,7
"pattern_266",8,8,14,19,16,7,9,10,12
"pattern_267",15,11,5,8,7,16,12,7,7
"pattern_268",15,13,7,12,9,16,10,5,11
"pattern_269",15,17,7,4,7,20,14,11,11
"pattern_270",15,17,13,10,11,24,16,15,15
"pattern_271",3,13,11,12,11,14,10,13,13
"pattern_272",5,11,13,18,15,10,10,13,13
"pattern_273",8,10,8,9,6,13,9,8,8
"pattern_274",15,19,11,8,11,20,16,11,15
"pattern_275",15,15,5,6,5,20,14,9,11
"pattern_276",14,12,8,13,12,13,9,4,10
"pattern_277",7,9,13,18,15,8,8,11,11
"pattern_278",15,17,11,8,9,22,14,13,13
"pattern_279",15,15,7,4,5,22,18,11,11
"pattern_280",12,8,10,15,14,9,9,6,10
"pattern_281",10,12,12,17,14,11,7,8,10
"pattern_282",5,11,9,10,11,14,10,9,9
"pattern_283",6,12,8,9,8,13,9,8,10
"pattern_284",15,17,9,4,7,22,16,13,11
"pattern_285",15,11,7,8,7,16,12,9,5
"pattern_286",15,17,11,6,7,22,16,13,13
"pattern_287",12,16,8,7,6,19,15,10,14
"pattern_288",12,12,8,13,10,13,9,4,10
"pattern_289",9,7,13,18,15,8,8,9,11
"pattern_290",6,10,8,9,8,13,11,10,10
"pattern_291",15,15,13,10,13,24,18,15,13
"pattern_292",7,11,7,8,7,14,10,9,11
"pattern_293",15,19,11,8,9,20,14,11,15
"pattern_294",15,11,11,16,15,10,10,7,11
"pattern_295",15,15,9,4,7,24,16,11,11
"pattern_296",6,12,16,21,18,9,11,14,16
"pattern_297",15,13,5,6,5,18,14,9,9
"pattern_298",6,14,8,9,8,13,9,10,12
"pattern_299",5,13,13,18,15,10,10,13,13
"pattern_300",15,13,5,10,9,16,10,3,9
"pattern_301",15,15,5,6,7,18,12,9,9
"pattern_302",7,11,13,18,15,12,10,9,11
"pattern_303",2,12,12,13,12,13,11,12,12
"pattern_304",7,15,11,10,9,14,12,9,13
"pattern_305",15,17,9,8,9,22,14,11,11
"pattern_306",15,17,13,8,9,26,20,15,17
