"pattern","freq","best_archetype_within_K","best_dist_within_K","best_sim_jaccard_within_K"
"pattern_8",1128503,"Fearful",15,0
"pattern_4",298558,"Homo.Economicus",12,0.25
"pattern_83",156746,"Homo.Economicus",10,0.375
"pattern_37",151981,"Fearful",13,0.133333333333333
"pattern_19",140679,"Fearful",12,0.2
"pattern_35",117784,"Homo.Economicus",11,0.3125
"pattern_60",105026,"Fearful",4,0.764705882352941
"pattern_92",87316,"Homo.Economicus",11,0.3125
"pattern_46",84202,"Fearful",4,0.764705882352941
"pattern_138",70001,"Fearful",2,0.875
"pattern_47",66294,"Homo.Economicus",11,0.352941176470588
"pattern_16",59917,"Homo.Economicus",12,0.294117647058824
"pattern_23",53490,"Fearful",13,0.133333333333333
"pattern_152",48335,"Fearful",11,0.266666666666667
"pattern_139",47627,"Fearful",14,0.0666666666666667
"pattern_79",45948,"Fearful",2,0.875
"pattern_7",42529,"Homo.Economicus",10,0.333333333333333
"pattern_298",42270,"Homo.Economicus",4,0.764705882352941
"pattern_157",40478,"Fearful",4,0.764705882352941
"pattern_59",39699,"Homo.Economicus",13,0.235294117647059
"pattern_267",38104,"Careful",6,0.666666666666667
"pattern_70",36611,"Homo.Economicus",13,0.235294117647059
"pattern_21",35991,"Fearful",12,0.2
"pattern_55",35399,"Homo.Economicus",11,0.352941176470588
"pattern_113",34968,"Homo.Economicus",10,0.411764705882353
"pattern_80",34698,"Homo.Economicus",11,0.3125
"pattern_122",34429,"Stubborn",6,0.666666666666667
"pattern_371",33593,"Homo.Economicus",11,0.266666666666667
"pattern_13",33434,"Fearful",6,0.666666666666667
"pattern_26",32136,"Homo.Economicus",6,0.666666666666667
"pattern_111",30731,"Homo.Economicus",6,0.666666666666667
"pattern_75",29227,"Fearful",4,0.764705882352941
"pattern_220",28550,"Fearful",12,0.2
"pattern_17",27262,"Careful",4,0.764705882352941
"pattern_67",27248,"Homo.Economicus",12,0.294117647058824
"pattern_348",26360,"Stubborn",4,0.764705882352941
"pattern_373",26291,"Careful",8,0.578947368421053
"pattern_480",25890,"Careful",8,0.578947368421053
"pattern_151",25350,"Fearful",13,0.1875
"pattern_354",23487,"Careful",6,0.666666666666667
"pattern_406",23290,"Fearful",12,0.2
"pattern_485",22802,"Homo.Economicus",9,0.4375
"pattern_212",22551,"Stubborn",4,0.764705882352941
"pattern_57",22334,"Homo.Economicus",6,0.666666666666667
"pattern_440",22036,"Careful",8,0.578947368421053
"pattern_119",21937,"Fearful",6,0.666666666666667
"pattern_140",21346,"Stubborn",6,0.666666666666667
"pattern_36",21105,"Careful",6,0.666666666666667
"pattern_81",20833,"Careful",6,0.666666666666667
"pattern_68",20680,"Careful",4,0.764705882352941
"pattern_172",20342,"Careful",8,0.578947368421053
"pattern_6",20023,"Fearful",11,0.266666666666667
"pattern_143",19651,"Fearful",13,0.235294117647059
"pattern_106",18036,"Careful",4,0.764705882352941
"pattern_173",17937,"Fearful",6,0.666666666666667
"pattern_319",17336,"Fearful",6,0.666666666666667
"pattern_289",17092,"Fearful",12,0.25
"pattern_369",17035,"Fearful",4,0.764705882352941
"pattern_295",16802,"Homo.Economicus",12,0.333333333333333
"pattern_159",16490,"Fearful",13,0.133333333333333
"pattern_42",16135,"Homo.Economicus",9,0.470588235294118
"pattern_164",15933,"Homo.Economicus",6,0.666666666666667
"pattern_54",15751,"Fearful",6,0.666666666666667
"pattern_240",15751,"Fearful",4,0.764705882352941
"pattern_53",15683,"Fearful",11,0.266666666666667
"pattern_288",15546,"Fearful",4,0.764705882352941
"pattern_162",15515,"Homo.Economicus",12,0.294117647058824
"pattern_606",14651,"Homo.Economicus",9,0.470588235294118
"pattern_211",13733,"Homo.Economicus",11,0.352941176470588
"pattern_198",13451,"Fearful",11,0.266666666666667
