"pattern","freq","best_archetype_within_K","best_dist_within_K","best_sim_jaccard_within_K"
"pattern_3",702126,"Fearful",7,0.611111111111111
"pattern_10",639544,"Careful",4,0.764705882352941
"pattern_9",478474,"Stubborn",8,0.5
"pattern_43",448604,"Stubborn",8,0.5
"pattern_19",248046,"Careful",6,0.666666666666667
"pattern_1",221091,"Careful",6,0.666666666666667
"pattern_8",193199,"Fearful",5,0.705882352941177
"pattern_24",193016,"Careful",6,0.666666666666667
"pattern_41",187735,"Fearful",5,0.705882352941177
"pattern_36",154834,"Careful",6,0.666666666666667
"pattern_13",123465,"Fearful",5,0.705882352941177
"pattern_27",119352,"Careful",6,0.666666666666667
"pattern_15",88184,"Careful",6,0.666666666666667
"pattern_17",87751,"Careful",6,0.666666666666667
"pattern_42",87098,"Careful",6,0.666666666666667
"pattern_57",81004,"Stubborn",8,0.5
"pattern_6",80570,"Careful",6,0.666666666666667
"pattern_35",71925,"Careful",6,0.666666666666667
"pattern_82",68612,"Fearful",7,0.611111111111111
"pattern_89",68361,"Careful",6,0.666666666666667
"pattern_53",66586,"Fearful",7,0.611111111111111
"pattern_39",55629,"Careful",6,0.666666666666667
"pattern_78",54443,"Careful",4,0.764705882352941
"pattern_22",54020,"Fearful",5,0.705882352941177
"pattern_7",52533,"Stubborn",8,0.5
"pattern_48",43232,"Fearful",7,0.611111111111111
"pattern_175",41278,"Fearful",7,0.611111111111111
"pattern_129",41264,"Fearful",9,0.526315789473684
"pattern_61",40912,"Stubborn",8,0.5
"pattern_111",40905,"Stubborn",8,0.5
"pattern_62",39334,"Fearful",7,0.611111111111111
"pattern_21",38684,"Stubborn",8,0.5
"pattern_227",36082,"Careful",8,0.578947368421053
"pattern_255",35626,"Fearful",5,0.705882352941177
"pattern_135",35230,"Fearful",5,0.705882352941177
"pattern_101",34883,"Careful",4,0.764705882352941
"pattern_75",32142,"Fearful",7,0.611111111111111
"pattern_176",31647,"Careful",6,0.666666666666667
"pattern_115",30785,"Stubborn",8,0.5
"pattern_18",29499,"Careful",6,0.666666666666667
"pattern_140",29227,"Careful",8,0.578947368421053
"pattern_228",28891,"Fearful",7,0.611111111111111
"pattern_86",28655,"Careful",6,0.666666666666667
"pattern_97",28650,"Careful",6,0.666666666666667
"pattern_171",28405,"Careful",6,0.666666666666667
"pattern_238",27900,"Fearful",5,0.705882352941177
"pattern_330",27591,"Careful",6,0.666666666666667
"pattern_64",26705,"Stubborn",10,0.411764705882353
"pattern_60",26505,"Stubborn",8,0.5
"pattern_158",25408,"Fearful",7,0.611111111111111
"pattern_26",24939,"Careful",7,0.611111111111111
"pattern_137",22810,"Stubborn",8,0.5
"pattern_33",22181,"Fearful",7,0.611111111111111
"pattern_271",22159,"Fearful",7,0.611111111111111
"pattern_139",21359,"Fearful",7,0.611111111111111
"pattern_373",21236,"Careful",8,0.578947368421053
"pattern_117",20522,"Fearful",7,0.611111111111111
"pattern_47",20398,"Fearful",7,0.611111111111111
"pattern_276",20128,"Careful",6,0.666666666666667
"pattern_14",19900,"Fearful",7,0.611111111111111
"pattern_131",18438,"Fearful",9,0.526315789473684
"pattern_83",18221,"Careful",8,0.578947368421053
"pattern_80",18078,"Stubborn",7,0.533333333333333
"pattern_340",18009,"Fearful",7,0.611111111111111
"pattern_105",17298,"Fearful",7,0.611111111111111
"pattern_299",17293,"Fearful",9,0.526315789473684
"pattern_180",16727,"Fearful",7,0.611111111111111
"pattern_165",16087,"Careful",6,0.666666666666667
"pattern_274",15962,"Stubborn",8,0.5
"pattern_203",15502,"Careful",8,0.578947368421053
"pattern_44",15413,"Fearful",5,0.705882352941177
"pattern_68",14478,"Careful",4,0.764705882352941
"pattern_144",14143,"Stubborn",8,0.5
"pattern_152",14056,"Fearful",7,0.611111111111111
"pattern_181",13956,"Fearful",7,0.611111111111111
"pattern_343",13776,"Fearful",7,0.611111111111111
"pattern_196",13608,"Careful",6,0.666666666666667
"pattern_149",13587,"Fearful",7,0.611111111111111
"pattern_94",13375,"Fearful",5,0.705882352941177
"pattern_123",12173,"Fearful",5,0.705882352941177
"pattern_84",12004,"Fearful",9,0.526315789473684
"pattern_25",11792,"Stubborn",8,0.5
"pattern_45",11737,"Fearful",7,0.611111111111111
"pattern_50",10156,"Careful",8,0.578947368421053
"pattern_4",9711,"Careful",5,0.705882352941177
"pattern_381",9633,"Careful",6,0.666666666666667
"pattern_205",9481,"Careful",6,0.666666666666667
"pattern_622",9307,"Fearful",9,0.526315789473684
"pattern_328",9247,"Stubborn",8,0.5
"pattern_156",9138,"Fearful",7,0.611111111111111
"pattern_298",9074,"Careful",4,0.764705882352941
"pattern_415",9017,"Stubborn",8,0.5
"pattern_79",8724,"Careful",8,0.578947368421053
"pattern_20",8647,"Stubborn",8,0.5
"pattern_268",8639,"Careful",8,0.578947368421053
"pattern_462",8637,"Careful",6,0.666666666666667
"pattern_425",8595,"Stubborn",8,0.5
"pattern_530",8407,"Careful",8,0.578947368421053
"pattern_352",8346,"Fearful",9,0.526315789473684
"pattern_305",8316,"Stubborn",6,0.538461538461538
"pattern_162",8086,"Careful",8,0.578947368421053
"pattern_383",8048,"Fearful",5,0.705882352941177
"pattern_5",7967,"Careful",6,0.666666666666667
"pattern_113",7917,"Fearful",5,0.705882352941177
"pattern_249",7884,"Careful",8,0.529411764705882
"pattern_260",7746,"Stubborn",10,0.411764705882353
"pattern_173",7719,"Fearful",7,0.611111111111111
"pattern_118",7631,"Careful",9,0.526315789473684
"pattern_635",7185,"Stubborn",6,0.571428571428571
"pattern_208",7170,"Careful",8,0.578947368421053
"pattern_34",7165,"Careful",8,0.578947368421053
"pattern_148",7122,"Stubborn",8,0.5
"pattern_985",7071,"Fearful",7,0.611111111111111
"pattern_107",7061,"Careful",8,0.555555555555556
"pattern_545",6983,"Careful",6,0.647058823529412
"pattern_291",6707,"Careful",6,0.666666666666667
"pattern_345",6690,"Careful",6,0.666666666666667
"pattern_394",6675,"Fearful",7,0.611111111111111
"pattern_128",6648,"Stubborn",8,0.5
"pattern_193",6645,"Fearful",7,0.611111111111111
"pattern_29",6637,"Fearful",7,0.611111111111111
"pattern_194",6617,"Careful",7,0.588235294117647
"pattern_308",6603,"Careful",6,0.666666666666667
"pattern_569",6598,"Fearful",7,0.611111111111111
"pattern_717",6442,"Careful",7,0.588235294117647
"pattern_247",6325,"Careful",6,0.666666666666667
"pattern_341",6259,"Stubborn",8,0.5
"pattern_376",6234,"Stubborn",8,0.5
"pattern_252",6198,"Fearful",3,0.8125
"pattern_102",6160,"Careful",6,0.666666666666667
"pattern_237",6128,"Fearful",5,0.705882352941177
"pattern_145",6105,"Fearful",7,0.611111111111111
"pattern_589",6013,"Careful",7,0.5625
"pattern_265",6002,"Stubborn",8,0.5
"pattern_160",5994,"Careful",6,0.666666666666667
"pattern_70",5966,"Careful",8,0.578947368421053
"pattern_240",5966,"Fearful",5,0.705882352941177
"pattern_138",5940,"Fearful",9,0.526315789473684
"pattern_37",5854,"Fearful",7,0.611111111111111
"pattern_640",5690,"Stubborn",8,0.5
"pattern_874",5675,"Careful",8,0.578947368421053
"pattern_92",5437,"Fearful",5,0.705882352941177
"pattern_319",5366,"Fearful",9,0.526315789473684
"pattern_170",5297,"Fearful",7,0.611111111111111
"pattern_166",5195,"Careful",8,0.578947368421053
"pattern_587",5187,"Fearful",7,0.611111111111111
"pattern_365",5166,"Fearful",7,0.611111111111111
"pattern_535",5163,"Careful",6,0.666666666666667
"pattern_204",5136,"Fearful",9,0.526315789473684
"pattern_665",5067,"Stubborn",8,0.5
"pattern_471",5032,"Fearful",7,0.611111111111111
"pattern_409",4943,"Careful",8,0.555555555555556
"pattern_32",4911,"Stubborn",8,0.5
"pattern_192",4855,"Fearful",7,0.611111111111111
"pattern_472",4849,"Stubborn",10,0.411764705882353
"pattern_287",4693,"Careful",7,0.588235294117647
"pattern_310",4674,"Fearful",7,0.611111111111111
"pattern_518",4638,"Stubborn",8,0.5
"pattern_323",4622,"Fearful",7,0.611111111111111
"pattern_873",4597,"Fearful",9,0.526315789473684
"pattern_896",4572,"Careful",6,0.666666666666667
"pattern_344",4555,"Careful",8,0.578947368421053
"pattern_214",4548,"Fearful",7,0.611111111111111
"pattern_251",4543,"Fearful",7,0.611111111111111
"pattern_124",4516,"Fearful",7,0.611111111111111
"pattern_578",4471,"Fearful",7,0.611111111111111
"pattern_201",4448,"Careful",4,0.764705882352941
"pattern_281",4432,"Stubborn",10,0.411764705882353
