"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,1,237,0.029625
3,21,9279,1.159875
4,83,11510,1.43875
5,457,53846,6.73075
6,864,59756,7.4695
7,2913,131819,16.477375
8,3944,140390,17.54875
9,8891,220538,27.56725
10,10210,233826,29.22825
11,16688,294185,36.773125
12,18072,323727,40.465875
13,22697,397278,49.65975
14,24197,554077,69.259625
15,26945,607300,75.9125
16,28342,660778,82.59725
17,29941,742928,92.866
18,30727,785551,98.193875
19,31400,797405,99.675625
20,31630,799510,99.93875
