"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,0,0,0
3,2,97,0.012125
4,15,1089,0.136125
5,159,141789,17.723625
6,300,150212,18.7765
7,1829,475994,59.49925
8,2140,482221,60.277625
9,7179,659507,82.438375
10,7455,664221,83.027625
11,13765,781728,97.716
12,13907,782048,97.756
13,17272,797586,99.69825
14,17349,797749,99.718625
15,18289,799201,99.900125
16,18339,799362,99.92025
17,18589,799726,99.96575
18,18617,799829,99.978625
19,18661,799964,99.9955
20,18664,799985,99.998125
