"","Early.Adopter","Uninterested","Homo.Economicus","Fearful","Stubborn","Influencer","Careful"
"pattern_2",0,0.2,0.2,0.2,0,0,0.4
"pattern_3",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0,0.222222222222222,0.222222222222222
"pattern_4",0,0,0.25,0,0,0,0.2
"pattern_1",0,0.166666666666667,0.166666666666667,0.166666666666667,0,0.142857142857143,0.333333333333333
"pattern_5",0.125,0.125,0.125,0.125,0,0.25,0.25
"pattern_9",0,0,0.333333333333333,0,0,0,0.25
"pattern_7",0,0.25,0.25,0.25,0,0,0.5
"pattern_8",0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0.333333333333333
"pattern_11",0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.125,0.285714285714286
"pattern_15",0,0.125,0.125,0.125,0,0.111111111111111,0.25
"pattern_14",0,0,0.2,0,0,0.166666666666667,0.166666666666667
"pattern_6",0,0,0,0,0,0,0.333333333333333
"pattern_10",0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0.285714285714286,0.285714285714286
"pattern_12",0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.125,0.285714285714286
"pattern_17",0.125,0.125,0.125,0.125,0,0.25,0.25
"pattern_20",0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0.125,0.285714285714286
"pattern_13",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.142857142857143,0.333333333333333
"pattern_19",0,0,0,0,0,0,0.25
"pattern_22",0,0,0,0,0,0,0
"pattern_18",0,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667
"pattern_21",0.166666666666667,0,0.166666666666667,0,0,0.333333333333333,0.142857142857143
"pattern_26",0.125,0,0.125,0,0,0.25,0.111111111111111
"pattern_23",0.142857142857143,0,0.142857142857143,0,0,0.285714285714286,0.125
"pattern_34",0,0,0,0,1,0,0
"pattern_16",0,0.2,0.2,0.2,0,0,0.4
"pattern_28",0.2,0,0.2,0,0,0.166666666666667,0.166666666666667
"pattern_31",0.142857142857143,0,0.142857142857143,0,0,0.285714285714286,0.125
"pattern_27",0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0.285714285714286
"pattern_25",0,0,0.2,0,0,0,0.166666666666667
"pattern_24",0.125,0.125,0.125,0.125,0,0.111111111111111,0.25
"pattern_30",0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0.333333333333333
"pattern_36",0.166666666666667,0,0.166666666666667,0,0,0.142857142857143,0.142857142857143
"pattern_32",0,0,0.5,0,0,0,0
"pattern_33",0,0,0.166666666666667,0,0,0.142857142857143,0.142857142857143
"pattern_29",0,0.25,0,0.25,0,0,0.5
"pattern_35",0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0.125,0.285714285714286
"pattern_37",0,0,0.166666666666667,0,0,0.142857142857143,0.142857142857143
"pattern_41",0,0,0.142857142857143,0,0,0.125,0.125
"pattern_40",0.142857142857143,0,0.142857142857143,0,0,0.125,0.125
"pattern_39",0,0,0.2,0,0,0,0.166666666666667
"pattern_44",0.166666666666667,0,0.166666666666667,0,0,0.142857142857143,0.142857142857143
"pattern_38",0,0,0,0,0,0,0
"pattern_43",0,0,0,0,0,0,0.5
"pattern_47",0,0,0,0,0,0.5,0
"pattern_53",0,0.5,0,0.5,0,0,0.333333333333333
"pattern_61",0,0,0.333333333333333,0,0,0,0
"pattern_48",0,0,0.166666666666667,0,0,0,0.142857142857143
"pattern_46",0.125,0.125,0.125,0.125,0,0.25,0.111111111111111
"pattern_57",0,0,0.25,0,0,0,0.2
"pattern_42",0,0,1,0,0,0,0
"pattern_51",0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.285714285714286,0.125
"pattern_49",0,0.25,0,0.25,0,0,0.5
"pattern_52",0.25,0,0.25,0,0,0.2,0.2
"pattern_50",0,0.2,0.2,0.2,0,0,0.4
"pattern_54",0.166666666666667,0,0.166666666666667,0,0,0.333333333333333,0
"pattern_55",0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.25
"pattern_58",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.142857142857143,0.333333333333333
"pattern_59",0,0,0,0,0,0.2,0.2
"pattern_64",0,0.2,0,0.2,0,0.166666666666667,0.4
"pattern_45",0.25,0,0.25,0,0,0.5,0
"pattern_56",0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.125,0.285714285714286
"pattern_60",0.2,0.2,0.2,0.2,0,0.166666666666667,0.4
"pattern_62",0,0.25,0.25,0.25,0,0,0.2
"pattern_63",0,0,0,0,0,0,0.2
"pattern_65",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.333333333333333,0.142857142857143
"pattern_66",0.25,0,0.25,0,0,0.2,0
"pattern_67",0.2,0,0,0,0,0.4,0.166666666666667
"pattern_68",0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0.125,0.285714285714286
