"","Early.Adopter","Uninterested","Homo.Economicus","Fearful","Stubborn","Influencer","Careful"
"pattern_1",0,0,0,0,1,0,0
"pattern_12",0.5,0,0,0,0,0.333333333333333,0
"pattern_7",1,0,0,0,0,0.5,0
"pattern_3",0,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667
"pattern_18",0,0.25,0,0.25,0,0,0.5
"pattern_6",0.25,0.25,0,0.25,0,0.2,0.5
"pattern_4",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0,0.222222222222222,0.222222222222222
"pattern_8",0.125,0.125,0.125,0.125,0,0.25,0.25
"pattern_2",0,0,0,0,0,0,0
"pattern_10",0.333333333333333,0,0,0,0,0.25,0
"pattern_5",0.333333333333333,0,0,0,0,0.25,0
"pattern_20",0,0.2,0.2,0.2,0,0,0.4
"pattern_19",0.2,0.2,0,0.2,0,0.166666666666667,0.4
"pattern_13",0.5,0,0,0,0,0.333333333333333,0
"pattern_15",0,0,0,0,0,0,0.333333333333333
"pattern_21",0.5,0.5,0,0.5,0,0.333333333333333,0.333333333333333
"pattern_24",0,1,0,1,0,0,0.5
"pattern_9",0,0,0,0,0,0,0.25
"pattern_17",0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.125,0.285714285714286
"pattern_29",0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0.333333333333333
"pattern_16",0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.25,0.666666666666667
"pattern_14",0.5,0,0,0,0,0.333333333333333,0
"pattern_23",0.25,0,0,0,0,0.2,0.2
"pattern_26",0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0.125,0.285714285714286
"pattern_27",0,0.5,0,0.5,0,0,1
"pattern_32",0.333333333333333,0,0,0,0,0.25,0.25
"pattern_31",0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.25,0.25
"pattern_30",0,0,0,0,0,0,0.5
"pattern_37",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.142857142857143,0.333333333333333
"pattern_25",0.2,0.2,0,0.2,0,0.166666666666667,0.4
"pattern_41",0.25,0,0,0,0,0.2,0.2
"pattern_44",0.25,0,0,0,0,0.2,0
"pattern_33",0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.25,0.25
"pattern_38",0,0.5,0,0.5,0,0,0.333333333333333
