"","Early.Adopter","Fearful","Careful","Stubborn","Influencer","Uninterested","Homo.Economicus","X8"
"pattern_4",9,8,3,6,9,8,9,9
"pattern_3",8,9,7,8,7,7,9,9
"pattern_1",8,8,3,6,8,9,8,8
"pattern_2",9,8,4,7,9,8,9,9
"pattern_7",8,9,6,8,8,7,9,9
"pattern_8",9,8,3,6,9,8,9,9
"pattern_6",8,8,3,6,8,9,8,8
"pattern_5",9,8,5,7,9,8,9,9
"pattern_9",9,8,4,6,9,8,9,9
"pattern_12",7,8,3,6,8,8,8,7
"pattern_11",9,8,6,7,8,8,9,9
"pattern_14",8,9,5,8,8,7,9,9
"pattern_16",8,8,4,7,8,9,8,8
"pattern_15",8,9,6,8,7,7,9,9
"pattern_18",9,8,5,7,8,8,9,9
"pattern_17",8,9,5,7,8,7,9,9
"pattern_13",8,9,4,7,8,7,9,9
"pattern_10",7,8,4,6,7,8,8,7
"pattern_20",7,8,3,6,8,8,8,7
"pattern_21",8,8,3,6,9,7,9,8
"pattern_24",7,9,7,8,6,8,8,8
"pattern_19",7,9,5,8,7,8,8,8
"pattern_32",7,9,6,8,7,8,8,8
"pattern_29",7,9,4,7,7,8,8,8
"pattern_25",8,9,6,7,7,7,9,9
"pattern_23",9,8,4,6,9,8,9,9
"pattern_28",9,8,5,6,8,8,9,9
"pattern_22",7,9,5,7,7,8,8,8
"pattern_30",8,8,4,6,8,9,8,8
"pattern_34",7,9,6,8,6,8,8,8
"pattern_31",9,8,4,6,8,8,9,9
"pattern_36",7,8,5,7,7,8,8,7
"pattern_38",8,8,4,6,7,9,8,8
"pattern_37",8,8,5,7,7,9,8,8
"pattern_27",8,9,5,7,7,7,9,9
"pattern_35",8,8,5,7,8,9,8,8
"pattern_39",8,8,3,6,9,7,9,8
"pattern_33",8,8,6,7,7,9,8,8
"pattern_26",7,9,6,7,6,8,8,8
"pattern_42",7,9,5,7,6,8,8,8
"pattern_41",8,8,4,6,7,9,8,8
"pattern_49",7,8,4,6,7,8,8,7
"pattern_43",8,8,4,6,8,9,8,8
"pattern_40",7,8,4,7,8,8,8,7
"pattern_44",8,8,4,6,8,7,9,8
"pattern_53",8,8,4,6,8,7,9,8
"pattern_57",8,8,5,6,7,9,8,8
"pattern_47",8,8,4,6,7,9,8,8
"pattern_48",8,9,8,8,6,7,9,9
"pattern_52",8,9,5,7,8,7,9,9
"pattern_55",7,8,6,8,7,8,8,7
"pattern_59",8,8,5,7,7,9,8,8
"pattern_45",9,8,4,6,8,8,9,9
"pattern_46",7,9,8,8,6,6,9,8
"pattern_51",9,8,4,6,8,8,9,9
"pattern_50",7,9,9,9,5,8,8,8
"pattern_54",8,9,8,9,7,7,9,9
"pattern_56",8,9,4,7,8,7,9,9
"pattern_58",7,9,4,7,7,8,8,8
"pattern_60",8,8,4,6,8,7,9,8
"pattern_61",7,9,6,8,7,6,9,8
"pattern_62",8,8,4,7,8,9,8,8
