"cluster","expert","vol_cluster","vol_expert","vol_common","pct_cluster_covered","pct_expert_covered","jaccard"
"cluster_1","Early.Adopter",5,4,2,40,50,28.5714285714286
"cluster_1","Uninterested",5,5,3,60,60,42.8571428571429
"cluster_1","Homo.Economicus",5,4,4,80,100,80
"cluster_1","Fearful",5,4,4,80,100,80
"cluster_1","Stubborn",5,2,2,40,100,40
"cluster_1","Influencer",5,4,1,20,25,12.5
"cluster_1","Careful",5,5,5,100,100,100
"cluster_1","Activist",5,3,3,60,100,60
"cluster_2","Early.Adopter",8,4,4,50,100,50
"cluster_2","Uninterested",8,5,4,50,80,44.4444444444444
"cluster_2","Homo.Economicus",8,4,4,50,100,50
"cluster_2","Fearful",8,4,3,37.5,75,33.3333333333333
"cluster_2","Stubborn",8,2,2,25,100,25
"cluster_2","Influencer",8,4,4,50,100,50
"cluster_2","Careful",8,5,4,50,80,44.4444444444444
"cluster_2","Activist",8,3,3,37.5,100,37.5
