"cluster","expert","vol_cluster","vol_expert","vol_common","pct_cluster_covered","pct_expert_covered","jaccard"
"cluster_1","Early.Adopter",5,6,2,40,33.3333333333333,22.2222222222222
"cluster_1","Uninterested",5,5,4,80,80,66.6666666666667
"cluster_1","Homo.Economicus",5,3,3,60,100,60
"cluster_1","Fearful",5,7,5,100,71.4285714285714,71.4285714285714
"cluster_1","Stubborn",5,5,4,80,80,66.6666666666667
"cluster_1","Influencer",5,5,2,40,40,25
"cluster_1","Careful",5,7,5,100,71.4285714285714,71.4285714285714
"cluster_2","Early.Adopter",8,6,6,75,100,75
"cluster_2","Uninterested",8,5,4,50,80,44.4444444444444
"cluster_2","Homo.Economicus",8,3,3,37.5,100,37.5
"cluster_2","Fearful",8,7,6,75,85.7142857142857,66.6666666666667
"cluster_2","Stubborn",8,5,5,62.5,100,62.5
"cluster_2","Influencer",8,5,5,62.5,100,62.5
"cluster_2","Careful",8,7,6,75,85.7142857142857,66.6666666666667
