"pattern","freq","best_archetype_within_K","best_dist_within_K","best_sim_jaccard_within_K"
"pattern_1",2454593,"Stubborn",2,1
"pattern_12",770663,"Stubborn",4,0
"pattern_7",623928,"Stubborn",3,0
"pattern_3",605169,"Stubborn",3,0
"pattern_18",455352,"Stubborn",4,0
"pattern_6",439103,"Stubborn",4,0
"pattern_4",394758,"Stubborn",9,0
"pattern_8",292107,"Stubborn",8,0
"pattern_2",242945,"Stubborn",2,0
"pattern_10",195348,"Stubborn",4,0
"pattern_5",191204,"Stubborn",5,0
"pattern_20",147069,"Stubborn",5,0
"pattern_19",134646,"Stubborn",5,0
"pattern_13",123316,"Stubborn",4,0
"pattern_15",119153,"Stubborn",2,0
"pattern_21",102417,"Stubborn",4,0
"pattern_24",88309,"Stubborn",3,0
"pattern_9",83831,"Stubborn",3,0
"pattern_17",78154,"Stubborn",7,0
"pattern_29",59140,"Stubborn",6,0
"pattern_16",48570,"Stubborn",4,0
"pattern_14",43834,"Stubborn",3,0
"pattern_23",38364,"Stubborn",4,0
"pattern_26",34320,"Stubborn",7,0
"pattern_27",33847,"Stubborn",3,0
"pattern_32",32105,"Stubborn",3,0
"pattern_31",18966,"Stubborn",5,0
"pattern_30",17141,"Stubborn",2,0
"pattern_37",12425,"Stubborn",6,0
"pattern_25",11752,"Stubborn",5,0
"pattern_41",10371,"Stubborn",4,0
"pattern_44",9995,"Stubborn",5,0
"pattern_33",8569,"Stubborn",5,0
"pattern_38",8415,"Stubborn",3,0
"pattern_39",7809,"Stubborn",5,0
"pattern_28",7110,"Stubborn",6,0
"pattern_46",6660,"Stubborn",7,0
"pattern_34",5635,"Stubborn",4,0
"pattern_43",4261,"Stubborn",8,0
"pattern_42",4175,"Stubborn",6,0
"pattern_45",3694,"Stubborn",4,0
"pattern_53",2913,"Stubborn",5,0
"pattern_11",2803,"Stubborn",5,0
"pattern_48",2571,"Stubborn",8,0
"pattern_36",2459,"Stubborn",6,0
"pattern_40",1792,"Stubborn",5,0
"pattern_67",1421,"Stubborn",4,0
"pattern_52",1211,"Stubborn",4,0
"pattern_51",1109,"Stubborn",4,0
"pattern_54",1092,"Stubborn",4,0
"pattern_55",1007,"Influencer",5,0
"pattern_61",982,"Stubborn",5,0
"pattern_57",910,"Stubborn",3,0
"pattern_50",860,"Stubborn",3,0
"pattern_35",759,"Stubborn",5,0
"pattern_66",579,"Stubborn",6,0
"pattern_63",576,"Stubborn",5,0
"pattern_56",540,"Stubborn",5,0
"pattern_64",516,"Stubborn",5,0
"pattern_49",494,"Stubborn",4,0
"pattern_75",492,"Stubborn",3,0
"pattern_22",413,"Stubborn",8,0
"pattern_72",352,"Stubborn",7,0
"pattern_58",334,"Stubborn",6,0
"pattern_47",323,"Stubborn",4,0
"pattern_60",284,"Stubborn",3,0
"pattern_85",233,"Stubborn",5,0
"pattern_62",227,"Stubborn",5,0
"pattern_91",221,"Stubborn",4,0
"pattern_80",212,"Stubborn",5,0
"pattern_88",194,"Stubborn",5,0
"pattern_73",178,"Stubborn",6,0
"pattern_95",175,"Stubborn",4,0
"pattern_96",159,"Stubborn",4,0
"pattern_78",151,"Stubborn",7,0
"pattern_68",146,"Stubborn",5,0
"pattern_101",114,"Stubborn",5,0
"pattern_70",101,"Stubborn",6,0
"pattern_76",98,"Stubborn",7,0
"pattern_102",96,"Stubborn",6,0
"pattern_74",84,"Stubborn",6,0
"pattern_92",82,"Stubborn",3,0
"pattern_65",73,"Stubborn",3,0
"pattern_87",72,"Stubborn",6,0
"pattern_89",71,"Stubborn",7,0
"pattern_69",63,"Stubborn",5,0
"pattern_71",59,"Stubborn",3,0
"pattern_81",59,"Stubborn",4,0
"pattern_109",55,"Stubborn",4,0
"pattern_86",49,"Stubborn",3,0
"pattern_82",47,"Stubborn",7,0
"pattern_93",46,"Stubborn",7,0
"pattern_120",43,"Stubborn",3,0
"pattern_77",40,"Stubborn",4,0
"pattern_59",39,"Stubborn",5,0
"pattern_84",37,"Stubborn",6,0
"pattern_106",37,"Stubborn",8,0
"pattern_79",36,"Stubborn",4,0
"pattern_143",34,"Stubborn",3,0
"pattern_115",30,"Stubborn",6,0
"pattern_98",27,"Stubborn",5,0
"pattern_83",26,"Influencer",6,0
"pattern_136",26,"Stubborn",6,0
"pattern_137",26,"Stubborn",4,0
"pattern_138",24,"Stubborn",5,0
"pattern_124",23,"Stubborn",4,0
"pattern_104",21,"Stubborn",6,0
"pattern_108",19,"Stubborn",7,0
"pattern_129",17,"Stubborn",6,0
"pattern_116",16,"Stubborn",5,0
"pattern_99",14,"Stubborn",5,0
"pattern_151",14,"Stubborn",6,0
"pattern_100",13,"Stubborn",6,0
"pattern_117",13,"Stubborn",4,0
"pattern_149",12,"Stubborn",4,0
"pattern_159",12,"Stubborn",3,0
"pattern_107",11,"Stubborn",5,0
"pattern_154",11,"Stubborn",7,0
"pattern_168",10,"Stubborn",4,0
"pattern_97",9,"Stubborn",7,0
"pattern_152",9,"Stubborn",4,0
"pattern_90",8,"Stubborn",7,0
"pattern_141",8,"Stubborn",5,0
"pattern_144",8,"Stubborn",4,0
"pattern_148",8,"Stubborn",6,0
"pattern_150",8,"Stubborn",6,0
"pattern_94",7,"Stubborn",4,0
"pattern_114",7,"Stubborn",6,0
"pattern_123",7,"Stubborn",6,0
"pattern_133",7,"Stubborn",6,0
"pattern_169",7,"Stubborn",5,0
"pattern_173",7,"Stubborn",8,0
"pattern_130",6,"Stubborn",4,0
"pattern_161",6,"Stubborn",6,0
"pattern_167",6,"Stubborn",5,0
"pattern_170",6,"Stubborn",5,0
"pattern_190",6,"Stubborn",4,0
"pattern_105",5,"Stubborn",5,0
"pattern_125",5,"Stubborn",8,0
"pattern_158",5,"Stubborn",4,0
"pattern_164",5,"Stubborn",5,0
"pattern_189",5,"Stubborn",5,0
"pattern_110",4,"Stubborn",9,0
"pattern_128",4,"Stubborn",4,0
"pattern_135",4,"Stubborn",4,0
"pattern_157",4,"Stubborn",5,0
"pattern_179",4,"Stubborn",4,0
"pattern_185",4,"Stubborn",4,0
"pattern_118",3,"Stubborn",7,0
"pattern_119",3,"Stubborn",7,0
"pattern_140",3,"Stubborn",4,0
"pattern_142",3,"Stubborn",4,0
"pattern_145",3,"Stubborn",5,0
"pattern_155",3,"Stubborn",4,0
"pattern_162",3,"Stubborn",6,0
"pattern_171",3,"Stubborn",3,0
"pattern_181",3,"Stubborn",6,0
"pattern_191",3,"Stubborn",4,0
"pattern_112",2,"Stubborn",7,0
"pattern_113",2,"Stubborn",5,0
"pattern_121",2,"Stubborn",6,0
"pattern_122",2,"Stubborn",8,0
"pattern_126",2,"Stubborn",6,0
"pattern_131",2,"Fearful",4,0
"pattern_132",2,"Stubborn",5,0
"pattern_134",2,"Stubborn",5,0
"pattern_139",2,"Stubborn",4,0
"pattern_146",2,"Stubborn",5,0
"pattern_147",2,"Stubborn",7,0
"pattern_156",2,"Stubborn",7,0
"pattern_160",2,"Stubborn",7,0
"pattern_166",2,"Stubborn",4,0
"pattern_175",2,"Stubborn",4,0
"pattern_177",2,"Stubborn",7,0
"pattern_178",2,"Stubborn",5,0
"pattern_188",2,"Stubborn",4,0
"pattern_192",2,"Stubborn",4,0
"pattern_193",2,"Stubborn",7,0
"pattern_194",2,"Stubborn",4,0
