"pattern","freq","best_archetype_within_K","best_dist_within_K","best_sim_jaccard_within_K"
"pattern_4",2740460,"Stubborn",5,0
"pattern_3",2195166,"Stubborn",9,0
"pattern_1",1199441,"Stubborn",4,0
"pattern_2",663042,"Stubborn",6,0
"pattern_7",212788,"Stubborn",8,0
"pattern_8",198628,"Stubborn",4,0
"pattern_6",184764,"Stubborn",3,0
"pattern_5",151960,"Stubborn",7,0
"pattern_9",145369,"Stubborn",6,0
"pattern_12",68325,"Stubborn",2,0
"pattern_11",55134,"Stubborn",8,0
"pattern_14",45484,"Stubborn",7,0
"pattern_16",39260,"Stubborn",5,0
"pattern_15",26302,"Stubborn",8,0
"pattern_18",23887,"Stubborn",7,0
"pattern_17",16417,"Stubborn",7,0
"pattern_13",10644,"Stubborn",6,0
"pattern_10",3615,"Stubborn",2,0
"pattern_20",3358,"Stubborn",3,0
"pattern_21",2542,"Stubborn",3,0
"pattern_24",2393,"Stubborn",8,0
"pattern_19",1459,"Stubborn",6,0
"pattern_32",1158,"Stubborn",7,0
"pattern_29",865,"Stubborn",5,0
"pattern_25",853,"Stubborn",8,0
"pattern_23",832,"Stubborn",5,0
"pattern_28",822,"Stubborn",7,0
"pattern_22",751,"Stubborn",6,0
"pattern_30",747,"Stubborn",5,0
"pattern_34",725,"Stubborn",7,0
"pattern_31",592,"Stubborn",6,0
"pattern_36",584,"Stubborn",2,1
"pattern_38",411,"Stubborn",3,0
"pattern_37",266,"Stubborn",6,0
"pattern_27",255,"Stubborn",7,0
"pattern_35",170,"Stubborn",6,0
"pattern_39",142,"Stubborn",4,0
"pattern_33",124,"Stubborn",7,0
"pattern_26",88,"Stubborn",7,0
"pattern_42",36,"Stubborn",6,0
"pattern_41",35,"Stubborn",5,0
"pattern_49",23,"Stubborn",3,0
"pattern_43",17,"Stubborn",4,0
"pattern_40",13,"Stubborn",2,0
"pattern_44",11,"Stubborn",3,0
"pattern_53",5,"Stubborn",4,0
"pattern_57",5,"Stubborn",6,0
"pattern_47",4,"Stubborn",4,0
"pattern_48",4,"Fearful",8,0
"pattern_52",4,"Stubborn",6,0
"pattern_55",4,"Stubborn",3,0
"pattern_59",3,"Stubborn",3,0
"pattern_45",2,"Stubborn",4,0
"pattern_46",2,"Stubborn",8,0
"pattern_51",2,"Stubborn",5,0
"pattern_50",1,"Stubborn",7,0
"pattern_54",1,"Fearful",7,0
"pattern_56",1,"Stubborn",5,0
"pattern_58",1,"Stubborn",4,0
"pattern_60",1,"Stubborn",5,0
"pattern_61",1,"Stubborn",7,0
"pattern_62",1,"Stubborn",3,0
