"scenario","type","reference","K","D","D_order","archetypes_used","n_patterns_covered","freq_covered","pct_covered"
"100-9-top3","pos","sins",1,0,4,"Uninterested",0,0,0
"100-9-top3","pos","sins",1,2,4,"Uninterested",0,0,0
"100-9-top3","pos","sins",1,4,4,"Uninterested",7,4527223,56.5902875
"100-9-top3","pos","sins",1,6,4,"Uninterested",64,7995070,99.938375
"100-9-top3","pos","sins",1,8,4,"Uninterested",91,8000000,100
"100-9-top3","pos","sins",1,10,4,"Uninterested",91,8000000,100
"100-9-top3","pos","sins",2,0,4,"Uninterested | Homo.Economicus",0,0,0
"100-9-top3","pos","sins",2,2,4,"Uninterested | Homo.Economicus",3,4594,0.057425
"100-9-top3","pos","sins",2,4,4,"Uninterested | Homo.Economicus",47,7951979,99.3997375
"100-9-top3","pos","sins",2,6,4,"Uninterested | Homo.Economicus",91,8000000,100
"100-9-top3","pos","sins",2,8,4,"Uninterested | Homo.Economicus",91,8000000,100
"100-9-top3","pos","sins",2,10,4,"Uninterested | Homo.Economicus",91,8000000,100
"100-9-top3","pos","sins",3,0,4,"Uninterested | Homo.Economicus | Influencer",0,0,0
"100-9-top3","pos","sins",3,2,4,"Uninterested | Homo.Economicus | Influencer",3,4594,0.057425
"100-9-top3","pos","sins",3,4,4,"Uninterested | Homo.Economicus | Influencer",55,7952019,99.4002375
"100-9-top3","pos","sins",3,6,4,"Uninterested | Homo.Economicus | Influencer",91,8000000,100
"100-9-top3","pos","sins",3,8,4,"Uninterested | Homo.Economicus | Influencer",91,8000000,100
"100-9-top3","pos","sins",3,10,4,"Uninterested | Homo.Economicus | Influencer",91,8000000,100
"100-9-top3","pos","sins",4,0,4,"Uninterested | Homo.Economicus | Influencer | Careful",0,0,0
"100-9-top3","pos","sins",4,2,4,"Uninterested | Homo.Economicus | Influencer | Careful",3,4594,0.057425
"100-9-top3","pos","sins",4,4,4,"Uninterested | Homo.Economicus | Influencer | Careful",55,7952019,99.4002375
"100-9-top3","pos","sins",4,6,4,"Uninterested | Homo.Economicus | Influencer | Careful",91,8000000,100
"100-9-top3","pos","sins",4,8,4,"Uninterested | Homo.Economicus | Influencer | Careful",91,8000000,100
"100-9-top3","pos","sins",4,10,4,"Uninterested | Homo.Economicus | Influencer | Careful",91,8000000,100
"100-9-top3","pos","sins",5,0,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter",0,0,0
"100-9-top3","pos","sins",5,2,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter",3,4594,0.057425
"100-9-top3","pos","sins",5,4,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter",55,7952019,99.4002375
"100-9-top3","pos","sins",5,6,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter",91,8000000,100
"100-9-top3","pos","sins",5,8,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter",91,8000000,100
"100-9-top3","pos","sins",5,10,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter",91,8000000,100
"100-9-top3","pos","sins",6,0,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful",0,0,0
"100-9-top3","pos","sins",6,2,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful",3,4594,0.057425
"100-9-top3","pos","sins",6,4,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful",55,7952019,99.4002375
"100-9-top3","pos","sins",6,6,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful",91,8000000,100
"100-9-top3","pos","sins",6,8,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful",91,8000000,100
"100-9-top3","pos","sins",6,10,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful",91,8000000,100
"100-9-top3","pos","sins",7,0,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful | Stubborn",0,0,0
"100-9-top3","pos","sins",7,2,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful | Stubborn",3,4594,0.057425
"100-9-top3","pos","sins",7,4,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful | Stubborn",55,7952019,99.4002375
"100-9-top3","pos","sins",7,6,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful | Stubborn",91,8000000,100
"100-9-top3","pos","sins",7,8,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful | Stubborn",91,8000000,100
"100-9-top3","pos","sins",7,10,4,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful | Stubborn",91,8000000,100
