"","Early.Adopter","Uninterested","Homo.Economicus","Fearful","Stubborn","Influencer","Careful","Activist"
"pattern_1",5,5,5,5,3,6,5,4
"pattern_2",5,6,4,5,3,6,5,3
"pattern_3",5,7,4,5,3,6,5,4
"pattern_4",6,5,5,5,4,7,5,4
"pattern_5",4,6,4,5,2,5,5,3
"pattern_6",6,6,5,5,4,7,5,5
"pattern_7",5,6,6,6,4,6,6,5
"pattern_8",4,7,5,6,3,5,6,4
"pattern_9",6,4,5,4,4,6,5,4
"pattern_10",6,6,4,4,4,6,5,4
"pattern_11",6,5,5,4,4,6,5,5
"pattern_12",4,5,4,4,2,4,5,3
"pattern_13",5,8,5,6,4,6,6,5
"pattern_14",4,6,5,6,3,6,6,4
"pattern_15",6,7,4,5,4,7,5,4
"pattern_16",5,7,5,6,4,6,6,4
"pattern_17",5,7,5,6,3,5,6,4
"pattern_18",4,7,6,7,4,6,7,5
"pattern_19",5,5,6,6,4,7,6,5
"pattern_20",4,5,4,4,2,4,5,3
"pattern_21",5,6,5,6,4,7,6,4
"pattern_22",5,5,5,5,4,6,6,4
"pattern_23",6,6,6,6,4,6,6,5
"pattern_24",6,7,5,6,4,6,6,4
"pattern_25",5,6,4,4,3,5,5,4
"pattern_26",5,5,6,5,4,5,6,5
"pattern_27",6,6,5,5,4,5,6,4
"pattern_28",5,8,6,7,4,5,7,5
"pattern_29",5,7,5,6,4,7,6,5
"pattern_30",6,8,5,6,4,6,6,5
"pattern_31",5,6,5,5,4,6,6,5
"pattern_32",6,6,6,5,5,6,6,6
"pattern_33",7,5,5,4,5,7,5,5
"pattern_34",6,6,6,6,5,6,7,5
"pattern_35",6,5,6,5,5,6,6,5
"pattern_36",5,7,6,7,4,6,7,5
"pattern_37",6,6,5,5,5,7,6,5
"pattern_38",5,5,7,6,5,6,7,6
"pattern_39",5,7,5,5,4,5,6,5
"pattern_40",6,4,6,5,5,7,6,5
"pattern_41",5,6,5,5,4,5,6,4
"pattern_42",6,6,7,6,5,5,7,6
"pattern_43",5,6,5,6,3,5,6,4
"pattern_44",6,5,6,5,4,5,6,5
"pattern_45",7,5,6,5,5,6,6,5
"pattern_46",6,7,5,5,4,5,6,5
"pattern_47",6,5,6,5,5,7,6,6
"pattern_48",5,6,6,6,5,6,7,5
"pattern_49",6,6,5,6,4,6,6,4
"pattern_50",7,7,5,5,5,6,6,5
"pattern_51",6,5,5,5,4,5,6,4
"pattern_52",5,5,4,4,3,5,5,3
"pattern_53",5,4,6,5,4,6,6,5
"pattern_54",7,6,6,5,5,6,6,6
"pattern_55",5,7,7,7,5,5,8,6
"pattern_56",5,6,6,6,4,5,7,5
"pattern_57",6,5,7,6,5,6,7,6
"pattern_58",6,7,5,6,4,6,6,5
"pattern_59",6,7,6,6,5,6,7,6
"pattern_60",4,6,4,5,2,5,5,3
"pattern_61",6,5,6,6,4,6,6,5
"pattern_62",6,7,6,6,5,5,7,5
"pattern_63",6,5,6,6,5,6,7,5
"pattern_64",5,4,5,4,3,5,5,4
"pattern_65",5,7,6,6,4,4,7,5
"pattern_66",5,7,6,7,4,5,7,5
"pattern_67",6,7,5,5,5,6,6,5
"pattern_68",6,7,6,7,4,5,7,5
"pattern_69",4,6,6,6,4,5,7,5
"pattern_70",6,8,6,6,5,5,7,6
"pattern_71",5,6,6,7,4,6,7,5
"pattern_72",6,5,7,6,5,5,7,6
"pattern_73",6,4,6,5,4,5,6,5
"pattern_74",5,5,5,5,3,4,6,4
"pattern_75",5,6,6,6,4,4,7,5
"pattern_76",6,7,7,7,5,4,8,6
"pattern_77",6,6,6,6,5,6,7,6
"pattern_78",6,6,6,6,4,4,7,5
"pattern_79",6,6,5,5,4,5,6,5
"pattern_80",7,6,6,6,5,5,7,5
"pattern_81",5,6,4,4,3,5,5,4
"pattern_82",5,6,7,7,5,5,8,6
"pattern_83",5,7,6,6,5,6,7,6
"pattern_84",7,6,5,5,5,6,6,5
"pattern_85",5,5,6,6,4,5,7,5
"pattern_86",6,4,7,6,5,6,7,6
"pattern_87",7,4,6,5,5,6,6,5
"pattern_88",7,5,7,6,5,5,7,6
"pattern_89",6,6,7,7,5,5,8,6
"pattern_90",7,7,6,6,5,5,7,6
"pattern_91",5,7,4,5,3,6,5,4
