"scenario","type","reference","archetype","D","n_patterns_covered","freq_covered","pct_covered"
"100-9-top3","pos","experts","Early.Adopter",0,0,0,0
"100-9-top3","pos","experts","Early.Adopter",2,0,0,0
"100-9-top3","pos","experts","Early.Adopter",4,8,86773,1.0846625
"100-9-top3","pos","experts","Early.Adopter",6,82,7999756,99.99695
"100-9-top3","pos","experts","Early.Adopter",8,91,8000000,100
"100-9-top3","pos","experts","Early.Adopter",10,91,8000000,100
"100-9-top3","pos","experts","Uninterested",0,0,0,0
"100-9-top3","pos","experts","Uninterested",2,0,0,0
"100-9-top3","pos","experts","Uninterested",4,7,8509,0.1063625
"100-9-top3","pos","experts","Uninterested",6,63,7167115,89.5889375
"100-9-top3","pos","experts","Uninterested",8,91,8000000,100
"100-9-top3","pos","experts","Uninterested",10,91,8000000,100
"100-9-top3","pos","experts","Homo.Economicus",0,0,0,0
"100-9-top3","pos","experts","Homo.Economicus",2,0,0,0
"100-9-top3","pos","experts","Homo.Economicus",4,12,3372288,42.1536
"100-9-top3","pos","experts","Homo.Economicus",6,81,7999830,99.997875
"100-9-top3","pos","experts","Homo.Economicus",8,91,8000000,100
"100-9-top3","pos","experts","Homo.Economicus",10,91,8000000,100
"100-9-top3","pos","experts","Fearful",0,0,0,0
"100-9-top3","pos","experts","Fearful",2,0,0,0
"100-9-top3","pos","experts","Fearful",4,10,21249,0.2656125
"100-9-top3","pos","experts","Fearful",6,81,7998822,99.985275
"100-9-top3","pos","experts","Fearful",8,91,8000000,100
"100-9-top3","pos","experts","Fearful",10,91,8000000,100
"100-9-top3","pos","experts","Stubborn",0,0,0,0
"100-9-top3","pos","experts","Stubborn",2,4,72514,0.906425
"100-9-top3","pos","experts","Stubborn",4,59,7998990,99.987375
"100-9-top3","pos","experts","Stubborn",6,91,8000000,100
"100-9-top3","pos","experts","Stubborn",8,91,8000000,100
"100-9-top3","pos","experts","Stubborn",10,91,8000000,100
"100-9-top3","pos","experts","Influencer",0,0,0,0
"100-9-top3","pos","experts","Influencer",2,0,0,0
"100-9-top3","pos","experts","Influencer",4,7,4222,0.052775
"100-9-top3","pos","experts","Influencer",6,81,7821842,97.773025
"100-9-top3","pos","experts","Influencer",8,91,8000000,100
"100-9-top3","pos","experts","Influencer",10,91,8000000,100
"100-9-top3","pos","experts","Careful",0,0,0,0
"100-9-top3","pos","experts","Careful",2,0,0,0
"100-9-top3","pos","experts","Careful",4,0,0,0
"100-9-top3","pos","experts","Careful",6,59,7998457,99.9807125
"100-9-top3","pos","experts","Careful",8,91,8000000,100
"100-9-top3","pos","experts","Careful",10,91,8000000,100
"100-9-top3","pos","experts","Activist",0,0,0,0
"100-9-top3","pos","experts","Activist",2,0,0,0
"100-9-top3","pos","experts","Activist",4,29,7917597,98.9699625
"100-9-top3","pos","experts","Activist",6,91,8000000,100
"100-9-top3","pos","experts","Activist",8,91,8000000,100
"100-9-top3","pos","experts","Activist",10,91,8000000,100
"100-9-top3","pos","kmeans","Early.Adopter",0,0,0,0
"100-9-top3","pos","kmeans","Early.Adopter",2,0,0,0
"100-9-top3","pos","kmeans","Early.Adopter",4,0,0,0
"100-9-top3","pos","kmeans","Early.Adopter",6,15,4056,0.0507
"100-9-top3","pos","kmeans","Early.Adopter",8,86,7952164,99.40205
"100-9-top3","pos","kmeans","Early.Adopter",10,91,8000000,100
"100-9-top3","pos","kmeans","Fearful",0,0,0,0
"100-9-top3","pos","kmeans","Fearful",2,0,0,0
"100-9-top3","pos","kmeans","Fearful",4,0,0,0
"100-9-top3","pos","kmeans","Fearful",6,0,0,0
"100-9-top3","pos","kmeans","Fearful",8,63,7994524,99.93155
"100-9-top3","pos","kmeans","Fearful",10,91,8000000,100
"100-9-top3","pos","kmeans","Careful",0,0,0,0
"100-9-top3","pos","kmeans","Careful",2,0,0,0
"100-9-top3","pos","kmeans","Careful",4,20,7961044,99.51305
"100-9-top3","pos","kmeans","Careful",6,71,7999645,99.9955625
"100-9-top3","pos","kmeans","Careful",8,91,8000000,100
"100-9-top3","pos","kmeans","Careful",10,91,8000000,100
"100-9-top3","pos","kmeans","Stubborn",0,0,0,0
"100-9-top3","pos","kmeans","Stubborn",2,0,0,0
"100-9-top3","pos","kmeans","Stubborn",4,0,0,0
"100-9-top3","pos","kmeans","Stubborn",6,20,7783705,97.2963125
"100-9-top3","pos","kmeans","Stubborn",8,85,7999976,99.9997
"100-9-top3","pos","kmeans","Stubborn",10,91,8000000,100
"100-9-top3","pos","kmeans","Influencer",0,0,0,0
"100-9-top3","pos","kmeans","Influencer",2,0,0,0
"100-9-top3","pos","kmeans","Influencer",4,0,0,0
"100-9-top3","pos","kmeans","Influencer",6,27,1552,0.0194
"100-9-top3","pos","kmeans","Influencer",8,86,3409892,42.62365
"100-9-top3","pos","kmeans","Influencer",10,91,8000000,100
"100-9-top3","pos","kmeans","Uninterested",0,0,0,0
"100-9-top3","pos","kmeans","Uninterested",2,0,0,0
"100-9-top3","pos","kmeans","Uninterested",4,0,0,0
"100-9-top3","pos","kmeans","Uninterested",6,6,832,0.0104
"100-9-top3","pos","kmeans","Uninterested",8,74,7178543,89.7317875
"100-9-top3","pos","kmeans","Uninterested",10,91,8000000,100
"100-9-top3","pos","kmeans","Homo.Economicus",0,0,0,0
"100-9-top3","pos","kmeans","Homo.Economicus",2,0,0,0
"100-9-top3","pos","kmeans","Homo.Economicus",4,0,0,0
"100-9-top3","pos","kmeans","Homo.Economicus",6,0,0,0
"100-9-top3","pos","kmeans","Homo.Economicus",8,63,3395382,42.442275
"100-9-top3","pos","kmeans","Homo.Economicus",10,91,8000000,100
"100-9-top3","pos","kmeans","X8",0,0,0,0
"100-9-top3","pos","kmeans","X8",2,0,0,0
"100-9-top3","pos","kmeans","X8",4,0,0,0
"100-9-top3","pos","kmeans","X8",6,0,0,0
"100-9-top3","pos","kmeans","X8",8,85,7952135,99.4016875
"100-9-top3","pos","kmeans","X8",10,91,8000000,100
"100-9-top3","pos","sins","Early.Adopter",0,0,0,0
"100-9-top3","pos","sins","Early.Adopter",2,0,0,0
"100-9-top3","pos","sins","Early.Adopter",4,0,0,0
"100-9-top3","pos","sins","Early.Adopter",6,39,8917,0.1114625
"100-9-top3","pos","sins","Early.Adopter",8,90,7869269,98.3658625
"100-9-top3","pos","sins","Early.Adopter",10,91,8000000,100
"100-9-top3","pos","sins","Uninterested",0,0,0,0
"100-9-top3","pos","sins","Uninterested",2,0,0,0
"100-9-top3","pos","sins","Uninterested",4,7,4527223,56.5902875
"100-9-top3","pos","sins","Uninterested",6,64,7995070,99.938375
"100-9-top3","pos","sins","Uninterested",8,91,8000000,100
"100-9-top3","pos","sins","Uninterested",10,91,8000000,100
"100-9-top3","pos","sins","Homo.Economicus",0,0,0,0
"100-9-top3","pos","sins","Homo.Economicus",2,3,4594,0.057425
"100-9-top3","pos","sins","Homo.Economicus",4,42,3433176,42.9147
"100-9-top3","pos","sins","Homo.Economicus",6,91,8000000,100
"100-9-top3","pos","sins","Homo.Economicus",8,91,8000000,100
"100-9-top3","pos","sins","Homo.Economicus",10,91,8000000,100
"100-9-top3","pos","sins","Fearful",0,0,0,0
"100-9-top3","pos","sins","Fearful",2,0,0,0
"100-9-top3","pos","sins","Fearful",4,0,0,0
"100-9-top3","pos","sins","Fearful",6,15,4575411,57.1926375
"100-9-top3","pos","sins","Fearful",8,85,7999212,99.99015
"100-9-top3","pos","sins","Fearful",10,91,8000000,100
"100-9-top3","pos","sins","Stubborn",0,0,0,0
"100-9-top3","pos","sins","Stubborn",2,0,0,0
"100-9-top3","pos","sins","Stubborn",4,0,0,0
"100-9-top3","pos","sins","Stubborn",6,60,7969950,99.624375
"100-9-top3","pos","sins","Stubborn",8,91,8000000,100
"100-9-top3","pos","sins","Stubborn",10,91,8000000,100
"100-9-top3","pos","sins","Influencer",0,0,0,0
"100-9-top3","pos","sins","Influencer",2,0,0,0
"100-9-top3","pos","sins","Influencer",4,14,239,0.0029875
"100-9-top3","pos","sins","Influencer",6,69,900373,11.2546625
"100-9-top3","pos","sins","Influencer",8,91,8000000,100
"100-9-top3","pos","sins","Influencer",10,91,8000000,100
"100-9-top3","pos","sins","Careful",0,0,0,0
"100-9-top3","pos","sins","Careful",2,0,0,0
"100-9-top3","pos","sins","Careful",4,0,0,0
"100-9-top3","pos","sins","Careful",6,30,7968993,99.6124125
"100-9-top3","pos","sins","Careful",8,86,7999941,99.9992625
"100-9-top3","pos","sins","Careful",10,91,8000000,100
"100-9-top3","ext","experts","Early.Adopter",0,0,0,0
"100-9-top3","ext","experts","Early.Adopter",2,0,0,0
"100-9-top3","ext","experts","Early.Adopter",4,14,4743418,59.292725
"100-9-top3","ext","experts","Early.Adopter",6,92,7999939,99.9992375
"100-9-top3","ext","experts","Early.Adopter",8,96,8000000,100
"100-9-top3","ext","experts","Early.Adopter",10,96,8000000,100
"100-9-top3","ext","experts","Uninterested",0,0,0,0
"100-9-top3","ext","experts","Uninterested",2,0,0,0
"100-9-top3","ext","experts","Uninterested",4,10,253894,3.173675
"100-9-top3","ext","experts","Uninterested",6,75,7762639,97.0329875
"100-9-top3","ext","experts","Uninterested",8,96,8000000,100
"100-9-top3","ext","experts","Uninterested",10,96,8000000,100
"100-9-top3","ext","experts","Homo.Economicus",0,0,0,0
"100-9-top3","ext","experts","Homo.Economicus",2,0,0,0
"100-9-top3","ext","experts","Homo.Economicus",4,12,3088982,38.612275
"100-9-top3","ext","experts","Homo.Economicus",6,86,7766502,97.081275
"100-9-top3","ext","experts","Homo.Economicus",8,96,8000000,100
"100-9-top3","ext","experts","Homo.Economicus",10,96,8000000,100
"100-9-top3","ext","experts","Fearful",0,0,0,0
"100-9-top3","ext","experts","Fearful",2,0,0,0
"100-9-top3","ext","experts","Fearful",4,13,2797074,34.963425
"100-9-top3","ext","experts","Fearful",6,87,7795586,97.444825
"100-9-top3","ext","experts","Fearful",8,96,8000000,100
"100-9-top3","ext","experts","Fearful",10,96,8000000,100
"100-9-top3","ext","experts","Stubborn",0,0,0,0
"100-9-top3","ext","experts","Stubborn",2,4,2833832,35.4229
"100-9-top3","ext","experts","Stubborn",4,74,7766205,97.0775625
"100-9-top3","ext","experts","Stubborn",6,96,8000000,100
"100-9-top3","ext","experts","Stubborn",8,96,8000000,100
"100-9-top3","ext","experts","Stubborn",10,96,8000000,100
"100-9-top3","ext","experts","Influencer",0,0,0,0
"100-9-top3","ext","experts","Influencer",2,0,0,0
"100-9-top3","ext","experts","Influencer",4,12,2698625,33.7328125
"100-9-top3","ext","experts","Influencer",6,87,7611041,95.1380125
"100-9-top3","ext","experts","Influencer",8,96,8000000,100
"100-9-top3","ext","experts","Influencer",10,96,8000000,100
"100-9-top3","ext","experts","Careful",0,0,0,0
"100-9-top3","ext","experts","Careful",2,0,0,0
"100-9-top3","ext","experts","Careful",4,0,0,0
"100-9-top3","ext","experts","Careful",6,68,6655114,83.188925
"100-9-top3","ext","experts","Careful",8,96,8000000,100
"100-9-top3","ext","experts","Careful",10,96,8000000,100
"100-9-top3","ext","experts","Activist",0,0,0,0
"100-9-top3","ext","experts","Activist",2,0,0,0
"100-9-top3","ext","experts","Activist",4,41,6204423,77.5552875
"100-9-top3","ext","experts","Activist",6,96,8000000,100
"100-9-top3","ext","experts","Activist",8,96,8000000,100
"100-9-top3","ext","experts","Activist",10,96,8000000,100
"100-9-top3","ext","kmeans","Early.Adopter",0,0,0,0
"100-9-top3","ext","kmeans","Early.Adopter",2,0,0,0
"100-9-top3","ext","kmeans","Early.Adopter",4,0,0,0
"100-9-top3","ext","kmeans","Early.Adopter",6,20,2230386,27.879825
"100-9-top3","ext","kmeans","Early.Adopter",8,90,7964423,99.5552875
"100-9-top3","ext","kmeans","Early.Adopter",10,96,8000000,100
"100-9-top3","ext","kmeans","Fearful",0,0,0,0
"100-9-top3","ext","kmeans","Fearful",2,0,0,0
"100-9-top3","ext","kmeans","Fearful",4,0,0,0
"100-9-top3","ext","kmeans","Fearful",6,0,0,0
"100-9-top3","ext","kmeans","Fearful",8,67,5351993,66.8999125
"100-9-top3","ext","kmeans","Fearful",10,96,8000000,100
"100-9-top3","ext","kmeans","Careful",0,0,0,0
"100-9-top3","ext","kmeans","Careful",2,0,0,0
"100-9-top3","ext","kmeans","Careful",4,19,3018928,37.7366
"100-9-top3","ext","kmeans","Careful",6,77,6871280,85.891
"100-9-top3","ext","kmeans","Careful",8,96,8000000,100
"100-9-top3","ext","kmeans","Careful",10,96,8000000,100
"100-9-top3","ext","kmeans","Stubborn",0,0,0,0
"100-9-top3","ext","kmeans","Stubborn",2,0,0,0
"100-9-top3","ext","kmeans","Stubborn",4,0,0,0
"100-9-top3","ext","kmeans","Stubborn",6,20,2563051,32.0381375
"100-9-top3","ext","kmeans","Stubborn",8,91,7996124,99.95155
"100-9-top3","ext","kmeans","Stubborn",10,96,8000000,100
"100-9-top3","ext","kmeans","Influencer",0,0,0,0
"100-9-top3","ext","kmeans","Influencer",2,0,0,0
"100-9-top3","ext","kmeans","Influencer",4,0,0,0
"100-9-top3","ext","kmeans","Influencer",6,25,2003418,25.042725
"100-9-top3","ext","kmeans","Influencer",8,90,5853603,73.1700375
"100-9-top3","ext","kmeans","Influencer",10,96,8000000,100
"100-9-top3","ext","kmeans","Uninterested",0,0,0,0
"100-9-top3","ext","kmeans","Uninterested",2,0,0,0
"100-9-top3","ext","kmeans","Uninterested",4,0,0,0
"100-9-top3","ext","kmeans","Uninterested",6,7,417600,5.22
"100-9-top3","ext","kmeans","Uninterested",8,87,7977239,99.7154875
"100-9-top3","ext","kmeans","Uninterested",10,96,8000000,100
"100-9-top3","ext","kmeans","Homo.Economicus",0,0,0,0
"100-9-top3","ext","kmeans","Homo.Economicus",2,0,0,0
"100-9-top3","ext","kmeans","Homo.Economicus",4,0,0,0
"100-9-top3","ext","kmeans","Homo.Economicus",6,0,0,0
"100-9-top3","ext","kmeans","Homo.Economicus",8,61,5336407,66.7050875
"100-9-top3","ext","kmeans","Homo.Economicus",10,96,8000000,100
"100-9-top3","ext","kmeans","X8",0,0,0,0
"100-9-top3","ext","kmeans","X8",2,0,0,0
"100-9-top3","ext","kmeans","X8",4,0,0,0
"100-9-top3","ext","kmeans","X8",6,0,0,0
"100-9-top3","ext","kmeans","X8",8,89,7964415,99.5551875
"100-9-top3","ext","kmeans","X8",10,96,8000000,100
"100-9-top3","ext","sins","Early.Adopter",0,0,0,0
"100-9-top3","ext","sins","Early.Adopter",2,0,0,0
"100-9-top3","ext","sins","Early.Adopter",4,0,0,0
"100-9-top3","ext","sins","Early.Adopter",6,40,5118430,63.980375
"100-9-top3","ext","sins","Early.Adopter",8,95,7875338,98.441725
"100-9-top3","ext","sins","Early.Adopter",10,96,8000000,100
"100-9-top3","ext","sins","Uninterested",0,0,0,0
"100-9-top3","ext","sins","Uninterested",2,0,0,0
"100-9-top3","ext","sins","Uninterested",4,10,2181616,27.2702
"100-9-top3","ext","sins","Uninterested",6,74,6687725,83.5965625
"100-9-top3","ext","sins","Uninterested",8,96,8000000,100
"100-9-top3","ext","sins","Uninterested",10,96,8000000,100
"100-9-top3","ext","sins","Homo.Economicus",0,0,0,0
"100-9-top3","ext","sins","Homo.Economicus",2,2,331,0.0041375
"100-9-top3","ext","sins","Homo.Economicus",4,42,3901274,48.765925
"100-9-top3","ext","sins","Homo.Economicus",6,96,8000000,100
"100-9-top3","ext","sins","Homo.Economicus",8,96,8000000,100
"100-9-top3","ext","sins","Homo.Economicus",10,96,8000000,100
"100-9-top3","ext","sins","Fearful",0,0,0,0
"100-9-top3","ext","sins","Fearful",2,0,0,0
"100-9-top3","ext","sins","Fearful",4,0,0,0
"100-9-top3","ext","sins","Fearful",6,20,2217738,27.721725
"100-9-top3","ext","sins","Fearful",8,90,6817207,85.2150875
"100-9-top3","ext","sins","Fearful",10,96,8000000,100
"100-9-top3","ext","sins","Stubborn",0,0,0,0
"100-9-top3","ext","sins","Stubborn",2,0,0,0
"100-9-top3","ext","sins","Stubborn",4,0,0,0
"100-9-top3","ext","sins","Stubborn",6,65,6367944,79.5993
"100-9-top3","ext","sins","Stubborn",8,96,8000000,100
"100-9-top3","ext","sins","Stubborn",10,96,8000000,100
"100-9-top3","ext","sins","Influencer",0,0,0,0
"100-9-top3","ext","sins","Influencer",2,0,0,0
"100-9-top3","ext","sins","Influencer",4,11,795797,9.9474625
"100-9-top3","ext","sins","Influencer",6,69,5600595,70.0074375
"100-9-top3","ext","sins","Influencer",8,96,8000000,100
"100-9-top3","ext","sins","Influencer",10,96,8000000,100
"100-9-top3","ext","sins","Careful",0,0,0,0
"100-9-top3","ext","sins","Careful",2,0,0,0
"100-9-top3","ext","sins","Careful",4,0,0,0
"100-9-top3","ext","sins","Careful",6,33,2863796,35.79745
"100-9-top3","ext","sins","Careful",8,91,6821620,85.27025
"100-9-top3","ext","sins","Careful",10,96,8000000,100
"10-9-top3","pos","experts","Early.Adopter",0,0,0,0
"10-9-top3","pos","experts","Early.Adopter",2,0,0,0
"10-9-top3","pos","experts","Early.Adopter",4,8,67175,0.8396875
"10-9-top3","pos","experts","Early.Adopter",6,81,7999583,99.9947875
"10-9-top3","pos","experts","Early.Adopter",8,89,8000000,100
"10-9-top3","pos","experts","Early.Adopter",10,89,8000000,100
"10-9-top3","pos","experts","Uninterested",0,0,0,0
"10-9-top3","pos","experts","Uninterested",2,0,0,0
"10-9-top3","pos","experts","Uninterested",4,5,9829,0.1228625
"10-9-top3","pos","experts","Uninterested",6,61,7147386,89.342325
"10-9-top3","pos","experts","Uninterested",8,89,8000000,100
"10-9-top3","pos","experts","Uninterested",10,89,8000000,100
"10-9-top3","pos","experts","Homo.Economicus",0,0,0,0
"10-9-top3","pos","experts","Homo.Economicus",2,0,0,0
"10-9-top3","pos","experts","Homo.Economicus",4,11,3377029,42.2128625
"10-9-top3","pos","experts","Homo.Economicus",6,80,7999888,99.9986
"10-9-top3","pos","experts","Homo.Economicus",8,89,8000000,100
"10-9-top3","pos","experts","Homo.Economicus",10,89,8000000,100
"10-9-top3","pos","experts","Fearful",0,0,0,0
"10-9-top3","pos","experts","Fearful",2,0,0,0
"10-9-top3","pos","experts","Fearful",4,10,23222,0.290275
"10-9-top3","pos","experts","Fearful",6,79,7999064,99.9883
"10-9-top3","pos","experts","Fearful",8,89,8000000,100
"10-9-top3","pos","experts","Fearful",10,89,8000000,100
"10-9-top3","pos","experts","Stubborn",0,0,0,0
"10-9-top3","pos","experts","Stubborn",2,4,50823,0.6352875
"10-9-top3","pos","experts","Stubborn",4,58,7998946,99.986825
"10-9-top3","pos","experts","Stubborn",6,89,8000000,100
"10-9-top3","pos","experts","Stubborn",8,89,8000000,100
"10-9-top3","pos","experts","Stubborn",10,89,8000000,100
"10-9-top3","pos","experts","Influencer",0,0,0,0
"10-9-top3","pos","experts","Influencer",2,0,0,0
"10-9-top3","pos","experts","Influencer",4,7,3752,0.0469
"10-9-top3","pos","experts","Influencer",6,79,7862892,98.28615
"10-9-top3","pos","experts","Influencer",8,89,8000000,100
"10-9-top3","pos","experts","Influencer",10,89,8000000,100
"10-9-top3","pos","experts","Careful",0,0,0,0
"10-9-top3","pos","experts","Careful",2,0,0,0
"10-9-top3","pos","experts","Careful",4,0,0,0
"10-9-top3","pos","experts","Careful",6,57,7998761,99.9845125
"10-9-top3","pos","experts","Careful",8,89,8000000,100
"10-9-top3","pos","experts","Careful",10,89,8000000,100
"10-9-top3","pos","experts","Activist",0,0,0,0
"10-9-top3","pos","experts","Activist",2,0,0,0
"10-9-top3","pos","experts","Activist",4,28,7921485,99.0185625
"10-9-top3","pos","experts","Activist",6,89,8000000,100
"10-9-top3","pos","experts","Activist",8,89,8000000,100
"10-9-top3","pos","experts","Activist",10,89,8000000,100
"10-9-top3","pos","kmeans","Early.Adopter",0,0,0,0
"10-9-top3","pos","kmeans","Early.Adopter",2,0,0,0
"10-9-top3","pos","kmeans","Early.Adopter",4,0,0,0
"10-9-top3","pos","kmeans","Early.Adopter",6,15,3801,0.0475125
"10-9-top3","pos","kmeans","Early.Adopter",8,84,7946794,99.334925
"10-9-top3","pos","kmeans","Early.Adopter",10,89,8000000,100
"10-9-top3","pos","kmeans","Fearful",0,0,0,0
"10-9-top3","pos","kmeans","Fearful",2,0,0,0
"10-9-top3","pos","kmeans","Fearful",4,0,0,0
"10-9-top3","pos","kmeans","Fearful",6,0,0,0
"10-9-top3","pos","kmeans","Fearful",8,62,7994483,99.9310375
"10-9-top3","pos","kmeans","Fearful",10,89,8000000,100
"10-9-top3","pos","kmeans","Careful",0,0,0,0
"10-9-top3","pos","kmeans","Careful",2,0,0,0
"10-9-top3","pos","kmeans","Careful",4,19,7970180,99.62725
"10-9-top3","pos","kmeans","Careful",6,69,7999722,99.996525
"10-9-top3","pos","kmeans","Careful",8,89,8000000,100
"10-9-top3","pos","kmeans","Careful",10,89,8000000,100
"10-9-top3","pos","kmeans","Stubborn",0,0,0,0
"10-9-top3","pos","kmeans","Stubborn",2,0,0,0
