"cluster","expert","vol_cluster","vol_expert","vol_common","pct_cluster_covered","pct_expert_covered","jaccard"
"cluster_1","Early.Adopter",3,6,1,33.3333333333333,16.6666666666667,12.5
"cluster_1","Uninterested",3,5,3,100,60,60
"cluster_1","Homo.Economicus",3,3,1,33.3333333333333,33.3333333333333,20
"cluster_1","Fearful",3,7,3,100,42.8571428571429,42.8571428571429
"cluster_1","Stubborn",3,5,2,66.6666666666667,40,33.3333333333333
"cluster_1","Influencer",3,5,1,33.3333333333333,20,14.2857142857143
"cluster_1","Careful",3,7,3,100,42.8571428571429,42.8571428571429
"cluster_2","Early.Adopter",3,6,1,33.3333333333333,16.6666666666667,12.5
"cluster_2","Uninterested",3,5,3,100,60,60
"cluster_2","Homo.Economicus",3,3,2,66.6666666666667,66.6666666666667,50
"cluster_2","Fearful",3,7,3,100,42.8571428571429,42.8571428571429
"cluster_2","Stubborn",3,5,3,100,60,60
"cluster_2","Influencer",3,5,1,33.3333333333333,20,14.2857142857143
"cluster_2","Careful",3,7,3,100,42.8571428571429,42.8571428571429
