"scenario","type","reference","K","D","n_clusters","n_matched","pct_matched","mean_jaccard_exclusive"
"10-9-top3","ext","experts",1,0,1,1,100,0
"10-9-top3","ext","experts",1,2,1,1,100,0
"10-9-top3","ext","experts",1,4,1,1,100,0
"10-9-top3","ext","experts",1,6,1,1,100,0
"10-9-top3","ext","experts",1,8,1,1,100,0
"10-9-top3","ext","experts",1,10,1,1,100,0
"10-9-top3","ext","experts",2,0,2,2,100,33.3333333333333
"10-9-top3","ext","experts",2,2,2,2,100,33.3333333333333
"10-9-top3","ext","experts",2,4,1,1,100,0
"10-9-top3","ext","experts",2,6,1,1,100,0
"10-9-top3","ext","experts",2,8,1,1,100,0
"10-9-top3","ext","experts",2,10,1,1,100,0
"10-9-top3","ext","experts",3,0,3,3,100,38.8888888888889
"10-9-top3","ext","experts",3,2,3,3,100,35.5555555555556
"10-9-top3","ext","experts",3,4,1,1,100,0
"10-9-top3","ext","experts",3,6,1,1,100,0
"10-9-top3","ext","experts",3,8,1,1,100,0
"10-9-top3","ext","experts",3,10,1,1,100,0
"10-9-top3","ext","experts",4,0,4,4,100,34.1666666666667
"10-9-top3","ext","experts",4,2,4,4,100,41.6666666666667
"10-9-top3","ext","experts",4,4,1,1,100,0
"10-9-top3","ext","experts",4,6,1,1,100,0
"10-9-top3","ext","experts",4,8,1,1,100,0
"10-9-top3","ext","experts",4,10,1,1,100,0
"10-9-top3","ext","experts",5,0,5,5,100,36
"10-9-top3","ext","experts",5,2,5,5,100,41.3333333333333
"10-9-top3","ext","experts",5,4,1,1,100,0
"10-9-top3","ext","experts",5,6,1,1,100,0
"10-9-top3","ext","experts",5,8,1,1,100,0
"10-9-top3","ext","experts",5,10,1,1,100,0
"10-9-top3","ext","experts",6,0,6,6,100,33.8888888888889
"10-9-top3","ext","experts",6,2,6,6,100,42.7777777777778
"10-9-top3","ext","experts",6,4,1,1,100,0
"10-9-top3","ext","experts",6,6,1,1,100,0
"10-9-top3","ext","experts",6,8,1,1,100,0
"10-9-top3","ext","experts",6,10,1,1,100,0
"10-9-top3","ext","experts",7,0,7,7,100,42.3809523809524
"10-9-top3","ext","experts",7,2,7,7,100,47.3809523809524
"10-9-top3","ext","experts",7,4,1,1,100,0
"10-9-top3","ext","experts",7,6,1,1,100,0
"10-9-top3","ext","experts",7,8,1,1,100,0
"10-9-top3","ext","experts",7,10,1,1,100,0
"10-9-top3","ext","experts",8,0,8,8,100,42.0833333333333
"10-9-top3","ext","experts",8,2,8,8,100,46.4583333333333
"10-9-top3","ext","experts",8,4,1,1,100,0
"10-9-top3","ext","experts",8,6,1,1,100,0
"10-9-top3","ext","experts",8,8,1,1,100,0
"10-9-top3","ext","experts",8,10,1,1,100,0
"10-9-top3","pos","experts",1,0,1,1,100,66.6666666666667
"10-9-top3","pos","experts",1,2,1,1,100,66.6666666666667
"10-9-top3","pos","experts",1,4,1,1,100,66.6666666666667
"10-9-top3","pos","experts",1,6,1,1,100,66.6666666666667
"10-9-top3","pos","experts",1,8,1,1,100,66.6666666666667
"10-9-top3","pos","experts",1,10,1,1,100,66.6666666666667
"10-9-top3","pos","experts",2,0,2,2,100,83.3333333333333
"10-9-top3","pos","experts",2,2,2,2,100,70.8333333333333
"10-9-top3","pos","experts",2,4,2,2,100,53.3333333333333
"10-9-top3","pos","experts",2,6,1,1,100,66.6666666666667
"10-9-top3","pos","experts",2,8,1,1,100,66.6666666666667
"10-9-top3","pos","experts",2,10,1,1,100,66.6666666666667
"10-9-top3","pos","experts",3,0,3,3,100,80.5555555555556
"10-9-top3","pos","experts",3,2,3,3,100,60.5555555555556
"10-9-top3","pos","experts",3,4,3,3,100,60.5555555555556
"10-9-top3","pos","experts",3,6,1,1,100,66.6666666666667
"10-9-top3","pos","experts",3,8,1,1,100,66.6666666666667
"10-9-top3","pos","experts",3,10,1,1,100,66.6666666666667
"10-9-top3","pos","experts",4,0,4,4,100,75.4166666666667
"10-9-top3","pos","experts",4,2,4,4,100,57.9166666666667
"10-9-top3","pos","experts",4,4,3,3,100,60.5555555555556
"10-9-top3","pos","experts",4,6,1,1,100,66.6666666666667
"10-9-top3","pos","experts",4,8,1,1,100,66.6666666666667
"10-9-top3","pos","experts",4,10,1,1,100,66.6666666666667
"10-9-top3","pos","experts",5,0,5,5,100,68.3333333333333
"10-9-top3","pos","experts",5,2,5,5,100,46.3333333333333
"10-9-top3","pos","experts",5,4,3,3,100,60.5555555555556
"10-9-top3","pos","experts",5,6,1,1,100,66.6666666666667
"10-9-top3","pos","experts",5,8,1,1,100,66.6666666666667
"10-9-top3","pos","experts",5,10,1,1,100,66.6666666666667
"10-9-top3","pos","experts",6,0,6,6,100,69.1666666666667
"10-9-top3","pos","experts",6,2,6,6,100,45.2777777777778
"10-9-top3","pos","experts",6,4,3,3,100,60.5555555555556
"10-9-top3","pos","experts",6,6,1,1,100,66.6666666666667
"10-9-top3","pos","experts",6,8,1,1,100,66.6666666666667
"10-9-top3","pos","experts",6,10,1,1,100,66.6666666666667
"10-9-top3","pos","experts",7,0,7,7,100,64.047619047619
"10-9-top3","pos","experts",7,2,7,7,100,43.5714285714286
"10-9-top3","pos","experts",7,4,3,3,100,60.5555555555556
"10-9-top3","pos","experts",7,6,1,1,100,66.6666666666667
"10-9-top3","pos","experts",7,8,1,1,100,66.6666666666667
"10-9-top3","pos","experts",7,10,1,1,100,66.6666666666667
"10-9-top3","pos","experts",8,0,8,8,100,62.5
"10-9-top3","pos","experts",8,2,8,8,100,40.2083333333333
"10-9-top3","pos","experts",8,4,3,3,100,60.5555555555556
"10-9-top3","pos","experts",8,6,1,1,100,66.6666666666667
"10-9-top3","pos","experts",8,8,1,1,100,66.6666666666667
"10-9-top3","pos","experts",8,10,1,1,100,66.6666666666667
"100-9-top3","ext","experts",1,0,1,1,100,0
