"pattern","freq","best_archetype_within_K","best_dist_within_K","best_sim_jaccard_within_K"
"pattern_1",4432779,"Uninterested",4,0.333333333333333
"pattern_2",2488848,"Uninterested",5,0
"pattern_3",828052,"Uninterested",6,0
"pattern_4",81886,"Uninterested",4,0.333333333333333
"pattern_5",48900,"Uninterested",5,0.333333333333333
"pattern_6",47081,"Uninterested",5,0
"pattern_7",18248,"Uninterested",5,0.333333333333333
"pattern_8",13982,"Uninterested",6,0
"pattern_9",9722,"Uninterested",4,0.333333333333333
"pattern_10",5226,"Uninterested",6,0
"pattern_11",3908,"Uninterested",5,0.333333333333333
"pattern_12",3717,"Uninterested",6,0
"pattern_13",2917,"Uninterested",5,0
"pattern_14",2641,"Uninterested",7,0
"pattern_15",1751,"Uninterested",6,0
"pattern_16",979,"Uninterested",6,0
"pattern_17",895,"Uninterested",5,0.333333333333333
"pattern_18",850,"Uninterested",6,0
"pattern_19",812,"Uninterested",5,0
"pattern_20",729,"Uninterested",6,0
"pattern_21",673,"Uninterested",6,0
"pattern_22",599,"Uninterested",7,0
"pattern_23",572,"Uninterested",6,0
"pattern_24",546,"Uninterested",5,0.333333333333333
"pattern_25",414,"Uninterested",7,0
"pattern_26",371,"Uninterested",5,0.333333333333333
"pattern_27",370,"Uninterested",6,0
"pattern_28",336,"Uninterested",6,0
"pattern_29",278,"Uninterested",7,0
"pattern_30",263,"Uninterested",5,0.333333333333333
"pattern_31",228,"Uninterested",7,0
"pattern_32",116,"Uninterested",6,0.333333333333333
"pattern_33",114,"Uninterested",7,0
"pattern_34",94,"Uninterested",7,0
"pattern_35",80,"Uninterested",7,0
"pattern_36",73,"Uninterested",5,0.333333333333333
"pattern_37",63,"Uninterested",5,0.333333333333333
"pattern_38",63,"Uninterested",7,0
"pattern_39",59,"Uninterested",7,0
"pattern_40",56,"Uninterested",5,0.333333333333333
"pattern_41",50,"Uninterested",7,0
"pattern_42",50,"Uninterested",5,0
"pattern_43",49,"Uninterested",6,0
"pattern_44",49,"Uninterested",6,0.333333333333333
"pattern_45",48,"Uninterested",5,0.333333333333333
"pattern_46",39,"Uninterested",7,0
"pattern_47",28,"Uninterested",6,0.333333333333333
"pattern_48",23,"Uninterested",8,0
"pattern_49",22,"Uninterested",5,0
"pattern_50",22,"Uninterested",5,0
"pattern_51",20,"Uninterested",5,0
"pattern_52",20,"Uninterested",7,0
"pattern_53",19,"Uninterested",6,0.333333333333333
"pattern_54",18,"Uninterested",7,0
"pattern_55",18,"Uninterested",5,0.333333333333333
"pattern_56",16,"Uninterested",6,0
"pattern_57",16,"Uninterested",6,0.333333333333333
"pattern_58",14,"Uninterested",8,0
"pattern_59",13,"Uninterested",5,0
"pattern_60",12,"Uninterested",7,0
"pattern_61",12,"Uninterested",6,0
"pattern_62",11,"Uninterested",4,0.333333333333333
"pattern_63",11,"Uninterested",6,0
"pattern_64",11,"Uninterested",5,0
"pattern_65",11,"Uninterested",4,0.5
"pattern_66",10,"Uninterested",8,0
"pattern_67",10,"Uninterested",7,0
"pattern_68",8,"Uninterested",6,0.333333333333333
"pattern_69",7,"Uninterested",7,0
"pattern_70",6,"Uninterested",5,0.333333333333333
"pattern_71",6,"Uninterested",6,0
"pattern_72",5,"Uninterested",6,0
"pattern_73",5,"Uninterested",6,0
"pattern_74",5,"Uninterested",6,0
"pattern_75",5,"Uninterested",4,0.333333333333333
"pattern_76",5,"Uninterested",6,0
"pattern_77",5,"Uninterested",6,0
"pattern_78",5,"Uninterested",6,0
"pattern_79",4,"Uninterested",8,0
"pattern_80",3,"Uninterested",7,0
"pattern_81",3,"Uninterested",7,0
"pattern_82",3,"Uninterested",6,0
"pattern_83",2,"Uninterested",6,0
"pattern_84",2,"Uninterested",7,0
"pattern_85",2,"Uninterested",7,0
"pattern_86",2,"Uninterested",7,0
"pattern_87",2,"Uninterested",7,0
"pattern_88",1,"Uninterested",7,0
"pattern_89",1,"Uninterested",5,0.333333333333333
