"","Early.Adopter","Uninterested","Homo.Economicus","Fearful","Stubborn","Influencer","Careful","Activist"
"pattern_1",4,5,4,4,2,4,5,3
"pattern_2",5,5,5,5,3,6,5,4
"pattern_3",4,6,6,6,4,5,7,5
"pattern_4",4,5,5,5,3,5,6,4
"pattern_5",4,6,5,6,3,6,6,4
"pattern_6",4,5,4,4,2,4,5,3
"pattern_7",5,6,4,5,3,6,5,3
"pattern_8",5,5,6,6,4,7,6,5
"pattern_9",4,6,6,6,4,5,7,5
"pattern_10",5,7,7,7,5,5,8,6
"pattern_11",6,5,5,5,4,7,5,4
"pattern_12",5,6,6,6,4,5,7,5
"pattern_13",4,6,4,5,2,5,5,3
"pattern_14",5,4,6,5,4,6,6,5
"pattern_15",5,4,5,4,3,5,5,4
"pattern_16",5,4,6,5,4,6,6,5
"pattern_17",4,5,5,5,3,5,6,4
"pattern_18",6,6,5,5,4,7,5,5
"pattern_19",5,5,5,5,3,6,5,4
"pattern_20",5,6,6,6,4,6,6,5
"pattern_21",6,5,7,6,5,6,7,6
"pattern_22",5,7,4,5,3,6,5,4
"pattern_23",4,6,4,5,2,5,5,3
"pattern_24",5,5,7,6,5,6,7,6
"pattern_25",4,7,5,6,3,5,6,4
"pattern_26",5,4,5,4,3,5,5,4
"pattern_27",5,5,5,5,4,6,6,4
"pattern_28",4,7,6,7,4,6,7,5
"pattern_29",5,8,5,6,4,6,6,5
"pattern_30",6,6,7,7,5,5,8,6
"pattern_31",5,7,5,6,4,6,6,4
"pattern_32",6,4,5,4,4,6,5,4
"pattern_33",5,5,6,6,4,5,7,5
"pattern_34",5,5,4,4,3,5,5,3
"pattern_35",5,6,5,5,3,4,6,4
"pattern_36",5,6,6,6,4,5,7,5
"pattern_37",6,7,4,5,4,7,5,4
"pattern_38",4,6,5,6,3,6,6,4
"pattern_39",6,6,6,6,4,6,6,5
"pattern_40",5,5,6,5,4,5,6,5
"pattern_41",6,6,4,4,4,6,5,4
"pattern_42",6,4,7,6,5,6,7,6
"pattern_43",5,8,6,7,4,5,7,5
"pattern_44",5,6,4,5,3,6,5,3
"pattern_45",5,7,6,7,4,6,7,5
"pattern_46",5,6,7,7,5,5,8,6
"pattern_47",6,5,6,5,4,5,6,5
"pattern_48",6,6,6,5,5,6,6,6
"pattern_49",6,5,5,4,4,6,5,5
"pattern_50",5,6,5,6,4,7,6,4
"pattern_51",5,7,5,6,3,5,6,4
"pattern_52",5,6,5,5,4,5,6,4
"pattern_53",5,5,4,4,3,5,5,3
"pattern_54",6,5,6,5,5,6,6,5
"pattern_55",6,8,5,6,4,6,6,5
"pattern_56",5,6,5,5,3,4,6,4
"pattern_57",6,6,7,6,5,5,7,6
"pattern_58",5,5,5,5,3,4,6,4
"pattern_59",4,6,5,5,3,4,6,4
"pattern_60",5,7,5,5,4,5,6,5
"pattern_61",6,7,5,6,4,6,6,4
"pattern_62",6,6,6,6,4,4,7,5
"pattern_63",7,5,5,4,5,7,5,5
"pattern_64",6,5,6,5,4,5,6,5
"pattern_65",7,5,7,6,5,5,7,6
"pattern_66",5,6,6,7,4,6,7,5
"pattern_67",5,7,6,6,4,4,7,5
"pattern_68",6,4,6,5,4,5,6,5
"pattern_69",5,6,6,6,5,6,7,5
"pattern_70",6,5,6,6,4,6,6,5
"pattern_71",5,7,5,6,4,7,6,5
"pattern_72",5,7,6,6,4,4,7,5
"pattern_73",5,7,6,7,4,5,7,5
"pattern_74",6,5,6,5,5,7,6,6
"pattern_75",6,4,5,4,4,6,5,4
"pattern_76",7,6,6,5,5,6,6,6
"pattern_77",6,6,5,5,4,5,6,4
"pattern_78",6,4,6,5,5,7,6,5
"pattern_79",6,5,7,6,5,5,7,6
"pattern_80",6,7,5,5,5,6,6,5
"pattern_81",6,6,6,6,5,6,7,5
"pattern_82",5,5,6,5,4,5,6,5
"pattern_83",6,5,5,4,4,6,5,5
"pattern_84",5,6,6,6,4,4,7,5
"pattern_85",4,6,5,5,3,4,6,4
"pattern_86",5,5,5,5,4,6,6,4
"pattern_87",6,6,4,4,4,6,5,4
"pattern_88",6,7,7,7,5,4,8,6
"pattern_89",6,7,6,6,5,5,7,5
"pattern_90",6,4,6,5,4,5,6,5
"pattern_91",7,5,6,5,5,6,6,5
"pattern_92",6,5,5,5,4,5,6,4
"pattern_93",5,6,5,6,3,5,6,4
"pattern_94",6,6,5,6,4,6,6,4
"pattern_95",5,6,5,5,4,5,6,4
"pattern_96",6,8,6,6,5,5,7,6
