"pattern","freq","best_archetype_within_K","best_dist_within_K","best_sim_jaccard_within_K"
"pattern_1",2454574,"Homo.Economicus",3,0
"pattern_2",1925014,"Uninterested",4,0.333333333333333
"pattern_3",770625,"Homo.Economicus",5,0
"pattern_4",623923,"Homo.Economicus",4,0
"pattern_5",244544,"Homo.Economicus",5,0
"pattern_6",242964,"Homo.Economicus",3,0
"pattern_7",233847,"Homo.Economicus",4,0
"pattern_8",228131,"Uninterested",5,0.333333333333333
"pattern_9",210400,"Homo.Economicus",5,0
"pattern_10",197114,"Influencer",5,0.25
"pattern_11",124662,"Uninterested",4,0.333333333333333
"pattern_12",123316,"Influencer",4,0.333333333333333
"pattern_13",119161,"Homo.Economicus",4,0
"pattern_14",102416,"Homo.Economicus",5,0
"pattern_15",88306,"Homo.Economicus",4,0
"pattern_16",53067,"Homo.Economicus",5,0
"pattern_17",43838,"Homo.Economicus",4,0
"pattern_18",35259,"Homo.Economicus",4,0.333333333333333
"pattern_19",33840,"Uninterested",4,0.5
"pattern_20",27605,"Uninterested",5,0.333333333333333
"pattern_21",21615,"Influencer",5,0.25
"pattern_22",18958,"Homo.Economicus",3,0.333333333333333
"pattern_23",17133,"Homo.Economicus",4,0
"pattern_24",12043,"Homo.Economicus",6,0
"pattern_25",11305,"Homo.Economicus",5,0
"pattern_26",8418,"Homo.Economicus",4,0
"pattern_27",7050,"Homo.Economicus",4,0
"pattern_28",4413,"Homo.Economicus",6,0
"pattern_29",2620,"Homo.Economicus",4,0.333333333333333
"pattern_30",2093,"Influencer",3,0.666666666666667
"pattern_31",1376,"Homo.Economicus",5,0
"pattern_32",1326,"Homo.Economicus",4,0
"pattern_33",1212,"Influencer",3,1
"pattern_34",910,"Homo.Economicus",3,0
"pattern_35",860,"Homo.Economicus",4,0
"pattern_36",759,"Influencer",4,0.25
"pattern_37",747,"Homo.Economicus",3,0.333333333333333
"pattern_38",492,"Homo.Economicus",5,0
"pattern_39",417,"Uninterested",5,0.333333333333333
"pattern_40",359,"Homo.Economicus",5,0
"pattern_41",329,"Homo.Economicus",2,0.333333333333333
"pattern_42",323,"Influencer",4,0.666666666666667
"pattern_43",308,"Homo.Economicus",6,0
"pattern_44",284,"Homo.Economicus",4,0
"pattern_45",228,"Influencer",5,0.25
"pattern_46",224,"Influencer",4,0.666666666666667
"pattern_47",221,"Homo.Economicus",5,0
"pattern_48",146,"Homo.Economicus",4,0.333333333333333
"pattern_49",134,"Homo.Economicus",3,0.333333333333333
"pattern_50",107,"Homo.Economicus",5,0
"pattern_51",93,"Homo.Economicus",5,0
"pattern_52",76,"Homo.Economicus",4,0
"pattern_53",73,"Homo.Economicus",3,0
"pattern_54",73,"Homo.Economicus",5,0
"pattern_55",60,"Homo.Economicus",4,0.333333333333333
"pattern_56",59,"Homo.Economicus",4,0
"pattern_57",56,"Homo.Economicus",6,0
"pattern_58",49,"Homo.Economicus",4,0
"pattern_59",43,"Homo.Economicus",4,0
"pattern_60",40,"Homo.Economicus",3,0.333333333333333
"pattern_61",37,"Homo.Economicus",5,0
"pattern_62",36,"Influencer",4,0.333333333333333
"pattern_63",27,"Homo.Economicus",3,0.333333333333333
"pattern_64",27,"Homo.Economicus",5,0
"pattern_65",24,"Uninterested",5,0.333333333333333
"pattern_66",24,"Influencer",4,0.666666666666667
"pattern_67",23,"Homo.Economicus",5,0
"pattern_68",23,"Uninterested",4,0.5
"pattern_69",17,"Homo.Economicus",5,0
"pattern_70",17,"Uninterested",4,0.333333333333333
"pattern_71",13,"Homo.Economicus",4,0.333333333333333
"pattern_72",9,"Homo.Economicus",5,0
"pattern_73",8,"Homo.Economicus",6,0
"pattern_74",8,"Homo.Economicus",4,0.333333333333333
"pattern_75",8,"Homo.Economicus",4,0
"pattern_76",8,"Homo.Economicus",4,0.333333333333333
"pattern_77",5,"Homo.Economicus",4,0
"pattern_78",5,"Homo.Economicus",5,0
"pattern_79",4,"Uninterested",5,0.333333333333333
"pattern_80",4,"Homo.Economicus",3,0.333333333333333
"pattern_81",4,"Homo.Economicus",5,0
"pattern_82",4,"Homo.Economicus",5,0
"pattern_83",3,"Homo.Economicus",3,0.5
"pattern_84",3,"Homo.Economicus",5,0
"pattern_85",3,"Homo.Economicus",4,0
"pattern_86",3,"Homo.Economicus",4,0
"pattern_87",2,"Homo.Economicus",2,0.5
"pattern_88",2,"Influencer",5,0.25
"pattern_89",2,"Homo.Economicus",5,0
"pattern_90",2,"Uninterested",4,0.333333333333333
"pattern_91",2,"Homo.Economicus",5,0
"pattern_92",1,"Homo.Economicus",4,0
"pattern_93",1,"Homo.Economicus",5,0
"pattern_94",1,"Homo.Economicus",5,0
"pattern_95",1,"Homo.Economicus",4,0
"pattern_96",1,"Homo.Economicus",4,0.333333333333333
