bootstrap_id,political_profile_4blocks,n_participants_after_join,prop_after_join
1,Authoritarian,81,0.24545454545454545
1,Conservative,93,0.2818181818181818
1,Left,42,0.12727272727272726
1,Moderate,114,0.34545454545454546
2,Authoritarian,78,0.23493975903614459
2,Conservative,96,0.2891566265060241
2,Left,44,0.13253012048192772
2,Moderate,114,0.3433734939759036
3,Authoritarian,85,0.2522255192878338
3,Conservative,94,0.2789317507418398
3,Left,46,0.13649851632047477
3,Moderate,112,0.3323442136498516
4,Authoritarian,77,0.2319277108433735
4,Conservative,97,0.2921686746987952
4,Left,47,0.14156626506024098
4,Moderate,111,0.33433734939759036
5,Authoritarian,82,0.24624624624624625
5,Conservative,90,0.2702702702702703
5,Left,47,0.14114114114114115
5,Moderate,114,0.34234234234234234
