bootstrap_id,macro_archetype_5,self_profile,n_participants
1,G1_Activist_Stubborn_Sentient,Activista,47
1,G1_Activist_Stubborn_Sentient,Sensible,13
1,G2_EarlyAdopter_Influencer,Influyente,9
1,G3_Fearful_Careful,Cuidadoso/a,106
1,G3_Fearful_Careful,Temeroso/a,79
1,G4_HomoEconomicus,Homo economicus,76
2,G1_Activist_Stubborn_Sentient,Activista,42
2,G1_Activist_Stubborn_Sentient,Sensible,16
2,G2_EarlyAdopter_Influencer,Influyente,15
2,G2_EarlyAdopter_Influencer,Pionero,1
2,G3_Fearful_Careful,Cuidadoso/a,106
2,G3_Fearful_Careful,Temeroso/a,84
2,G4_HomoEconomicus,Homo economicus,68
3,G1_Activist_Stubborn_Sentient,Activista,50
3,G1_Activist_Stubborn_Sentient,Sensible,14
3,G2_EarlyAdopter_Influencer,Influyente,19
3,G2_EarlyAdopter_Influencer,Pionero,1
3,G3_Fearful_Careful,Cuidadoso/a,123
3,G3_Fearful_Careful,Temeroso/a,63
3,G4_HomoEconomicus,Homo economicus,67
4,G1_Activist_Stubborn_Sentient,Activista,38
4,G1_Activist_Stubborn_Sentient,Sensible,15
4,G2_EarlyAdopter_Influencer,Influyente,13
4,G3_Fearful_Careful,Cuidadoso/a,110
4,G3_Fearful_Careful,Temeroso/a,74
4,G4_HomoEconomicus,Homo economicus,82
5,G1_Activist_Stubborn_Sentient,Activista,48
5,G1_Activist_Stubborn_Sentient,Sensible,9
5,G2_EarlyAdopter_Influencer,Influyente,17
5,G3_Fearful_Careful,Cuidadoso/a,114
5,G3_Fearful_Careful,Temeroso/a,79
5,G4_HomoEconomicus,Homo economicus,66
