bootstrap_id,political_profile,n_participants_after_join,prop_after_join
1,Left,46,0.13569321533923304
1,Moderate,117,0.34513274336283184
1,Right,176,0.5191740412979351
2,Left,45,0.13432835820895522
2,Moderate,111,0.33134328358208953
2,Right,179,0.5343283582089552
3,Left,45,0.13513513513513514
3,Moderate,109,0.32732732732732733
3,Right,179,0.5375375375375375
4,Left,48,0.14414414414414414
4,Moderate,112,0.33633633633633636
4,Right,173,0.5195195195195195
5,Left,45,0.1388888888888889
5,Moderate,106,0.3271604938271605
5,Right,173,0.5339506172839507
6,Left,45,0.13595166163141995
6,Moderate,115,0.3474320241691843
6,Right,171,0.5166163141993958
7,Left,47,0.1419939577039275
7,Moderate,116,0.3504531722054381
7,Right,168,0.5075528700906344
8,Left,47,0.14156626506024098
8,Moderate,113,0.34036144578313254
8,Right,172,0.5180722891566265
9,Left,42,0.1253731343283582
9,Moderate,115,0.34328358208955223
9,Right,178,0.5313432835820896
10,Left,51,0.15223880597014924
10,Moderate,113,0.3373134328358209
10,Right,171,0.5104477611940299
11,Left,46,0.13569321533923304
11,Moderate,117,0.34513274336283184
11,Right,176,0.5191740412979351
12,Left,48,0.14501510574018128
12,Moderate,113,0.3413897280966767
12,Right,170,0.513595166163142
13,Left,47,0.13702623906705538
13,Moderate,116,0.33819241982507287
13,Right,180,0.5247813411078717
14,Left,43,0.13069908814589665
14,Moderate,115,0.3495440729483283
14,Right,171,0.5197568389057751
15,Left,42,0.12844036697247707
15,Moderate,113,0.345565749235474
15,Right,172,0.5259938837920489
16,Left,46,0.13813813813813813
16,Moderate,115,0.34534534534534533
16,Right,172,0.5165165165165165
17,Left,45,0.1393188854489164
17,Moderate,111,0.34365325077399383
17,Right,167,0.5170278637770898
18,Left,49,0.14714714714714713
18,Moderate,112,0.33633633633633636
18,Right,172,0.5165165165165165
19,Left,46,0.14153846153846153
19,Moderate,113,0.3476923076923077
19,Right,166,0.5107692307692308
20,Left,48,0.14201183431952663
20,Moderate,119,0.3520710059171598
20,Right,171,0.5059171597633136
21,Left,47,0.1441717791411043
21,Moderate,109,0.3343558282208589
21,Right,170,0.5214723926380368
22,Left,45,0.13392857142857142
22,Moderate,113,0.33630952380952384
22,Right,178,0.5297619047619048
23,Left,50,0.14925373134328357
23,Moderate,114,0.3402985074626866
23,Right,171,0.5104477611940299
24,Left,43,0.12759643916913946
24,Moderate,113,0.3353115727002967
24,Right,181,0.5370919881305638
25,Left,45,0.13595166163141995
25,Moderate,110,0.3323262839879154
25,Right,176,0.5317220543806647
26,Left,48,0.147239263803681
26,Moderate,109,0.3343558282208589
26,Right,169,0.5184049079754601
27,Left,46,0.13813813813813813
27,Moderate,117,0.35135135135135137
27,Right,170,0.5105105105105106
28,Left,44,0.1301775147928994
28,Moderate,122,0.3609467455621302
28,Right,172,0.5088757396449705
29,Left,42,0.12883435582822086
29,Moderate,116,0.3558282208588957
29,Right,168,0.5153374233128835
30,Left,41,0.12424242424242424
30,Moderate,112,0.3393939393939394
30,Right,177,0.5363636363636364
31,Left,49,0.14583333333333334
31,Moderate,114,0.3392857142857143
31,Right,173,0.5148809523809523
32,Left,47,0.13823529411764707
32,Moderate,117,0.34411764705882353
32,Right,176,0.5176470588235295
33,Left,43,0.13230769230769232
33,Moderate,104,0.32
33,Right,178,0.5476923076923077
34,Left,45,0.13274336283185842
34,Moderate,116,0.3421828908554572
34,Right,178,0.5250737463126843
35,Left,44,0.1337386018237082
35,Moderate,115,0.3495440729483283
35,Right,170,0.5167173252279635
36,Left,43,0.12951807228915663
36,Moderate,116,0.3493975903614458
36,Right,173,0.5210843373493976
37,Left,45,0.1355421686746988
37,Moderate,117,0.35240963855421686
37,Right,170,0.5120481927710844
38,Left,45,0.13353115727002968
38,Moderate,117,0.34718100890207715
38,Right,175,0.5192878338278932
39,Left,49,0.14540059347181009
39,Moderate,115,0.34124629080118696
39,Right,173,0.5133531157270029
40,Left,44,0.12979351032448377
40,Moderate,118,0.3480825958702065
40,Right,177,0.5221238938053098
41,Left,43,0.1303030303030303
41,Moderate,114,0.34545454545454546
41,Right,173,0.5242424242424243
42,Left,44,0.1317365269461078
42,Moderate,110,0.32934131736526945
42,Right,180,0.5389221556886228
43,Left,48,0.14501510574018128
43,Moderate,115,0.3474320241691843
43,Right,168,0.5075528700906344
44,Left,45,0.13636363636363635
44,Moderate,117,0.35454545454545455
44,Right,168,0.509090909090909
45,Left,48,0.14285714285714285
45,Moderate,117,0.3482142857142857
45,Right,171,0.5089285714285714
46,Left,46,0.1398176291793313
46,Moderate,113,0.3434650455927052
46,Right,170,0.5167173252279635
47,Left,48,0.147239263803681
47,Moderate,112,0.34355828220858897
47,Right,166,0.50920245398773
48,Left,47,0.13864306784660768
48,Moderate,120,0.35398230088495575
48,Right,172,0.5073746312684366
49,Left,45,0.13513513513513514
49,Moderate,115,0.34534534534534533
49,Right,173,0.5195195195195195
50,Left,46,0.13855421686746988
50,Moderate,118,0.35542168674698793
50,Right,168,0.5060240963855421
