model_type,model_label,term,term_label,tipo_termino,n_boot_with_term,n_significant,mean_estimate,sd_estimate,mean_p_value,median_p_value,n_ok_models,significance_rate,term_presence_rate
M0,M0: solo arquetipo,Knowledge|Considering,Knowledge|Considering,Umbral de etapa,24,24,-1.000313759154609,0.05610736750849643,3.3031357007986347e-14,1.4897461832226952e-16,50,0.48,0.48
M0,M0: solo arquetipo,Considering|Done,Considering|Done,Umbral de etapa,24,24,0.5190022516752204,0.047764758178141575,4.315971718107812e-5,1.3466659718889785e-5,50,0.48,0.48
M0,M0: solo arquetipo,macro_archetype_5G4_HomoEconomicus,Arquetipo: G4 HomoEconomicus,Arquetipo,24,0,-0.1648431210632455,0.09188503281683133,0.4132605256614324,0.3482058311531102,50,0,0.48
M0,M0: solo arquetipo,macro_archetype_5G2_EarlyAdopter_Influencer,Arquetipo: G2 EarlyAdopter Influencer,Arquetipo,24,0,-0.050525393970044415,0.1616699265753814,0.6001036595426138,0.6133596082109608,50,0,0.48
M0,M0: solo arquetipo,macro_archetype_5G3_Fearful_Careful,Arquetipo: G3 Fearful Careful,Arquetipo,24,0,-0.04299064961838661,0.08201738419406593,0.6713638672092676,0.7155202451297573,50,0,0.48
M1,M1: arquetipo + dimensiones,Knowledge|Considering,Knowledge|Considering,Umbral de etapa,28,28,-1.0384953800588959,0.08124103974941195,7.952302588292382e-13,4.028357781215017e-16,50,0.56,0.56
M1,M1: arquetipo + dimensiones,Considering|Done,Considering|Done,Umbral de etapa,28,28,0.49827181131851844,0.06683506194687597,3.6545042307814854e-4,5.1130073318747104e-5,50,0.56,0.56
M1,M1: arquetipo + dimensiones,z_STIMULATION,Dimensión: Estímulo,Dimensión,28,14,0.5775415614059504,0.22654742423419258,0.11020176146207199,0.04917572632094739,50,0.28,0.56
M1,M1: arquetipo + dimensiones,z_PHYSIOLOGICAL,Dimensión: Materialidad,Dimensión,28,7,0.21758581081569936,0.1884007733739738,0.2575622481757461,0.16143192178371607,50,0.14,0.56
M1,M1: arquetipo + dimensiones,macro_archetype_5G4_HomoEconomicus,Arquetipo: G4 HomoEconomicus,Arquetipo,28,6,-0.2764542028080603,0.14137597421455023,0.25856506881608693,0.15381396602135894,50,0.12,0.56
