n_participants,boot_id,macro_archetype_5,adoption_stage,n_rows,percentage_within_macro
200,1,G1_Activist_Stubborn_Sentient,Knowledge,36,30.76923076923077
200,1,G1_Activist_Stubborn_Sentient,Considering,34,29.059829059829063
200,1,G1_Activist_Stubborn_Sentient,Done,47,40.17094017094017
200,1,G2_EarlyAdopter_Influencer,Knowledge,33,15.068493150684931
200,1,G2_EarlyAdopter_Influencer,Considering,70,31.963470319634702
200,1,G2_EarlyAdopter_Influencer,Done,116,52.96803652968036
200,1,G3_Fearful_Careful,Knowledge,68,41.21212121212121
200,1,G3_Fearful_Careful,Considering,71,43.03030303030303
200,1,G3_Fearful_Careful,Done,26,15.757575757575756
200,1,G4_HomoEconomicus,Knowledge,17,28.333333333333332
200,1,G4_HomoEconomicus,Considering,33,55.00000000000001
200,1,G4_HomoEconomicus,Done,10,16.666666666666664
200,1,G5_Uninterested,Knowledge,27,69.23076923076923
200,1,G5_Uninterested,Considering,5,12.82051282051282
200,1,G5_Uninterested,Done,7,17.94871794871795
200,2,G1_Activist_Stubborn_Sentient,Knowledge,30,23.25581395348837
200,2,G1_Activist_Stubborn_Sentient,Considering,61,47.286821705426355
200,2,G1_Activist_Stubborn_Sentient,Done,38,29.457364341085274
200,2,G2_EarlyAdopter_Influencer,Knowledge,31,14.15525114155251
200,2,G2_EarlyAdopter_Influencer,Considering,60,27.397260273972602
200,2,G2_EarlyAdopter_Influencer,Done,128,58.44748858447488
200,2,G3_Fearful_Careful,Knowledge,62,41.333333333333336
200,2,G3_Fearful_Careful,Considering,66,44
200,2,G3_Fearful_Careful,Done,22,14.666666666666666
200,2,G4_HomoEconomicus,Knowledge,17,31.48148148148148
200,2,G4_HomoEconomicus,Considering,16,29.629629629629626
200,2,G4_HomoEconomicus,Done,21,38.88888888888889
200,2,G5_Uninterested,Knowledge,30,62.5
200,2,G5_Uninterested,Considering,14,29.166666666666668
200,2,G5_Uninterested,Done,4,8.333333333333332
200,3,G1_Activist_Stubborn_Sentient,Knowledge,26,25.49019607843137
200,3,G1_Activist_Stubborn_Sentient,Considering,46,45.09803921568628
200,3,G1_Activist_Stubborn_Sentient,Done,30,29.411764705882355
200,3,G2_EarlyAdopter_Influencer,Knowledge,34,14.71861471861472
200,3,G2_EarlyAdopter_Influencer,Considering,72,31.16883116883117
200,3,G2_EarlyAdopter_Influencer,Done,125,54.112554112554115
200,3,G3_Fearful_Careful,Knowledge,65,50.3875968992248
200,3,G3_Fearful_Careful,Considering,46,35.65891472868217
200,3,G3_Fearful_Careful,Done,18,13.953488372093023
200,3,G4_HomoEconomicus,Knowledge,19,37.254901960784316
200,3,G4_HomoEconomicus,Considering,20,39.21568627450981
200,3,G4_HomoEconomicus,Done,12,23.52941176470588
200,3,G5_Uninterested,Knowledge,67,77.01149425287356
200,3,G5_Uninterested,Considering,15,17.24137931034483
200,3,G5_Uninterested,Done,5,5.747126436781609
200,4,G1_Activist_Stubborn_Sentient,Knowledge,29,26.851851851851855
200,4,G1_Activist_Stubborn_Sentient,Considering,36,33.33333333333333
200,4,G1_Activist_Stubborn_Sentient,Done,43,39.81481481481482
200,4,G2_EarlyAdopter_Influencer,Knowledge,34,15.74074074074074
200,4,G2_EarlyAdopter_Influencer,Considering,72,33.33333333333333
200,4,G2_EarlyAdopter_Influencer,Done,110,50.92592592592593
200,4,G3_Fearful_Careful,Knowledge,72,44.44444444444444
200,4,G3_Fearful_Careful,Considering,64,39.50617283950617
200,4,G3_Fearful_Careful,Done,26,16.049382716049383
200,4,G4_HomoEconomicus,Knowledge,18,28.57142857142857
200,4,G4_HomoEconomicus,Considering,32,50.79365079365079
200,4,G4_HomoEconomicus,Done,13,20.634920634920633
200,4,G5_Uninterested,Knowledge,31,60.78431372549019
200,4,G5_Uninterested,Considering,15,29.411764705882355
200,4,G5_Uninterested,Done,5,9.803921568627452
200,5,G1_Activist_Stubborn_Sentient,Knowledge,32,28.82882882882883
200,5,G1_Activist_Stubborn_Sentient,Considering,37,33.33333333333333
200,5,G1_Activist_Stubborn_Sentient,Done,42,37.83783783783784
200,5,G2_EarlyAdopter_Influencer,Knowledge,28,13.725490196078432
200,5,G2_EarlyAdopter_Influencer,Considering,83,40.68627450980392
200,5,G2_EarlyAdopter_Influencer,Done,93,45.588235294117645
200,5,G3_Fearful_Careful,Knowledge,81,47.368421052631575
200,5,G3_Fearful_Careful,Considering,67,39.1812865497076
200,5,G3_Fearful_Careful,Done,23,13.450292397660817
200,5,G4_HomoEconomicus,Knowledge,35,43.20987654320987
200,5,G4_HomoEconomicus,Considering,31,38.2716049382716
200,5,G4_HomoEconomicus,Done,15,18.51851851851852
