sample_label,n_participants,boot_id,model_type,formula,status,error_message,warnings,n_rows,n_unique_participants,AIC,BIC,logLik,n_terms_with_p,n_significant_terms
bootstrap,200,1,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,600,200,1239.7260092180193,1270.5045168045324,-612.8630046090096,6,5
bootstrap,200,1,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,600,200,785.4650949039922,855.8159693874505,-376.7325474519961,15,11
bootstrap,200,1,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,600,200,637.3262340476114,865.966576118851,-266.6631170238057,51,21
bootstrap,200,2,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,600,200,1212.8865349173825,1243.6650425038956,-599.4432674586913,6,5
bootstrap,200,2,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,600,200,757.3106070827611,827.6614815662194,-362.65530354138053,15,11
bootstrap,200,2,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,600,200,637.6920286779451,866.3323707491847,-266.84601433897257,51,19
bootstrap,200,3,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,600,200,1165.9617041888328,1196.7402117753459,-575.9808520944164,0,0
bootstrap,200,3,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,600,200,714.7140828058497,785.064957289308,-341.35704140292484,15,12
bootstrap,200,3,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,600,200,614.7340675852943,843.3744096565338,-255.3670337926471,51,20
bootstrap,200,4,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,600,200,1237.590604429731,1268.3691120162441,-611.7953022148655,6,5
bootstrap,200,4,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,600,200,778.6145036191327,848.9653781025911,-373.30725180956637,15,11
bootstrap,200,4,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,600,200,564.4296920908034,793.0700341620432,-230.21484604540174,0,0
bootstrap,200,5,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,600,200,1218.947353729091,1249.725861315604,-602.4736768645455,0,0
bootstrap,200,5,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,600,200,760.2275191244355,830.5783936078939,-364.11375956221775,15,11
bootstrap,200,5,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,600,200,655.2921586620686,883.9325007333082,-275.6460793310343,51,16
bootstrap,300,1,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,900,300,1803.825648084313,1837.442411427583,-894.9128240421564,6,5
bootstrap,300,1,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,900,300,1110.2254780048288,1187.0637942180178,-539.1127390024144,15,11
bootstrap,300,1,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,900,300,940.6838706404773,1190.4083983333414,-418.34193532023863,51,20
bootstrap,300,2,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,900,300,1783.6188288706478,1817.235592213918,-884.8094144353239,0,0
bootstrap,300,2,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,900,300,1104.5827696702543,1181.4210858834433,-536.2913848351271,0,0
bootstrap,300,2,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,900,300,909.1341435837517,1158.858671276616,-402.56707179187583,51,21
bootstrap,300,3,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,900,300,1786.8737760922593,1820.4905394355294,-886.4368880461296,6,6
