sample_label,n_participants,boot_id,macro_archetype_5,dimension,main_effect,main_p_value,interaction_effect,interaction_p_value,total_effect,direction,interpretation
full,5000,0,G1_Activist_Stubborn_Sentient,AUTONOMY,2.933488331514874,4.935336941383082e-246,0,NA,2.933488331514874,positive,Higher values in this dimension are associated with more advanced adoption stages
full,5000,0,G1_Activist_Stubborn_Sentient,COMPETENCE,0.07447431562959404,0.18211050000660375,0,NA,0.07447431562959404,positive,Higher values in this dimension are associated with more advanced adoption stages
full,5000,0,G1_Activist_Stubborn_Sentient,FINANCIAL,-1.0132751115295455,2.2880490778853302e-54,0,NA,-1.0132751115295455,negative,Higher values in this dimension are associated with less advanced adoption stages
full,5000,0,G1_Activist_Stubborn_Sentient,MEANING,1.4365585077037335,2.561594384390983e-70,0,NA,1.4365585077037335,positive,Higher values in this dimension are associated with more advanced adoption stages
full,5000,0,G1_Activist_Stubborn_Sentient,PHYSIOLOGICAL,0.6402996010392529,1.3473440010895271e-20,0,NA,0.6402996010392529,positive,Higher values in this dimension are associated with more advanced adoption stages
full,5000,0,G1_Activist_Stubborn_Sentient,POPULARITY,0.41262041855253306,1.1121154231865468e-10,0,NA,0.41262041855253306,positive,Higher values in this dimension are associated with more advanced adoption stages
full,5000,0,G1_Activist_Stubborn_Sentient,RELATEDNESS,0.00969398147670681,0.8852919458170948,0,NA,0.00969398147670681,positive,Higher values in this dimension are associated with more advanced adoption stages
full,5000,0,G1_Activist_Stubborn_Sentient,SECURITY,-1.374647086776217,1.77054915595683e-65,0,NA,-1.374647086776217,negative,Higher values in this dimension are associated with less advanced adoption stages
full,5000,0,G1_Activist_Stubborn_Sentient,STIMULATION,-0.082858318286263,0.26970710264140657,0,NA,-0.082858318286263,negative,Higher values in this dimension are associated with less advanced adoption stages
full,5000,0,G2_EarlyAdopter_Influencer,AUTONOMY,2.933488331514874,4.935336941383082e-246,-0.15777979995442326,0.11969594358654537,2.7757085315604506,positive,Higher values in this dimension are associated with more advanced adoption stages
full,5000,0,G2_EarlyAdopter_Influencer,COMPETENCE,0.07447431562959404,0.18211050000660375,-1.1728352087784366,1.3175681273430435e-43,-1.0983608931488427,negative,Higher values in this dimension are associated with less advanced adoption stages
full,5000,0,G2_EarlyAdopter_Influencer,FINANCIAL,-1.0132751115295455,2.2880490778853302e-54,2.1858284904872947,2.9361194719279086e-133,1.1725533789577491,positive,Higher values in this dimension are associated with more advanced adoption stages
full,5000,0,G2_EarlyAdopter_Influencer,MEANING,1.4365585077037335,2.561594384390983e-70,0.382638023965592,6.310326940142186e-5,1.8191965316693255,positive,Higher values in this dimension are associated with more advanced adoption stages
full,5000,0,G2_EarlyAdopter_Influencer,PHYSIOLOGICAL,0.6402996010392529,1.3473440010895271e-20,-0.9366438175409374,5.671416551998425e-26,-0.2963442165016845,negative,Higher values in this dimension are associated with less advanced adoption stages
full,5000,0,G2_EarlyAdopter_Influencer,POPULARITY,0.41262041855253306,1.1121154231865468e-10,-0.4540462715372288,3.016556693728127e-8,-0.041425852984695755,negative,Higher values in this dimension are associated with less advanced adoption stages
full,5000,0,G2_EarlyAdopter_Influencer,RELATEDNESS,0.00969398147670681,0.8852919458170948,-0.5468175598531051,8.181566169597766e-11,-0.5371235783763982,negative,Higher values in this dimension are associated with less advanced adoption stages
