row_id,participant_id,decision_id,technology,original_archetype,macro_archetype_5,adoption_stage,response_style_latent,FINANCIAL,SECURITY,COMPETENCE,AUTONOMY,PHYSIOLOGICAL,RELATEDNESS,STIMULATION,POPULARITY,MEANING
1,synthetic_1,1,energy_efficient_appliances,Influencer,G2_EarlyAdopter_Influencer,Done,-2.7152304755198347,52.12,43.275,62.76,60.25,37.650000000000006,45.46,54.96666666666667,62.4,77.9
2,synthetic_1,2,energy_storage_systems,Influencer,G2_EarlyAdopter_Influencer,Considering,-2.7152304755198347,51.14,55.025,68.56,46.5,46.150000000000006,51.62,50.96666666666666,48.2,53.35
3,synthetic_1,3,electric_vehicle,Influencer,G2_EarlyAdopter_Influencer,Done,-2.7152304755198347,53.36,47.65,62.199999999999996,53.05,53.900000000000006,43.74,61.06666666666667,68.9,62.25
4,synthetic_10,1,micro_efficiency_measures,Careful,G3_Fearful_Careful,Considering,6.381175469888136,68.7,75.675,84.02,30.55,48.4,61.16,53.53333333333333,46.75,51.900000000000006
5,synthetic_10,2,micro_efficiency_measures,Careful,G3_Fearful_Careful,Knowledge,6.381175469888136,49.02,84.675,57.6,41.95,67.15,58.02,41.5,44.75,56.8
6,synthetic_10,3,electricity_tariff_change,Careful,G3_Fearful_Careful,Knowledge,6.381175469888136,63.16,76.125,62.339999999999996,33.825,64.6,61.08,45.6,58.5,44.75
7,synthetic_100,1,envelope_renovation,Fearful,G3_Fearful_Careful,Considering,2.961893812438721,55.66,60.225,79.78,52.15,49.95,57.660000000000004,45.833333333333336,48.75,46.099999999999994
8,synthetic_100,2,domestic_hot_water_system,Fearful,G3_Fearful_Careful,Knowledge,2.961893812438721,55.62,84.125,66.34,31.175,63.7,43.519999999999996,38.3,46.05,43.7
9,synthetic_100,3,energy_storage_systems,Fearful,G3_Fearful_Careful,Considering,2.961893812438721,65.66,68.275,85.64,47.475,53.15,50.46,32.9,46.25,53.05
10,synthetic_1000,1,electric_vehicle,Early_Adopter,G2_EarlyAdopter_Influencer,Done,7.355186401376233,61.300000000000004,69.1,76.56,74.4,52.25,53.78,53.199999999999996,64.15,62.3
