term,estimate,std.error,statistic,p.value,coef.type,sample_label,sample_label_es,n_participants,boot_id,model_type,model_label,formula,term_label,tipo_termino,is_significant
Knowledge|Considering,-1.1025704540909127,0.1979882206382615,-5.568868948549151,2.5639823322336495e-8,intercept,bootstrap,bootstrap sintético,200,1,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Knowledge|Considering,Umbral de etapa,TRUE
Considering|Done,0.6157394830663475,0.192759588718986,3.194339058089616,0.0014015140658903754,intercept,bootstrap,bootstrap sintético,200,1,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Considering|Done,Umbral de etapa,TRUE
macro_archetype_5G2_EarlyAdopter_Influencer,0.7222857918961324,0.2335868354033589,3.0921511079547175,0.001987116684839165,location,bootstrap,bootstrap sintético,200,1,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Arquetipo: G2 EarlyAdopter Influencer,Arquetipo,TRUE
macro_archetype_5G3_Fearful_Careful,-0.8462180887524999,0.2420485322991546,-3.4960678369519513,4.7216864557781036e-4,location,bootstrap,bootstrap sintético,200,1,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Arquetipo: G3 Fearful Careful,Arquetipo,TRUE
macro_archetype_5G4_HomoEconomicus,-0.496555017161191,0.30405261676096257,-1.6331219985900278,0.10244334075688608,location,bootstrap,bootstrap sintético,200,1,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Arquetipo: G4 HomoEconomicus,Arquetipo,FALSE
macro_archetype_5G5_Uninterested,-1.7667799772061468,0.4147067739569329,-4.260311352882859,2.0414232412754696e-5,location,bootstrap,bootstrap sintético,200,1,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Arquetipo: G5 Uninterested,Arquetipo,TRUE
Knowledge|Considering,3.471744728267405,1.2996161957866765,2.671361544679664,0.007554423046716683,intercept,bootstrap,bootstrap sintético,200,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Knowledge|Considering,Umbral de etapa,TRUE
Considering|Done,6.687102033421637,1.3786631868255383,4.850424742840291,1.231973716703657e-6,intercept,bootstrap,bootstrap sintético,200,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Considering|Done,Umbral de etapa,TRUE
macro_archetype_5G2_EarlyAdopter_Influencer,1.6093555591369422,0.336672004270691,4.780188250648213,1.751311302682873e-6,location,bootstrap,bootstrap sintético,200,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Arquetipo: G2 EarlyAdopter Influencer,Arquetipo,TRUE
macro_archetype_5G3_Fearful_Careful,5.6279539407028105,0.5792379057538316,9.716135433813642,2.5736442300626003e-22,location,bootstrap,bootstrap sintético,200,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Arquetipo: G3 Fearful Careful,Arquetipo,TRUE
