participant_id,year_of_birth,age,age_group,gender,country,residence_region,city_size,climate_zone,employment,education_group,work_home,type_house,tenure,political_orientation,vote_type,source_survey,identifier_type,row_quality
PROLIFIC_6a229a11e392c08625a712bd,1988,38,Millennials,Mujer,Bulgaria,Europa del Este,Ciudad grande (500.000-1.000.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,No,Otro tipo de hogar,Propiedad sin hipoteca,Centro,No vota / blanco / nulo,decision,prolific,usable
PROLIFIC_69f0ef9892bba1b2c3596e76,1998,28,Millennials,Mujer,Lituania,Europa del Norte,Metrópolis (>1.000.000 hab.),Clima templado,Empleado/a,Universitaria,No,Pareja sin hijos,Propiedad sin hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_69249f2bf89992510c44179e,NA,NA,NA,Mujer,República Checa,Europa del Este,Metrópolis (>1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Izquierda,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,28,Millennials,Mujer,Dinamarca,Europa del Norte,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Empleado/a,Universitaria,No,Vivienda compartida,Alquiler,Extrema izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6a229bc24afaa132a0944070,1989,37,Millennials,Mujer,Bulgaria,Europa del Este,Metrópolis (>1.000.000 hab.),Clima templado,Empleado/a,Universitaria,No,Hogar con hijos,Propiedad sin hipoteca,Derecha,Otras opciones,decision,prolific,attention_check_fallido
PROLIFIC_5f2dcc4c7989510ff7699cab,1995,31,Millennials,Mujer,Dinamarca,Europa del Norte,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Estudiante,Universitaria,Sí,Pareja sin hijos,Alquiler,Izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_661581f5ba8868414baed7ca,2004,22,Generación Z,Mujer,Eslovaquia,Europa del Este,Municipio pequeño (1.000-10.000 hab.),Clima templado,Empleado/a,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Extrema izquierda,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_5aeb24e22bd17300018779f2,1994,32,Millennials,Mujer,Estonia,Europa del Norte,Ciudad mediana (250.000-500.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Alquiler,Extrema izquierda,Partidos nacionales,decision,prolific,usable
PROLIFIC_6597f6dc6f784e1f69bfadfa,2004,22,Generación Z,Mujer,Eslovaquia,Europa del Este,Municipio mediano (10.000-50.000 hab.),Clima templado,Empleado/a,No universitaria,No,Hogar con hijos,Propiedad sin hipoteca,Extrema izquierda,Partidos nacionales,decision,prolific,attention_check_fallido
PROLIFIC_698b10e112e204e2d1f0c126,1992,34,Millennials,Mujer,Finlandia,Europa del Norte,Ciudad mediana (250.000-500.000 hab.),Clima frío/polar,Estudiante,Universitaria,Sí,Vive solo/a,Alquiler,NA,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6a22e126f41c2f91aaf90b28,2006,20,Generación Z,Mujer,Eslovaquia,Europa del Este,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Estudiante,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Extrema izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_697b4452d0057be21360d8d6,1986,40,Millennials,Mujer,Suecia,Europa del Norte,Metrópolis (>1.000.000 hab.),Clima frío/polar,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_604dedd2805fe682c5bc51c0,1984,42,Generación X,Mujer,Hungría,Europa del Este,Metrópolis (>1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Derecha,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_5d1f54b95538e6001a843293,1983,43,Generación X,Mujer,Bélgica,Europa Occidental,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Extrema izquierda,Otras opciones,decision,prolific,usable
PROLIFIC_69a6fd75a40ab271c0a54fd7,1983,43,Generación X,Mujer,Rumanía,Europa del Este,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Vivienda compartida,Alquiler,Extrema izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_69932173fe3deef35c4f7e70,1990,36,Millennials,Mujer,Luxemburgo,Europa Occidental,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Propiedad sin hipoteca,Izquierda,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_69edcc3c9f52558843ab7d99,2001,25,Generación Z,Mujer,Bélgica,Europa Occidental,Aldea o núcleo rural (<1.000 hab.),Clima templado,Empleado/a,Universitaria,No,Pareja sin hijos,Alquiler,Derecha,Voto variable según candidato/programa,decision,prolific,usable
