section_order,row_order,row_type,characteristic,Total,Cuidadoso/a,Activista,Temeroso/a,Homo economicus,Sensible,Influyente,Desinteresado/a,Pionero
1,1,data,N participantes,403,82,71,68,60,55,35,9,1
2,1,data,"Edad, años (media (DE))",43.9 (14.9),34.6 (10.9),46.7 (15.6),46.1 (16.1),37.5 (11.3),50.6 (13.0),53.7 (12.7),34.4 (11.1),28.0 (NA)
3,0,header,Generación,,,,,,,,,
3,1,data,  Boomers + generación silenciosa,105 (27.1%),7 (9.1%),23 (34.3%),21 (31.8%),6 (10.2%),21 (38.2%),19 (54.3%),0 (0.0%),0 (0.0%)
3,1,data,  Generación X,103 (26.6%),12 (15.6%),18 (26.9%),18 (27.3%),12 (20.3%),23 (41.8%),10 (28.6%),3 (33.3%),0 (0.0%)
3,1,data,  Generación Z,36 (9.3%),11 (14.3%),7 (10.4%),6 (9.1%),8 (13.6%),2 (3.6%),0 (0.0%),2 (22.2%),0 (0.0%)
3,1,data,  Millennials,143 (37.0%),47 (61.0%),19 (28.4%),21 (31.8%),33 (55.9%),9 (16.4%),6 (17.1%),4 (44.4%),1 (100.0%)
3,2,data,  Boomers + generación silenciosa,105 (27.1%),7 (9.1%),23 (34.3%),21 (31.8%),6 (10.2%),21 (38.2%),19 (54.3%),0 (0.0%),0 (0.0%)
3,2,data,  Generación X,103 (26.6%),12 (15.6%),18 (26.9%),18 (27.3%),12 (20.3%),23 (41.8%),10 (28.6%),3 (33.3%),0 (0.0%)
3,2,data,  Generación Z,36 (9.3%),11 (14.3%),7 (10.4%),6 (9.1%),8 (13.6%),2 (3.6%),0 (0.0%),2 (22.2%),0 (0.0%)
3,2,data,  Millennials,143 (37.0%),47 (61.0%),19 (28.4%),21 (31.8%),33 (55.9%),9 (16.4%),6 (17.1%),4 (44.4%),1 (100.0%)
3,3,data,  Boomers + generación silenciosa,105 (27.1%),7 (9.1%),23 (34.3%),21 (31.8%),6 (10.2%),21 (38.2%),19 (54.3%),0 (0.0%),0 (0.0%)
3,3,data,  Generación X,103 (26.6%),12 (15.6%),18 (26.9%),18 (27.3%),12 (20.3%),23 (41.8%),10 (28.6%),3 (33.3%),0 (0.0%)
3,3,data,  Generación Z,36 (9.3%),11 (14.3%),7 (10.4%),6 (9.1%),8 (13.6%),2 (3.6%),0 (0.0%),2 (22.2%),0 (0.0%)
3,3,data,  Millennials,143 (37.0%),47 (61.0%),19 (28.4%),21 (31.8%),33 (55.9%),9 (16.4%),6 (17.1%),4 (44.4%),1 (100.0%)
3,4,data,  Boomers + generación silenciosa,105 (27.1%),7 (9.1%),23 (34.3%),21 (31.8%),6 (10.2%),21 (38.2%),19 (54.3%),0 (0.0%),0 (0.0%)
3,4,data,  Generación X,103 (26.6%),12 (15.6%),18 (26.9%),18 (27.3%),12 (20.3%),23 (41.8%),10 (28.6%),3 (33.3%),0 (0.0%)
3,4,data,  Generación Z,36 (9.3%),11 (14.3%),7 (10.4%),6 (9.1%),8 (13.6%),2 (3.6%),0 (0.0%),2 (22.2%),0 (0.0%)
3,4,data,  Millennials,143 (37.0%),47 (61.0%),19 (28.4%),21 (31.8%),33 (55.9%),9 (16.4%),6 (17.1%),4 (44.4%),1 (100.0%)
4,0,header,Género,,,,,,,,,
4,1,data,  Hombre,192 (49.5%),28 (36.8%),39 (57.4%),32 (47.8%),16 (26.7%),44 (80.0%),22 (64.7%),3 (33.3%),0 (0.0%)
4,1,data,  Mujer,192 (49.5%),48 (63.2%),27 (39.7%),35 (52.2%),44 (73.3%),10 (18.2%),12 (35.3%),5 (55.6%),1 (100.0%)
4,1,data,  Otro / Prefiere no decirlo,4 (1.0%),0 (0.0%),2 (2.9%),0 (0.0%),0 (0.0%),1 (1.8%),0 (0.0%),1 (11.1%),0 (0.0%)
4,2,data,  Hombre,192 (49.5%),28 (36.8%),39 (57.4%),32 (47.8%),16 (26.7%),44 (80.0%),22 (64.7%),3 (33.3%),0 (0.0%)
4,2,data,  Mujer,192 (49.5%),48 (63.2%),27 (39.7%),35 (52.2%),44 (73.3%),10 (18.2%),12 (35.3%),5 (55.6%),1 (100.0%)
4,2,data,  Otro / Prefiere no decirlo,4 (1.0%),0 (0.0%),2 (2.9%),0 (0.0%),0 (0.0%),1 (1.8%),0 (0.0%),1 (11.1%),0 (0.0%)
4,3,data,  Hombre,192 (49.5%),28 (36.8%),39 (57.4%),32 (47.8%),16 (26.7%),44 (80.0%),22 (64.7%),3 (33.3%),0 (0.0%)
4,3,data,  Mujer,192 (49.5%),48 (63.2%),27 (39.7%),35 (52.2%),44 (73.3%),10 (18.2%),12 (35.3%),5 (55.6%),1 (100.0%)
4,3,data,  Otro / Prefiere no decirlo,4 (1.0%),0 (0.0%),2 (2.9%),0 (0.0%),0 (0.0%),1 (1.8%),0 (0.0%),1 (11.1%),0 (0.0%)
5,0,header,País de residencia,,,,,,,,,
5,1,data,  España,186 (47.0%),9 (11.1%),40 (57.1%),36 (52.9%),9 (15.0%),45 (88.2%),31 (88.6%),3 (33.3%),0 (0.0%)
5,1,data,  Otro país europeo,210 (53.0%),72 (88.9%),30 (42.9%),32 (47.1%),51 (85.0%),6 (11.8%),4 (11.4%),6 (66.7%),1 (100.0%)
5,2,data,  España,186 (47.0%),9 (11.1%),40 (57.1%),36 (52.9%),9 (15.0%),45 (88.2%),31 (88.6%),3 (33.3%),0 (0.0%)
5,2,data,  Otro país europeo,210 (53.0%),72 (88.9%),30 (42.9%),32 (47.1%),51 (85.0%),6 (11.8%),4 (11.4%),6 (66.7%),1 (100.0%)
6,0,header,Región europea,,,,,,,,,
6,1,data,  Europa Occidental,70 (17.7%),21 (25.9%),12 (17.1%),7 (10.3%),20 (33.3%),4 (7.8%),1 (2.9%),2 (22.2%),1 (100.0%)
6,1,data,  Europa del Este,50 (12.6%),19 (23.5%),3 (4.3%),10 (14.7%),14 (23.3%),1 (2.0%),1 (2.9%),1 (11.1%),0 (0.0%)
6,1,data,  Europa del Norte,50 (12.6%),20 (24.7%),11 (15.7%),5 (7.4%),9 (15.0%),0 (0.0%),2 (5.7%),2 (22.2%),0 (0.0%)
6,1,data,  Europa del Sur,226 (57.1%),21 (25.9%),44 (62.9%),46 (67.6%),17 (28.3%),46 (90.2%),31 (88.6%),4 (44.4%),0 (0.0%)
6,1,data,  Otra región,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
6,2,data,  Europa Occidental,70 (17.7%),21 (25.9%),12 (17.1%),7 (10.3%),20 (33.3%),4 (7.8%),1 (2.9%),2 (22.2%),1 (100.0%)
6,2,data,  Europa del Este,50 (12.6%),19 (23.5%),3 (4.3%),10 (14.7%),14 (23.3%),1 (2.0%),1 (2.9%),1 (11.1%),0 (0.0%)
6,2,data,  Europa del Norte,50 (12.6%),20 (24.7%),11 (15.7%),5 (7.4%),9 (15.0%),0 (0.0%),2 (5.7%),2 (22.2%),0 (0.0%)
6,2,data,  Europa del Sur,226 (57.1%),21 (25.9%),44 (62.9%),46 (67.6%),17 (28.3%),46 (90.2%),31 (88.6%),4 (44.4%),0 (0.0%)
6,2,data,  Otra región,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
6,3,data,  Europa Occidental,70 (17.7%),21 (25.9%),12 (17.1%),7 (10.3%),20 (33.3%),4 (7.8%),1 (2.9%),2 (22.2%),1 (100.0%)
6,3,data,  Europa del Este,50 (12.6%),19 (23.5%),3 (4.3%),10 (14.7%),14 (23.3%),1 (2.0%),1 (2.9%),1 (11.1%),0 (0.0%)
6,3,data,  Europa del Norte,50 (12.6%),20 (24.7%),11 (15.7%),5 (7.4%),9 (15.0%),0 (0.0%),2 (5.7%),2 (22.2%),0 (0.0%)
6,3,data,  Europa del Sur,226 (57.1%),21 (25.9%),44 (62.9%),46 (67.6%),17 (28.3%),46 (90.2%),31 (88.6%),4 (44.4%),0 (0.0%)
6,3,data,  Otra región,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
6,4,data,  Europa Occidental,70 (17.7%),21 (25.9%),12 (17.1%),7 (10.3%),20 (33.3%),4 (7.8%),1 (2.9%),2 (22.2%),1 (100.0%)
6,4,data,  Europa del Este,50 (12.6%),19 (23.5%),3 (4.3%),10 (14.7%),14 (23.3%),1 (2.0%),1 (2.9%),1 (11.1%),0 (0.0%)
6,4,data,  Europa del Norte,50 (12.6%),20 (24.7%),11 (15.7%),5 (7.4%),9 (15.0%),0 (0.0%),2 (5.7%),2 (22.2%),0 (0.0%)
6,4,data,  Europa del Sur,226 (57.1%),21 (25.9%),44 (62.9%),46 (67.6%),17 (28.3%),46 (90.2%),31 (88.6%),4 (44.4%),0 (0.0%)
6,4,data,  Otra región,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
6,5,data,  Europa Occidental,70 (17.7%),21 (25.9%),12 (17.1%),7 (10.3%),20 (33.3%),4 (7.8%),1 (2.9%),2 (22.2%),1 (100.0%)
