desired_total_n,residence_region,target_n_original,target_n_scaled,target_pct,current_n,current_pct_for_desired_n,difference_n,recruit_next_n,overrepresented_n,keep_for_balanced_sample_n,status
300,Europa Occidental,53,88,29.33,20,6.67,68,68,0,20,Faltan participantes
300,Europa del Norte,43,71,23.67,9,3,62,62,0,9,Faltan participantes
300,Europa del Este,34,57,19,6,2,51,51,0,6,Faltan participantes
300,Europa del Sur,51,84,28,189,63,-105,0,105,84,Sobrerrepresentado
405,Europa Occidental,53,119,29.38,20,4.94,99,99,0,20,Faltan participantes
405,Europa del Norte,43,98,24.2,9,2.22,89,89,0,9,Faltan participantes
405,Europa del Este,34,75,18.52,6,1.48,69,69,0,6,Faltan participantes
405,Europa del Sur,51,113,27.9,189,46.67,-76,0,76,113,Sobrerrepresentado
500,Europa Occidental,53,147,29.4,20,4,127,127,0,20,Faltan participantes
500,Europa del Norte,43,117,23.4,9,1.8,108,108,0,9,Faltan participantes
500,Europa del Este,34,95,19,6,1.2,89,89,0,6,Faltan participantes
500,Europa del Sur,51,141,28.2,189,37.8,-48,0,48,141,Sobrerrepresentado
1000,Europa Occidental,53,293,29.3,20,2,273,273,0,20,Faltan participantes
1000,Europa del Norte,43,237,23.7,9,0.9,228,228,0,9,Faltan participantes
1000,Europa del Este,34,188,18.8,6,0.6,182,182,0,6,Faltan participantes
1000,Europa del Sur,51,282,28.2,189,18.9,93,93,0,189,Faltan participantes
