self_profile,determinant_id,determinant_label,n,mean,median,sd
Desinteresado/a,own_significance,Significado personal,9,77.55555555555556,77,8.762292952063277
Desinteresado/a,self_satisfaction,Satisfacción personal,9,75.66666666666667,71,22.371857321197094
Desinteresado/a,cost_efficiency,Eficiencia de costes,9,74.44444444444444,62,18.08390936102528
Desinteresado/a,wellbeing,Bienestar,8,73.5,79,10.757057484009543
Desinteresado/a,technical_fit,Adecuación técnica,9,73.33333333333333,70,12.806248474865697
Desinteresado/a,trust,Confianza,9,72.66666666666667,73,20.6579282601136
Desinteresado/a,knowledge,Conocimiento,9,71.55555555555556,74,17.21998193314319
Desinteresado/a,rights_and_duties,Derechos y deberes,9,71.33333333333333,71,19.32614809008769
Desinteresado/a,own_competence,Competencia propia,9,70.77777777777777,78,22.055485586231026
Desinteresado/a,coziness,Confort,9,69.66666666666667,74,15.811388300841896
Desinteresado/a,legal,Cumplimiento legal,9,69,69,20.334699407662754
Desinteresado/a,adherence,Adherencia,8,67.125,73,22.781179575630908
Desinteresado/a,commitment,Compromiso,9,64.77777777777777,70,21.798955122767797
Desinteresado/a,environmental_concerns,Preocupación ambiental,9,63.666666666666664,67,19.58315602756614
Desinteresado/a,safety,Seguridad,9,62.55555555555556,64,16.786237749352228
Desinteresado/a,frugality,Frugalidad,9,62.44444444444444,66,15.500896031448562
Desinteresado/a,credit_score_access_to_funding,Acceso a financiación,8,60.375,71.5,37.22878110893698
Desinteresado/a,climate_protection,Protección climática,9,60,64,20.359273071502333
Desinteresado/a,agreement,Acuerdo,9,58.333333333333336,56,27.459060435491963
Desinteresado/a,added_value,Valor añadido,8,57,60.5,16.578816087318867
Desinteresado/a,risk_profile,Perfil de riesgo,9,56.55555555555556,62,20.494579229098065
Desinteresado/a,profits,Beneficio económico,9,56,51,27.004629232781554
Desinteresado/a,support,Apoyo social,8,55.625,53,26.959957079236712
Desinteresado/a,autarky,Autosuficiencia,9,51.55555555555556,41,27.06525037345448
Desinteresado/a,peer_pressure,Presión social,9,42.22222222222222,40,29.94068209718083
Desinteresado/a,fun,Diversión,9,37.22222222222222,28,27.21570216702932
Desinteresado/a,trends,Tendencias,9,32.888888888888886,25,25.876845076459983
Desinteresado/a,approval,Aprobación,9,28.444444444444443,24,27.870733355578892
Desinteresado/a,socialising,Socialización,9,26.22222222222222,25,18.342421989596804
Desinteresado/a,recognition,Reconocimiento,9,26,13,32.58450552026223
Desinteresado/a,authority,Autoridad,9,24.555555555555557,27,26.353894926135258
Desinteresado/a,novelty,Novedad,9,23.77777777777778,18,25.35634919392862
