self_profile,determinant_id,determinant_label,n,mean,median,sd
Activist,wellbeing,Wellbeing,66,76.31818181818181,76,13.251599718709251
Activist,climate_protection,Climate protection,66,76.25757575757575,78,16.43758414409406
Activist,environmental_concerns,Environmental concerns,66,75.98484848484848,76,16.332593580127224
Activist,knowledge,Knowledge,65,74.86153846153846,75,18.282400111751024
Activist,commitment,Commitment,63,74.58730158730158,74,12.788143350113886
Activist,technical_fit,Technical fit,63,72.88888888888889,76,19.619042026455883
Activist,adherence,Adherence,63,72.57142857142857,74,14.425240296219908
Activist,trust,Trust,60,72.3,77,19.792397102191728
Activist,rights_and_duties,Rights and duties,61,71.27868852459017,76,17.673078535389152
Activist,self_satisfaction,Self-satisfaction,65,71.27692307692308,74,18.034262263386747
Activist,safety,Safety,60,68.38333333333334,70,20.753673692901035
Activist,legal,Legal compliance,61,67.60655737704919,72,24.9106929440114
Activist,cost_efficiency,Cost efficiency,62,67.08064516129032,70,19.190416312979455
Activist,coziness,Comfort,64,66.53125,67,16.92370250120246
Activist,own_significance,Personal significance,64,64.921875,67,19.372951760654207
Activist,agreement,Agreement,61,63.57377049180327,69,23.356982550830093
Activist,added_value,Added value,58,61.98275862068966,66.5,20.6231783921234
Activist,own_competence,Own competence,59,61.33898305084746,65,22.507171400805234
Activist,autarky,Self-sufficiency,64,60.828125,64.5,21.607284697160054
Activist,credit_score_access_to_funding,Access to funding,61,59.9672131147541,66,24.953935703688614
Activist,risk_profile,Risk profile,62,58.596774193548384,60.5,21.883042073879764
Activist,support,Social support,58,56.758620689655174,60,17.30055302313285
Activist,frugality,Frugality,61,55.852459016393446,59,18.301034638851956
Activist,profits,Economic profit,59,49.13559322033898,45,25.728997211062264
Activist,novelty,Novelty,55,48.74545454545454,58,25.87521206341311
Activist,peer_pressure,Peer pressure,65,35.938461538461546,34,25.551954990688163
Activist,trends,Trends,60,32.61666666666667,30,25.33175916905239
Activist,fun,Fun,61,30.491803278688526,26,24.72490171926518
Activist,authority,Authority,57,30.43859649122807,28,23.702032420282656
Activist,socialising,Socialising,60,29.73333333333333,26.5,25.03141528983987
Activist,approval,Approval,61,25.770491803278688,20,25.58540823895719
Activist,recognition,Recognition,65,21.876923076923077,20,20.516386508949758
