self_profile,determinant_id,determinant_label,n,mean,median,sd
Careful,cost_efficiency,Cost efficiency,74,80.83783783783784,81.5,16.944734525442616
Careful,knowledge,Knowledge,73,79.08219178082192,85,20.679937556762546
Careful,trust,Trust,72,78.15277777777777,82.5,18.919890213645555
Careful,wellbeing,Wellbeing,75,76.13333333333334,79,19.690396433584358
Careful,adherence,Adherence,72,75.66666666666667,75.5,17.039308324254655
Careful,legal,Legal compliance,73,75.3013698630137,78,21.884599437546417
Careful,technical_fit,Technical fit,73,75.24657534246575,79,20.303106509649236
Careful,self_satisfaction,Self-satisfaction,72,75.04166666666667,75.5,19.05399111642463
Careful,credit_score_access_to_funding,Access to funding,72,74.43055555555556,76,22.425982409048537
Careful,coziness,Comfort,73,74.08219178082192,77,20.87046918538883
Careful,safety,Safety,74,73.66216216216216,75,20.034406724314582
Careful,risk_profile,Risk profile,72,72.27777777777777,73,20.711446261905056
Careful,commitment,Commitment,73,72.04109589041096,73,19.961378234094106
Careful,profits,Economic profit,72,68.18055555555556,70.5,23.191381588182736
Careful,rights_and_duties,Rights and duties,73,66.47945205479452,68,24.43989770223243
Careful,autarky,Self-sufficiency,74,65.63513513513513,69,22.627159292600595
Careful,environmental_concerns,Environmental concerns,73,64.6986301369863,66,21.541100851051933
Careful,frugality,Frugality,71,64.53521126760563,70,23.92299012958962
Careful,own_competence,Own competence,72,64.33333333333333,70,23.092587677300326
Careful,climate_protection,Climate protection,72,61.875,65,23.27056866939833
Careful,agreement,Agreement,75,60.160000000000004,67,27.61317742614144
Careful,added_value,Added value,72,57.27777777777778,59,22.18438876442915
Careful,own_significance,Personal significance,74,55.17567567567568,57.5,27.776188732367743
Careful,novelty,Novelty,74,50.229729729729726,56,26.45624316991511
Careful,support,Social support,73,44.863013698630134,49,26.58806910193469
Careful,fun,Fun,70,41.48571428571428,38.5,28.141332156977903
Careful,authority,Authority,70,33.871428571428574,26.5,26.535140184221245
Careful,peer_pressure,Peer pressure,74,32.60810810810811,30,26.10559041979772
Careful,socialising,Socialising,70,28.2,23,26.03264394418357
Careful,trends,Trends,73,27.931506849315067,22,24.905002156596794
Careful,approval,Approval,71,23.802816901408452,20,24.422249643839038
Careful,recognition,Recognition,70,21.171428571428567,17,23.16166962804262
