self_profile,determinant_id,determinant_label,n,mean,median,sd
Fearful,knowledge,Knowledge,64,83.1875,82.5,14.202475751090635
Fearful,trust,Trust,59,79.27118644067797,81,18.589791885903196
Fearful,legal,Legal compliance,56,79.03571428571429,82,17.16652586837565
Fearful,adherence,Adherence,61,78.21311475409836,79,15.424131260353432
Fearful,technical_fit,Technical fit,64,78.09375,80,16.836957412805763
Fearful,environmental_concerns,Environmental concerns,66,76.33333333333333,79,16.94364717193968
Fearful,safety,Safety,56,74.25,74.5,21.014497160510192
Fearful,self_satisfaction,Self-satisfaction,60,73.9,78,18.780353961394184
Fearful,climate_protection,Climate protection,65,73.52307692307693,77,20.850740163951382
Fearful,commitment,Commitment,63,72.39682539682539,71,15.227881561665718
Fearful,rights_and_duties,Rights and duties,60,72.35,76,21.204272834517997
Fearful,wellbeing,Wellbeing,58,72.15517241379311,74,23.82303302691181
Fearful,risk_profile,Risk profile,53,70.35849056603773,75,20.993675182725724
Fearful,credit_score_access_to_funding,Access to funding,58,69.82758620689656,75,22.8712168234151
Fearful,cost_efficiency,Cost efficiency,61,69,75,25.40144352853462
Fearful,agreement,Agreement,64,67.453125,71,24.635069651738995
Fearful,own_significance,Personal significance,57,64.66666666666667,66,20.495063284791758
Fearful,added_value,Added value,60,63.85,70,24.05701208605247
Fearful,autarky,Self-sufficiency,58,63.36206896551724,67,22.900776264987613
Fearful,own_competence,Own competence,54,62.148148148148145,70.5,27.45590454927951
Fearful,support,Social support,56,62.05357142857142,66,23.681538373599377
Fearful,coziness,Comfort,56,61.75,67.5,23.850481222513196
Fearful,frugality,Frugality,57,52.666666666666664,54,26.565507532817637
Fearful,profits,Economic profit,59,52.20338983050847,58,26.331297531459395
Fearful,novelty,Novelty,62,47.61290322580645,48.5,27.06177198389851
Fearful,socialising,Socialising,59,34.79661016949153,30,28.71007252120758
Fearful,fun,Fun,59,33.7457627118644,27,27.297589397385277
Fearful,peer_pressure,Peer pressure,62,33.516129032258064,25.5,26.458592416052962
Fearful,trends,Trends,61,31.672131147540984,30,25.07304084169251
Fearful,authority,Authority,59,27.169491525423734,23,23.628702988302376
Fearful,approval,Approval,60,23.983333333333334,18.5,25.29319039239591
Fearful,recognition,Recognition,64,22.890625,20,21.95964349574732
