stage_dimension_id,participant_id,stage,technology,dimension_key,dimension,n_determinants_linked,n_determinants_filled,n_determinants_missing
1,PROLIFIC_6a229a11e392c08625a712bd,Implementada,Renovación de envolvente,FINANCIAL,Seguridad financiera,5,5,0
2,PROLIFIC_69f0ef9892bba1b2c3596e76,Implementada,Renovación de envolvente,FINANCIAL,Seguridad financiera,5,5,0
3,PROLIFIC_6a229bc24afaa132a0944070,Implementada,Agua caliente sanitaria,FINANCIAL,Seguridad financiera,5,5,0
4,PROLIFIC_6a229bc24afaa132a0944070,Implementada,Agua caliente sanitaria,PHYSIOLOGICAL,Materialidad,2,1,1
5,PROLIFIC_6a229bc24afaa132a0944070,Implementada,Agua caliente sanitaria,MEANING,Significado,2,1,1
6,PROLIFIC_5f2dcc4c7989510ff7699cab,Implementada,Electrodomésticos eficientes,FINANCIAL,Seguridad financiera,5,4,1
7,PROLIFIC_5f2dcc4c7989510ff7699cab,Implementada,Electrodomésticos eficientes,COMPETENCE,Competencia,5,5,0
8,PROLIFIC_5f2dcc4c7989510ff7699cab,Implementada,Electrodomésticos eficientes,AUTONOMY,Autonomía,4,4,0
9,PROLIFIC_661581f5ba8868414baed7ca,Implementada,Sistema de refrigeración,PHYSIOLOGICAL,Materialidad,2,2,0
10,CODE_6a1d9,Implementada,Sistema de refrigeración,FINANCIAL,Seguridad financiera,5,5,0
11,CODE_6a1d9,Implementada,Sistema de refrigeración,COMPETENCE,Competencia,5,5,0
12,CODE_6a1d9,Implementada,Sistema de refrigeración,AUTONOMY,Autonomía,4,4,0
13,PROLIFIC_5aeb24e22bd17300018779f2,Implementada,Medidas de microeficiencia,FINANCIAL,Seguridad financiera,5,5,0
14,PROLIFIC_5aeb24e22bd17300018779f2,Implementada,Medidas de microeficiencia,AUTONOMY,Autonomía,4,4,0
15,PROLIFIC_5aeb24e22bd17300018779f2,Implementada,Medidas de microeficiencia,MEANING,Significado,2,2,0
16,PROLIFIC_698db045fae28c25c8879634,Implementada,Sistemas inteligentes del hogar,COMPETENCE,Competencia,5,5,0
17,PROLIFIC_698db045fae28c25c8879634,Implementada,Sistemas inteligentes del hogar,AUTONOMY,Autonomía,4,4,0
18,PROLIFIC_698db045fae28c25c8879634,Implementada,Sistemas inteligentes del hogar,POPULARITY,Popularidad,2,2,0
19,PROLIFIC_6597f6dc6f784e1f69bfadfa,Implementada,Renovación de envolvente,FINANCIAL,Seguridad financiera,5,5,0
20,PROLIFIC_6597f6dc6f784e1f69bfadfa,Implementada,Renovación de envolvente,PHYSIOLOGICAL,Materialidad,2,2,0
21,PROLIFIC_6597f6dc6f784e1f69bfadfa,Implementada,Renovación de envolvente,MEANING,Significado,2,2,0
22,PROLIFIC_698b10e112e204e2d1f0c126,Implementada,Electrodomésticos eficientes,FINANCIAL,Seguridad financiera,5,5,0
23,PROLIFIC_698b10e112e204e2d1f0c126,Implementada,Electrodomésticos eficientes,COMPETENCE,Competencia,5,5,0
24,PROLIFIC_698b10e112e204e2d1f0c126,Implementada,Electrodomésticos eficientes,PHYSIOLOGICAL,Materialidad,2,2,0
25,PROLIFIC_6a22e126f41c2f91aaf90b28,Implementada,Renovación de envolvente,FINANCIAL,Seguridad financiera,5,5,0
26,PROLIFIC_697b4452d0057be21360d8d6,Implementada,Sistemas inteligentes del hogar,FINANCIAL,Seguridad financiera,5,5,0
27,PROLIFIC_697b4452d0057be21360d8d6,Implementada,Sistemas inteligentes del hogar,SECURITY,Seguridad,4,4,0
28,PROLIFIC_604dedd2805fe682c5bc51c0,Implementada,Vehículo eléctrico,FINANCIAL,Seguridad financiera,5,5,0
29,PROLIFIC_604dedd2805fe682c5bc51c0,Implementada,Vehículo eléctrico,AUTONOMY,Autonomía,4,4,0
30,PROLIFIC_604dedd2805fe682c5bc51c0,Implementada,Vehículo eléctrico,PHYSIOLOGICAL,Materialidad,2,2,0
31,PROLIFIC_5d1f54b95538e6001a843293,Implementada,Electrodomésticos eficientes,FINANCIAL,Seguridad financiera,5,5,0
32,PROLIFIC_5d1f54b95538e6001a843293,Implementada,Electrodomésticos eficientes,COMPETENCE,Competencia,5,5,0
33,PROLIFIC_5d1f54b95538e6001a843293,Implementada,Electrodomésticos eficientes,PHYSIOLOGICAL,Materialidad,2,2,0
34,PROLIFIC_69932173fe3deef35c4f7e70,Implementada,Electrodomésticos eficientes,MEANING,Significado,2,0,2
35,PROLIFIC_69edcc3c9f52558843ab7d99,Implementada,Electrodomésticos eficientes,AUTONOMY,Autonomía,4,4,0
36,PROLIFIC_69eca1e06533d42ff1306a24,Implementada,Medidas de microeficiencia,FINANCIAL,Seguridad financiera,5,5,0
37,PROLIFIC_69eca1e06533d42ff1306a24,Implementada,Medidas de microeficiencia,COMPETENCE,Competencia,5,5,0
38,PROLIFIC_69eca1e06533d42ff1306a24,Implementada,Medidas de microeficiencia,AUTONOMY,Autonomía,4,4,0
39,22,Implementada,Agua caliente sanitaria,FINANCIAL,Seguridad financiera,5,5,0
40,22,Implementada,Agua caliente sanitaria,POPULARITY,Popularidad,2,2,0
41,22,Implementada,Agua caliente sanitaria,MEANING,Significado,2,2,0
42,PROLIFIC_69d763affd0080c0bffcd367,Implementada,Renovación de envolvente,FINANCIAL,Seguridad financiera,5,5,0
43,PROLIFIC_69d763affd0080c0bffcd367,Implementada,Renovación de envolvente,PHYSIOLOGICAL,Materialidad,2,2,0
44,PROLIFIC_69d763affd0080c0bffcd367,Implementada,Renovación de envolvente,MEANING,Significado,2,2,0
45,PROLIFIC_6103a3ece71ab061d5624402,Implementada,Electrodomésticos eficientes,SECURITY,Seguridad,4,4,0
46,PROLIFIC_6103a3ece71ab061d5624402,Implementada,Electrodomésticos eficientes,PHYSIOLOGICAL,Materialidad,2,2,0
47,PROLIFIC_6103a3ece71ab061d5624402,Implementada,Electrodomésticos eficientes,MEANING,Significado,2,2,0
48,PROLIFIC_69e213021f9224d147d5908b,Implementada,Vehículo eléctrico,FINANCIAL,Seguridad financiera,5,5,0
49,PROLIFIC_69e213021f9224d147d5908b,Implementada,Vehículo eléctrico,SECURITY,Seguridad,4,4,0
50,PROLIFIC_69e213021f9224d147d5908b,Implementada,Vehículo eléctrico,MEANING,Significado,2,2,0
51,PROLIFIC_672b6f50809e58bcc13a57b4,Implementada,Renovación de envolvente,FINANCIAL,Seguridad financiera,5,5,0
