stage,determinant_id,determinant_label,n_mentions,mean_score,median_score,total_mentions_stage,percentage
Aware / would consider,profits,Economic profit,220,58.077272727272735,62.5,2902,7.580978635423846
Aware / would consider,added_value,Added value,218,62.78440366972476,65,2902,7.512060647829083
Aware / would consider,credit_score_access_to_funding,Access to funding,214,65.53271028037382,70,2902,7.374224672639559
Aware / would consider,risk_profile,Risk profile,212,63.72641509433963,66.5,2902,7.305306685044796
Aware / would consider,frugality,Frugality,211,58.63507109004738,62,2902,7.270847691247416
Aware / would consider,approval,Approval,132,19.333333333333332,16,2902,4.548587181254307
Aware / would consider,own_significance,Personal significance,129,63.201550387596896,70,2902,4.445210199862164
Aware / would consider,commitment,Commitment,108,73.89814814814815,74,2902,3.7215713301171607
Aware / would consider,adherence,Adherence,104,75.3173076923077,75,2902,3.5837353549276365
Aware / would consider,self_satisfaction,Self-satisfaction,104,74.625,75,2902,3.5837353549276365
Aware / would consider,autonomy,Self-sufficiency,104,64.6923076923077,71,2902,3.5837353549276365
Aware / would consider,climate_protection,Climate protection,92,70.21739130434783,74.5,2902,3.1702274293590627
Aware / would consider,legal,Legal compliance,91,76.18681318681318,80,2902,3.135768435561682
Aware / would consider,trust,Trust,89,76.10112359550561,79,2902,3.066850447966919
Aware / would consider,safety,Safety,87,77.05747126436782,80,2902,2.997932460372157
Aware / would consider,technical_fit,Technical fit,77,77.57142857142857,80,2902,2.653342522398346
Aware / would consider,environmental_concerns,Environmental concern,76,75.3157894736842,77,2902,2.6188835286009646
Aware / would consider,knowledge,Knowledge,73,78.56164383561644,80,2902,2.5155065472088216
Aware / would consider,wellbeing,Wellbeing,72,75.65277777777777,76,2902,2.4810475534114405
Aware / would consider,cost_efficiency,Cost efficiency,72,68.20833333333334,70,2902,2.4810475534114405
Aware / would consider,own_competence,Own competence,71,62.4225352112676,70,2902,2.4465885596140593
Aware / would consider,coziness,Comfort,66,67.51515151515152,69.5,2902,2.2742935906271535
Aware / would consider,recognition,Recognition,47,22.25531914893617,23,2902,1.6195727084769125
Aware / would consider,novelty,Novelty,44,49.22727272727273,55.5,2902,1.5161957270847692
Aware / would consider,fun,Fun,40,33.65,32.5,2902,1.3783597518952446
Aware / would consider,peer_pressure,Peer pressure,27,46.74074074074074,52,2902,0.9303928325292902
Aware / would consider,agreement,Agreement,26,72.15384615384616,76,2902,0.8959338387319091
Aware / would consider,rights_and_duties,Rights and duties,25,65.56,71,2902,0.861474844934528
Aware / would consider,support,Social support,25,55.8,62,2902,0.861474844934528
Aware / would consider,socialising,Socialising,25,46.36,50,2902,0.861474844934528
Aware / would consider,trends,Trends,11,40.81818181818182,38,2902,0.3790489317711923
Aware / would consider,authority,Authority,10,36.9,28,2902,0.34458993797381116
Implemented,profits,Economic profit,193,61.683937823834206,66,2718,7.100809418690214
Implemented,added_value,Added value,190,60.59473684210527,62.5,2718,6.990434142752024
Implemented,frugality,Frugality,186,60.75806451612904,66,2718,6.843267108167771
Implemented,credit_score_access_to_funding,Access to funding,185,66.78378378378378,71,2718,6.8064753495217065
Implemented,risk_profile,Risk profile,183,67.15300546448086,70,2718,6.73289183222958
Implemented,approval,Approval,150,20.593333333333334,17,2718,5.518763796909492
Implemented,own_significance,Personal significance,146,65.5068493150685,67,2718,5.371596762325239
Implemented,autonomy,Self-sufficiency,115,66.84347826086956,71,2718,4.2310522442972776
Implemented,commitment,Commitment,114,73.36842105263159,74,2718,4.194260485651214
Implemented,self_satisfaction,Self-satisfaction,113,72.19469026548673,74,2718,4.157468727005151
