stage,technology,n_participants,percentage
Implemented,Envelope renovation,99,28.125
Aware / would consider,Envelope renovation,83,22.865013774104685
Would never use it,Fossil fuel or biomass heating,61,25.416666666666664
Unaware but curious,Balcony solar kits,51,16.19047619047619
Aware / would consider,Electric vehicle,48,13.223140495867769
Would never use it,Elevator,47,19.583333333333332
Implemented,Energy-efficient appliances,44,12.5
Unaware but curious,Heat recovery ventilation,42,13.333333333333334
Aware / would consider,Balcony solar kits,39,10.743801652892563
Unaware but curious,Energy community,39,12.380952380952381
Implemented,Electricity tariff change,37,10.511363636363637
Unaware but curious,Energy storage systems,36,11.428571428571429
Unaware but curious,Heat pump,35,11.11111111111111
Aware / would consider,Energy community,32,8.81542699724518
Aware / would consider,Smart home systems,29,7.988980716253444
Implemented,Energy community,28,7.954545454545454
Implemented,Micro-efficiency measures,28,7.954545454545454
Unaware but curious,Envelope renovation,27,8.571428571428571
Would never use it,Smart home systems,27,11.25
Aware / would consider,Energy-efficient appliances,26,7.162534435261708
Aware / would consider,Energy storage systems,24,6.6115702479338845
Would never use it,Balcony solar kits,24,10
Implemented,Smart home systems,21,5.965909090909091
Aware / would consider,Heat pump,20,5.5096418732782375
Implemented,Heat pump,18,5.113636363636364
Aware / would consider,Cooling system,17,4.683195592286501
Implemented,Cooling system,17,4.829545454545454
Implemented,Domestic hot water system,17,4.829545454545454
Would never use it,Electric vehicle,17,7.083333333333333
Aware / would consider,Electricity tariff change,16,4.40771349862259
Unaware but curious,Smart home systems,16,5.079365079365079
Would never use it,Cooling system,16,6.666666666666667
Implemented,Electric vehicle,14,3.977272727272727
Unaware but curious,Fossil fuel or biomass heating,14,4.444444444444445
Would never use it,Envelope renovation,14,5.833333333333333
Unaware but curious,Electric vehicle,13,4.1269841269841265
Implemented,Fossil fuel or biomass heating,11,3.125
Unaware but curious,Cooling system,11,3.492063492063492
Unaware but curious,Energy-efficient appliances,11,3.492063492063492
Would never use it,Heat pump,10,4.166666666666666
Aware / would consider,Elevator,9,2.479338842975207
Would never use it,Energy community,9,3.75
Aware / would consider,Micro-efficiency measures,8,2.203856749311295
Unaware but curious,Micro-efficiency measures,8,2.5396825396825395
Aware / would consider,Heat recovery ventilation,7,1.9283746556473829
Implemented,Balcony solar kits,7,1.9886363636363635
Implemented,Elevator,6,1.7045454545454544
Would never use it,Energy storage systems,6,2.5
Unaware but curious,Electricity tariff change,5,1.5873015873015872
Implemented,Heat recovery ventilation,4,1.1363636363636365
Unaware but curious,Domestic hot water system,4,1.2698412698412698
Aware / would consider,Domestic hot water system,3,0.8264462809917356
Unaware but curious,Elevator,3,0.9523809523809524
Would never use it,Domestic hot water system,3,1.25
Would never use it,Heat recovery ventilation,3,1.25
Aware / would consider,Fossil fuel or biomass heating,2,0.5509641873278237
Would never use it,Micro-efficiency measures,2,0.8333333333333334
Implemented,Energy storage systems,1,0.2840909090909091
Would never use it,Electricity tariff change,1,0.4166666666666667
