stage_dimension_id,participant_id,stage,technology,dimension_key,dimension,added_value,adherence,agreement,approval,authority,autonomy,climate_protection,commitment,cost_efficiency,coziness,credit_score_access_to_funding,environmental_concerns,frugality,fun,knowledge,legal,novelty,own_competence,own_significance,peer_pressure,profits,recognition,rights_and_duties,risk_profile,safety,self_satisfaction,socialising,support,technical_fit,trends,trust,wellbeing
370,179,Implemented,Envelope renovation,FINANCIAL,Financial security,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,40,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
371,179,Implemented,Envelope renovation,MEANING,Meaning,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,179,Unaware but curious,Energy storage systems,MEANING,Meaning,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,179,Unaware but curious,Energy storage systems,POPULARITY,Popularity,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA
1960,179,Unaware but curious,Energy storage systems,RELATEDNESS,Relatedness,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,75,NA,NA,NA,60,50,NA,NA,NA,NA
1199,180,Aware / would consider,Energy-efficient appliances,MEANING,Meaning,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1198,180,Aware / would consider,Energy-efficient appliances,SECURITY,Security,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA
373,180,Implemented,Electricity tariff change,MEANING,Meaning,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,180,Implemented,Electricity tariff change,STIMULATION,Stimulation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1201,181,Aware / would consider,Energy storage systems,AUTONOMY,Autonomy,NA,77,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA
1200,181,Aware / would consider,Energy storage systems,SECURITY,Security,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,77,NA
375,181,Implemented,Heat pump,COMPETENCE,Competence,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,66,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA
374,181,Implemented,Heat pump,FINANCIAL,Financial security,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,33,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,181,Implemented,Heat pump,MEANING,Meaning,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,181,Unaware but curious,Energy community,AUTONOMY,Autonomy,NA,77,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA
1964,181,Unaware but curious,Energy community,COMPETENCE,Competence,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,66,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA
1963,181,Unaware but curious,Energy community,SECURITY,Security,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,77,NA
1202,182,Aware / would consider,Heat pump,FINANCIAL,Financial security,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA
