stage,technology,n_participants,percentage
Implementada,Renovación de envolvente,99,28.125
La conoce / la consideraría,Renovación de envolvente,83,22.865013774104685
Nunca la usaría,Calefacción fósil o biomasa,61,25.416666666666664
"No la conoce, pero le genera curiosidad",Kits solares de balcón,51,16.19047619047619
La conoce / la consideraría,Vehículo eléctrico,48,13.223140495867769
Nunca la usaría,Ascensor,47,19.583333333333332
Implementada,Electrodomésticos eficientes,44,12.5
"No la conoce, pero le genera curiosidad",Ventilación con recuperador,42,13.333333333333334
La conoce / la consideraría,Kits solares de balcón,39,10.743801652892563
"No la conoce, pero le genera curiosidad",Comunidad energética,39,12.380952380952381
Implementada,Cambio de tarifa eléctrica,37,10.511363636363637
"No la conoce, pero le genera curiosidad",Almacenamiento energético,36,11.428571428571429
"No la conoce, pero le genera curiosidad",Bomba de calor,35,11.11111111111111
La conoce / la consideraría,Comunidad energética,32,8.81542699724518
La conoce / la consideraría,Sistemas inteligentes del hogar,29,7.988980716253444
Implementada,Comunidad energética,28,7.954545454545454
Implementada,Medidas de microeficiencia,28,7.954545454545454
"No la conoce, pero le genera curiosidad",Renovación de envolvente,27,8.571428571428571
Nunca la usaría,Sistemas inteligentes del hogar,27,11.25
La conoce / la consideraría,Electrodomésticos eficientes,26,7.162534435261708
La conoce / la consideraría,Almacenamiento energético,24,6.6115702479338845
Nunca la usaría,Kits solares de balcón,24,10
Implementada,Sistemas inteligentes del hogar,21,5.965909090909091
La conoce / la consideraría,Bomba de calor,20,5.5096418732782375
Implementada,Bomba de calor,18,5.113636363636364
Implementada,Agua caliente sanitaria,17,4.829545454545454
Implementada,Sistema de refrigeración,17,4.829545454545454
La conoce / la consideraría,Sistema de refrigeración,17,4.683195592286501
Nunca la usaría,Vehículo eléctrico,17,7.083333333333333
La conoce / la consideraría,Cambio de tarifa eléctrica,16,4.40771349862259
"No la conoce, pero le genera curiosidad",Sistemas inteligentes del hogar,16,5.079365079365079
Nunca la usaría,Sistema de refrigeración,16,6.666666666666667
Implementada,Vehículo eléctrico,14,3.977272727272727
"No la conoce, pero le genera curiosidad",Calefacción fósil o biomasa,14,4.444444444444445
Nunca la usaría,Renovación de envolvente,14,5.833333333333333
"No la conoce, pero le genera curiosidad",Vehículo eléctrico,13,4.1269841269841265
Implementada,Calefacción fósil o biomasa,11,3.125
"No la conoce, pero le genera curiosidad",Electrodomésticos eficientes,11,3.492063492063492
"No la conoce, pero le genera curiosidad",Sistema de refrigeración,11,3.492063492063492
Nunca la usaría,Bomba de calor,10,4.166666666666666
La conoce / la consideraría,Ascensor,9,2.479338842975207
Nunca la usaría,Comunidad energética,9,3.75
La conoce / la consideraría,Medidas de microeficiencia,8,2.203856749311295
"No la conoce, pero le genera curiosidad",Medidas de microeficiencia,8,2.5396825396825395
Implementada,Kits solares de balcón,7,1.9886363636363635
La conoce / la consideraría,Ventilación con recuperador,7,1.9283746556473829
Implementada,Ascensor,6,1.7045454545454544
Nunca la usaría,Almacenamiento energético,6,2.5
"No la conoce, pero le genera curiosidad",Cambio de tarifa eléctrica,5,1.5873015873015872
Implementada,Ventilación con recuperador,4,1.1363636363636365
"No la conoce, pero le genera curiosidad",Agua caliente sanitaria,4,1.2698412698412698
La conoce / la consideraría,Agua caliente sanitaria,3,0.8264462809917356
"No la conoce, pero le genera curiosidad",Ascensor,3,0.9523809523809524
Nunca la usaría,Agua caliente sanitaria,3,1.25
Nunca la usaría,Ventilación con recuperador,3,1.25
La conoce / la consideraría,Calefacción fósil o biomasa,2,0.5509641873278237
Nunca la usaría,Medidas de microeficiencia,2,0.8333333333333334
Implementada,Almacenamiento energético,1,0.2840909090909091
Nunca la usaría,Cambio de tarifa eléctrica,1,0.4166666666666667
