dataset_source,variable,value,n,prop
diego,age_group_model,25_34,650,0.34228541337546076
diego,age_group_model,18_24,626,0.32964718272775145
diego,age_group_model,45_54,556,0.2927856766719326
diego,age_group_model,65_plus,67,0.03528172722485519
diego,country_birth_model,NA,1899,1
diego,country_model_grouped,IT,499,0.26276987888362296
diego,country_model_grouped,DE,474,0.24960505529225907
diego,country_model_grouped,ES,373,0.196419167983149
diego,country_model_grouped,NL,276,0.14533965244865718
diego,country_model_grouped,GR,189,0.0995260663507109
diego,country_model_grouped,BE,86,0.04528699315429173
diego,country_model_grouped,OTHER_COUNTRIES,2,0.00105318588730911
diego,education_model,high,1307,0.6882569773565034
diego,education_model,medium,576,0.3033175355450237
diego,education_model,other,16,0.00842548709847288
diego,employment_model,employed,1079,0.5681937862032649
diego,employment_model,student,426,0.22432859399684044
diego,employment_model,self_employed,205,0.10795155344918378
diego,employment_model,unemployed,132,0.06951026856240126
diego,employment_model,retired,32,0.01685097419694576
diego,employment_model,other,25,0.013164823591363875
diego,gender_model,male,1002,0.5276461295418642
diego,gender_model,female,855,0.45023696682464454
diego,gender_model,other,39,0.020537124802527645
diego,gender_model,unknown,3,0.001579778830963665
diego,income_model,medium,814,0.4286466561348078
diego,income_model,low,543,0.2859399684044234
diego,income_model,high,407,0.2143233280674039
diego,income_model,unknown,135,0.07109004739336493
diego,language_model,unknown,1899,1
diego,nationality_model,unknown,1899,1
diego,political_block_model,unknown,1899,1
diego,self_classification_model,unknown,1899,1
diego,student_status_model,unknown,1899,1
diego,vote_status_declared,unknown,1899,1
rv,age_group_model,25_34,392,0.31895850284784377
rv,age_group_model,35_44,216,0.1757526444263629
rv,age_group_model,unknown,215,0.17493897477624085
rv,age_group_model,18_24,149,0.12123677786818551
rv,age_group_model,45_54,123,0.1000813669650122
rv,age_group_model,55_64,91,0.07404393816110659
rv,age_group_model,65_plus,43,0.03498779495524817
rv,country_birth_model,NA,1229,1
rv,country_model_grouped,ES,237,0.19283970707892595
rv,country_model_grouped,GB,182,0.14808787632221318
rv,country_model_grouped,FR,121,0.0984540276647681
rv,country_model_grouped,DE,120,0.09764035801464606
rv,country_model_grouped,UNKNOWN,116,0.09438567941415785
rv,country_model_grouped,IT,108,0.08787632221318145
rv,country_model_grouped,PL,75,0.061025223759153785
rv,country_model_grouped,RO,34,0.027664768104149716
rv,country_model_grouped,PT,29,0.023596419853539462
rv,country_model_grouped,NL,28,0.022782750203417412
rv,country_model_grouped,OTHER_COUNTRIES,22,0.01790073230268511
rv,country_model_grouped,BE,20,0.01627339300244101
rv,country_model_grouped,GR,17,0.013832384052074858
rv,country_model_grouped,CZ,16,0.013018714401952807
rv,country_model_grouped,HU,15,0.012205044751830757
rv,country_model_grouped,SE,15,0.012205044751830757
rv,country_model_grouped,CH,12,0.009764035801464606
rv,country_model_grouped,IE,12,0.009764035801464606
rv,country_model_grouped,AT,11,0.008950366151342554
rv,country_model_grouped,FI,11,0.008950366151342554
rv,country_model_grouped,SK,10,0.008136696501220505
rv,country_model_grouped,DK,9,0.007323026851098454
rv,country_model_grouped,SI,5,0.0040683482506102524
rv,country_model_grouped,LV,4,0.0032546786004882017
rv,education_model,high,607,0.49389747762408465
rv,education_model,unknown,290,0.23596419853539463
rv,education_model,medium,256,0.2082994304312449
rv,education_model,other,39,0.03173311635475997
rv,education_model,conflict,29,0.023596419853539462
rv,education_model,low,8,0.006509357200976403
rv,employment_model,employed,499,0.40602115541090317
rv,employment_model,unknown,328,0.26688364524003255
rv,employment_model,student,133,0.10821806346623271
rv,employment_model,self_employed,129,0.10496338486574451
rv,employment_model,unemployed,67,0.05451586655817738
rv,employment_model,retired,57,0.046379170056956874
rv,employment_model,other,16,0.013018714401952807
rv,gender_model,male,567,0.4613506916192026
rv,gender_model,female,531,0.4320585842148088
rv,gender_model,unknown,123,0.1000813669650122
rv,gender_model,other,8,0.006509357200976403
rv,income_model,unknown,1229,1
rv,language_model,unknown,1073,0.8730675345809601
rv,language_model,EN,125,0.10170870626525631
rv,language_model,ES,23,0.01871440195280716
rv,language_model,EU,7,0.005695687550854353
rv,language_model,NL,1,8.136696501220504e-4
rv,nationality_model,unknown,1229,1
rv,political_block_model,left,290,0.23596419853539463
rv,political_block_model,unknown,276,0.22457282343368593
rv,political_block_model,extreme_left,273,0.22213181448331978
rv,political_block_model,centre,256,0.2082994304312449
rv,political_block_model,right,101,0.0821806346623271
rv,political_block_model,extreme_right,33,0.026851098454027666
rv,self_classification_model,careful,324,0.2636289666395443
rv,self_classification_model,homo_economicus,280,0.22782750203417412
rv,self_classification_model,activist,268,0.21806346623270953
rv,self_classification_model,fearful,168,0.13669650122050447
rv,self_classification_model,unknown,143,0.11635475996745322
rv,self_classification_model,influencer,46,0.03742880390561432
rv,student_status_model,unknown,1229,1
rv,vote_status_declared,voter,484,0.3938161106590724
rv,vote_status_declared,uncertain,475,0.386493083807974
rv,vote_status_declared,abstainer,142,0.11554109031733116
rv,vote_status_declared,unknown,122,0.09926769731489016
rv,vote_status_declared,conflict,6,0.004882017900732303
why,age_group_model,25_34,691,0.42444717444717445
why,age_group_model,18_24,432,0.26535626535626533
why,age_group_model,35_44,199,0.12223587223587223
why,age_group_model,unknown,167,0.10257985257985258
why,age_group_model,45_54,98,0.060196560196560195
why,age_group_model,55_64,32,0.019656019656019656
why,age_group_model,65_plus,9,0.005528255528255528
why,country_birth_model,MX,389,0.23894348894348894
why,country_birth_model,NA,179,0.10995085995085994
why,country_birth_model,IT,156,0.09582309582309582
why,country_birth_model,DE,150,0.09213759213759214
why,country_birth_model,PL,82,0.05036855036855037
why,country_birth_model,ES,73,0.04484029484029484
why,country_birth_model,FR,72,0.044226044226044224
why,country_birth_model,CL,65,0.039926289926289923
why,country_birth_model,HU,60,0.036855036855036855
why,country_birth_model,NL,59,0.03624078624078624
why,country_birth_model,GR,30,0.018427518427518427
why,country_birth_model,GB,26,0.01597051597051597
why,country_birth_model,BE,23,0.014127764127764128
why,country_birth_model,US,23,0.014127764127764128
why,country_birth_model,PT,22,0.013513513513513514
why,country_birth_model,IE,18,0.011056511056511056
why,country_birth_model,IN,15,0.009213759213759214
why,country_birth_model,AT,13,0.007985257985257985
why,country_birth_model,LV,13,0.007985257985257985
why,country_birth_model,SI,13,0.007985257985257985
why,country_birth_model,CZ,12,0.007371007371007371
why,country_birth_model,TR,11,0.006756756756756757
why,country_birth_model,RU,10,0.006142506142506142
why,country_birth_model,VE,10,0.006142506142506142
why,country_birth_model,FI,9,0.005528255528255528
why,country_birth_model,RO,7,0.0042997542997543
why,country_birth_model,SE,7,0.0042997542997543
why,country_birth_model,BR,5,0.003071253071253071
why,country_birth_model,EE,5,0.003071253071253071
why,country_birth_model,UA,5,0.003071253071253071
why,country_birth_model,CA,4,0.002457002457002457
