country_code,is_europe,country_source,n_rows
MX,FALSE,prolific,402
DE,TRUE,prolific,206
IT,TRUE,prolific,160
MX,FALSE,survey,142
FR,TRUE,prolific,92
NL,TRUE,prolific,92
ES,TRUE,prolific,87
PL,TRUE,prolific,82
CL,FALSE,prolific,71
NA,NA,NA,71
HU,TRUE,prolific,69
BE,TRUE,prolific,32
GR,TRUE,prolific,32
IE,TRUE,prolific,32
PT,TRUE,prolific,19
AT,TRUE,prolific,17
CO,FALSE,survey,16
CZ,TRUE,prolific,16
LV,TRUE,prolific,14
FI,TRUE,prolific,12
SI,TRUE,prolific,12
SE,TRUE,prolific,9
CL,FALSE,survey,7
EE,TRUE,prolific,3
DK,TRUE,prolific,2
AO,FALSE,survey,1
DE,TRUE,survey,1
ES,TRUE,survey,1
MR,FALSE,survey,1
