global_participant_key,dataset_source,source_survey,source_file,source_row,participant_key,age_raw,gender_raw,country_raw,country_code,diego_scale_assumption,diego_noise_added,diego_noise_sd,diego__q1,diego__q2,diego__q3,diego__q4,diego__q5,diego__q6,diego__q7,diego__q21_1,diego__q21_2,diego__q21_3,diego__q21_4,diego__q21_5,diego__q21_6,diego__q21_7,diego__q21_8,diego__q22_1,diego__q22_2,diego__q22_3,diego__q22_4,diego__q22_5,diego__q22_6,diego__q22_7,diego__q22_8,diego__q23_1,diego__q23_2,diego__q23_3,diego__q23_4,diego__q23_5,diego__q23_6,diego__q23_7,diego__q23_8,diego__q24_1,diego__q24_2,diego__q24_3,diego__q24_4,diego__q24_5,diego__q24_6,diego__q24_7,diego__q24_8,diego_det_01_0_100,diego_det_02_0_100,diego_det_03_0_100,diego_det_04_0_100,diego_det_05_0_100,diego_det_06_0_100,diego_det_07_0_100,diego_det_08_0_100,diego_det_09_0_100,diego_det_10_0_100,diego_det_11_0_100,diego_det_12_0_100,diego_det_13_0_100,diego_det_14_0_100,diego_det_15_0_100,diego_det_16_0_100,diego_det_17_0_100,diego_det_18_0_100,diego_det_19_0_100,diego_det_20_0_100,diego_det_21_0_100,diego_det_22_0_100,diego_det_23_0_100,diego_det_24_0_100,diego_det_25_0_100,diego_det_26_0_100,diego_det_27_0_100,diego_det_28_0_100,diego_det_29_0_100,diego_det_30_0_100,diego_det_31_0_100,diego_det_32_0_100
diego__diego_1,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,1,diego_1,40-59,Male,Italy,IT,1_5,FALSE,NA,40-59,Male,Italy,Undergraduate (Bachelor's) degree,Paid employee (private sector),1,"20,000 - 49,999 euros per year",2,2,3,4,1,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2,2,2,4,4,3,2,4,2,2,4,25,25,50,75,0,50,75,75,75,75,75,50,75,75,75,75,75,75,75,75,75,25,25,25,75,75,50,25,75,25,25,75
diego__diego_2,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,2,diego_2,40-59,Male,Italy,IT,1_5,FALSE,NA,40-59,Male,Italy,Secondary or high school diploma,Paid employee (private sector),2,"20,000 - 49,999 euros per year",1,1,2,4,2,5,5,5,5,4,4,4,4,4,5,5,5,4,4,4,5,5,4,3,4,5,3,2,2,2,1,4,0,0,25,75,25,100,100,100,100,75,75,75,75,75,100,100,100,75,75,75,100,100,75,50,75,100,50,25,25,25,0,75
diego__diego_3,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,3,diego_3,18-25,Female,Spain,ES,1_5,FALSE,NA,18-25,Female,Spain,Master's degree,Student,None,I prefer not to say,3,2,4,4,2,4,4,3,3,5,4,4,5,3,4,4,4,4,4,3,4,1,3,3,3,4,5,4,4,3,3,4,50,25,75,75,25,75,75,50,50,100,75,75,100,50,75,75,75,75,75,50,75,0,50,50,50,75,100,75,75,50,50,75
diego__diego_4,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,4,diego_4,40-59,Male,Spain,ES,1_5,FALSE,NA,40-59,Male,Spain,Undergraduate (Bachelor's) degree,Paid employee (private sector),1,"20,000 - 49,999 euros per year",3,3,3,4,3,3,3,3,3,3,5,3,3,4,3,3,4,4,3,3,3,3,4,3,3,3,3,3,2,3,3,3,50,50,50,75,50,50,50,50,50,50,100,50,50,75,50,50,75,75,50,50,50,50,75,50,50,50,50,50,25,50,50,50
diego__diego_5,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,5,diego_5,40-59,Male,Italy,IT,1_5,FALSE,NA,40-59,Male,Italy,Secondary or high school diploma,Paid employee (private sector),1,"20,000 - 49,999 euros per year",2,3,3,3,3,3,3,3,2,2,2,3,3,2,3,3,4,3,3,2,3,3,3,3,2,4,4,2,3,3,2,3,25,50,50,50,50,50,50,50,25,25,25,50,50,25,50,50,75,50,50,25,50,50,50,50,25,75,75,25,50,50,25,50
diego__diego_6,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,6,diego_6,18-25,Male,Italy,IT,1_5,FALSE,NA,18-25,Male,Italy,Secondary or high school diploma,Student,None,"20,000 - 49,999 euros per year",4,4,2,3,4,5,5,4,4,5,4,5,4,4,2,2,5,1,1,1,4,1,1,1,2,4,3,4,2,3,2,2,75,75,25,50,75,100,100,75,75,100,75,100,75,75,25,25,100,0,0,0,75,0,0,0,25,75,50,75,25,50,25,25
diego__diego_7,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,7,diego_7,26-39,Male,Greece,GR,1_5,FALSE,NA,26-39,Male,Greece,Undergraduate (Bachelor's) degree,Paid employee (public sector),1,"20,000 - 49,999 euros per year",1,2,3,4,1,3,3,4,4,4,5,4,4,4,4,5,4,4,4,5,3,4,5,4,4,4,5,4,4,5,5,3,0,25,50,75,0,50,50,75,75,75,100,75,75,75,75,100,75,75,75,100,50,75,100,75,75,75,100,75,75,100,100,50
diego__diego_8,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,8,diego_8,40-59,Male,Greece,GR,1_5,FALSE,NA,40-59,Male,Greece,PhD,Paid employee (public sector),3,"20,000 - 49,999 euros per year",4,4,4,3,3,2,3,3,5,4,4,4,4,4,4,4,4,4,5,3,4,4,4,3,3,5,4,4,4,4,4,3,75,75,75,50,50,25,50,50,100,75,75,75,75,75,75,75,75,75,100,50,75,75,75,50,50,100,75,75,75,75,75,50
diego__diego_9,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,9,diego_9,40-59,Male,Greece,GR,1_5,FALSE,NA,40-59,Male,Greece,Undergraduate (Bachelor's) degree,Self-employed,1,"20,000 - 49,999 euros per year",3,4,4,4,2,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,2,2,2,2,5,4,2,2,2,2,4,50,75,75,75,25,75,75,75,50,75,75,75,50,75,75,75,75,75,75,50,75,25,25,25,25,100,75,25,25,25,25,75
diego__diego_10,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,10,diego_10,40-59,Female,Italy,IT,1_5,FALSE,NA,40-59,Female,Italy,Master's degree,Not working (other),2,"20,000 - 49,999 euros per year",2,2,3,2,3,4,4,4,2,3,4,2,2,4,3,4,3,2,2,2,4,2,2,3,3,4,4,1,1,3,1,4,25,25,50,25,50,75,75,75,25,50,75,25,25,75,50,75,50,25,25,25,75,25,25,50,50,75,75,0,0,50,0,75
