integrated_row_id,subsample,comparison_region,subsample_row_id,global_participant_key,participant_key,dataset_source,n_source_rows,n_distinct_surveys,source_survey,source_file,prolific_id,identification_code,reference_year_model,year_birth_raw_clean,age_raw_clean,gender_raw_clean,country_raw_clean,country_code_raw_clean,country_birth_raw_clean,nationality_raw_clean,ethnicity_raw_clean,language_raw_clean,student_status_raw_clean,city_size_raw_clean,climate_zone_raw_clean,household_type_raw_clean,tenure_raw_clean,education_raw_clean,employment_raw_clean,num_children_raw_clean,health_raw_clean,income_raw_clean,travel_distance_raw_clean,travel_time_raw_clean,work_from_home_raw_clean,travel_role_raw_clean,vote_raw_clean,political_left_right_raw_clean,self_classification_raw_clean,energy_efficiency_goal_raw_clean,climate_awareness_raw_clean,energy_transition_awareness_raw_clean,renovation_role_raw_clean,household_decision_raw_clean,year_birth_model,age_model,age_model_is_approximate,age_group_model,gender_model,education_model,education_tfm_model,employment_model,student_status_model,city_size_model,tenure_model,tenure_tfm_model,health_condition_model,work_from_home_model,income_model,num_children_model,country_model,country_model_grouped,country_region_model,country_birth_model,nationality_model,ethnicity_model,language_model,climate_zone_model,household_type_model,travel_role_model,renovation_role_model,household_decision_model,vote_status_declared,voted_observed,political_left_right_model,political_block_model,self_classification_model,energy_efficiency_goal_0_100,climate_awareness_0_100,energy_transition_awareness_0_100,travel_distance_model,travel_time_model,year_birth_conflict,age_conflict,gender_conflict,education_conflict,employment_conflict,student_status_conflict,country_conflict,country_birth_conflict,nationality_conflict,ethnicity_conflict,income_conflict,vote_conflict
1,RENOVISOR,EUROPE,1,rv__0262,0262,rv,3,3,concerns2;energy_crisis;poverty,Content_Export_RV-Concerns_2__166.xlsx;Content_Export_RV-Energy_Crisis_157.xlsx;Content_Export_RV-Poverty__96.xlsx,NA,0262,2026,NA,NA,NA,NA,NA,NA,NA,NA,ES,NA,NA,NA,NA,NA,Non-belonging,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Oppose,NA,NA,NA,Quite concerned | Control: Dependence on foreign suppliers or large corporations.,NA,NA,NA,NA,FALSE,unknown,unknown,other,other,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,NA,NA,UNKNOWN,unknown,NA,unknown,unknown,ES,unknown,unknown,unknown,unknown,unknown,unknown,NA,NA,unknown,unknown,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,RENOVISOR,EUROPE,2,rv__0eb5da055dd34983915d,0eb5da055dd34983915d,rv,1,1,poverty,Content_Export_RV-Poverty__96.xlsx,0eb5da055dd34983915d,NA,2026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,NA,NA,UNKNOWN,unknown,NA,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,NA,NA,unknown,unknown,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,RENOVISOR,EUROPE,3,rv__20140,20140,rv,3,3,concerns2;energy_crisis;poverty,Content_Export_RV-Concerns_2__166.xlsx;Content_Export_RV-Energy_Crisis_157.xlsx;Content_Export_RV-Poverty__96.xlsx,NA,20140,2026,NA,NA,NA,NA,NA,NA,NA,NA,ES,NA,NA,NA,NA,NA,Non-belonging,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Oppose,NA,NA,NA,"Quite concerned | Ethics: Political or ethical concerns (e.g., unfairness).",NA,NA,NA,NA,FALSE,unknown,unknown,other,other,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,NA,NA,UNKNOWN,unknown,NA,unknown,unknown,ES,unknown,unknown,unknown,unknown,unknown,unknown,NA,NA,unknown,unknown,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,RENOVISOR,EUROPE,4,rv__33669,33669,rv,1,1,poverty,Content_Export_RV-Poverty__96.xlsx,NA,33669,2026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,unknown,unknown,other,other,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,NA,NA,UNKNOWN,unknown,NA,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,NA,NA,unknown,unknown,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,RENOVISOR,EUROPE,5,rv__55e04d4c3b268b00110294fe,55e04d4c3b268b00110294fe,rv,1,1,decision,Content_Export_RV-Decision_956.xlsx,55e04d4c3b268b00110294fe,NA,2026,1980,NA,Male.,DK – Denmark,DK,NA,NA,NA,NA,NA,Global city: More than 1 000 000 inhabitants.,4: Temperate Climates - Maritime.,Ageing family: Household composed of two older adults.,One or more members of the household own the home with an outstanding mortgage.,"Vocational training (e.g. technical training, professional certificates).",Self-employed.,NA,Νone of the above.,NA,2,10,"Yes, most of the time.",Solo Driver.,I usually switch my vote depending on the candidate/program or the type of election.,20,"I consider myself an early adopter and enjoy following the latest trends, even if this involves some risks or impacts on the environment.",65,95,55,"My main goal is to lower my energy bills and stay warm, but I need clear information on grants or low-cost fixes because I don't have extra money to invest right now.",One person (usually me) does the research and then discusses it with the others.,1980,46,TRUE,40_59,male,medium,non_university,self_employed,unknown,rural_small,owner_with_mortgage,Homeowner with mortgage,unknown,yes,unknown,NA,DK,DK,northern_europe,NA,unknown,unknown,unknown,4 temperate climates maritime,ageing family household composed of two older adults,solo driver,my main goal is to lower my energy bills and stay warm but i need clear information on grants or low cost fixes because i don t have extra money to invest right now,one person usually me does the research and then discusses it with the others,uncertain,NA,20,left,activist,65,95,55,2,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,RENOVISOR,EUROPE,6,rv__56ab6fd869b24700065cbdbd,56ab6fd869b24700065cbdbd,rv,1,1,decision,Content_Export_RV-Decision_956.xlsx,56ab6fd869b24700065cbdbd,NA,2026,1968,NA,Male.,GB – United Kingdom,GB,NA,NA,NA,NA,NA,Town: 10 000 to 50 000 inhabitants.,4: Temperate Climates - Maritime.,Dual Income No Kids: Household composed of two adults without children.,One or more members of the household own the home outright (no mortgage).,"Secondary Education (e.g. high school, secondary school).",Self-employed.,NA,Νone of the above.,NA,5,75,"Yes, most of the time.",Non-Driver Companion.,I usually switch my vote depending on the candidate/program or the type of election.,50,I am more likely to invest if it helps reduce my environmental impact.,74,94,60,"I’ve already done the basic upgrades, and now I’m looking for advanced ways to reach peak energy performance and future-proof my home.",All household members participate throughout the entire process.,1968,58,TRUE,40_59,male,medium,non_university,self_employed,unknown,rural_small,owner_without_mortgage,Homeowner without mortgage,unknown,yes,unknown,NA,GB,GB,northern_europe,NA,unknown,unknown,unknown,4 temperate climates maritime,dual income no kids household composed of two adults without children,non driver companion,i ve already done the basic upgrades and now i m looking for advanced ways to reach peak energy performance and future proof my home,all household members participate throughout the entire process,uncertain,NA,50,centre,activist,74,94,60,5,75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,RENOVISOR,EUROPE,7,rv__56abcb46f209e0000adab961,56abcb46f209e0000adab961,rv,1,1,energy_crisis,Content_Export_RV-Energy_Crisis_157.xlsx,56abcb46f209e0000adab961,NA,2026,1960,NA,Female.,GB – United Kingdom,GB,NA,NA,NA,EN,NA,Town: 10 000 to 50 000 inhabitants.,4: Temperate Climates - Maritime.,Uni-personal household: Household composed of one individual.,One or more members of the household own the home outright (no mortgage).,NA,NA,NA,Νone of the above.,NA,8,20,"Yes, most of the time.",Solo Driver.,I usually switch my vote depending on the candidate/program or the type of election.,20 | Neutral / Undecided,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,50,100,50,NA,NA,1960,66,TRUE,60_plus,female,unknown,unknown,unknown,unknown,rural_small,owner_without_mortgage,Homeowner without mortgage,unknown,yes,unknown,NA,GB,GB,northern_europe,NA,unknown,unknown,EN,4 temperate climates maritime,uni personal household household composed of one individual,solo driver,unknown,unknown,uncertain,NA,NA,unknown,careful,50,100,50,8,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,RENOVISOR,EUROPE,8,rv__56b0eec66399f90011d9cf67,56b0eec66399f90011d9cf67,rv,1,1,decision,Content_Export_RV-Decision_956.xlsx,56b0eec66399f90011d9cf67,NA,2026,1993,NA,Female.,CZ – Czechia,CZ,NA,NA,NA,NA,NA,Small town: 1 000 to 10 000 inhabitants.,5: Temperate Climates - Transitional.,Dual Income No Kids: Household composed of two adults without children.,We rent the home (private or social/subsidised rental).,"University degree or above (e.g. bachelor’s, master’s, PhD).",Self-employed.,NA,Νone of the above.,NA,1,30,"Yes, most of the time.",Non-Driver Companion.,I usually vote for national parties.,50,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,60,100,10,"I want a healthier, more comfortable home with lower bills, but since I rent, I need help knowing what I can actually do and how to get my landlord on board.",All household members participate throughout the entire process.,1993,33,TRUE,18_39,female,high,university,self_employed,unknown,rural_small,rent,Non-homeowner,unknown,yes,unknown,NA,CZ,CZ,eastern_europe,NA,unknown,unknown,unknown,5 temperate climates transitional,dual income no kids household composed of two adults without children,non driver companion,i want a healthier more comfortable home with lower bills but since i rent i need help knowing what i can actually do and how to get my landlord on board,all household members participate throughout the entire process,voter,1,50,centre,careful,60,100,10,1,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,RENOVISOR,EUROPE,9,rv__577a0a7aadbc7500015d2479,577a0a7aadbc7500015d2479,rv,1,1,energy_crisis,Content_Export_RV-Energy_Crisis_157.xlsx,577a0a7aadbc7500015d2479,NA,2026,1979,NA,Female.,GB – United Kingdom,GB,NA,NA,NA,EN,NA,Medium city: 250 000 to 500 000 inhabitants.,4: Temperate Climates - Maritime.,Uni-personal household: Household composed of one individual.,We rent the home (private or social/subsidized rental).,NA,NA,NA,Self-care (such as washing or dressing).;Walking or climbing steps.,NA,0,0,"Yes, sometimes on an irregular schedule.",Dependent Traveler.,I usually vote for national parties.,39 | Neutral / Undecided,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,40,91,2,NA,NA,1979,47,TRUE,40_59,female,unknown,unknown,unknown,unknown,rural_small,rent,Non-homeowner,other,yes,unknown,NA,GB,GB,northern_europe,NA,unknown,unknown,EN,4 temperate climates maritime,uni personal household household composed of one individual,dependent traveler,unknown,unknown,voter,1,NA,unknown,careful,40,91,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,RENOVISOR,EUROPE,10,rv__577d0ad6adbc7500015d2839,577d0ad6adbc7500015d2839,rv,1,1,decision,Content_Export_RV-Decision_956.xlsx,577d0ad6adbc7500015d2839,NA,2026,1992,NA,Other.,IT – Italy,IT,NA,NA,NA,NA,NA,Global city: More than 1 000 000 inhabitants.,2: Subtropical Climates - Intermediate.,Traditional family: Household composed of the parents and and one or two children.,One or more members of the household own the home outright (no mortgage).,"University degree or above (e.g. bachelor’s, master’s, PhD).",Unemployed.,NA,Νone of the above.,NA,12,60,"Yes, most of the time.",Solo Driver.,I usually switch my vote depending on the candidate/program or the type of election.,60,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,60,44,60,"I’ve already done the basic upgrades, and now I’m looking for advanced ways to reach peak energy performance and future-proof my home.",All household members participate throughout the entire process.,1992,34,TRUE,18_39,other,high,university,unemployed,unknown,rural_small,owner_without_mortgage,Homeowner without mortgage,unknown,yes,unknown,NA,IT,IT,southern_europe,NA,unknown,unknown,unknown,2 subtropical climates intermediate,traditional family household composed of the parents and and one or two children,solo driver,i ve already done the basic upgrades and now i m looking for advanced ways to reach peak energy performance and future proof my home,all household members participate throughout the entire process,uncertain,NA,60,centre,careful,60,44,60,12,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
