dataset_source,component,quality,n,prop
diego,quality_attention_quality,not_available_for_source,1899,1
diego,quality_concerns_barriers,not_available_for_source,1899,1
diego,quality_determinants_32,usable_complete,1899,1
diego,quality_energy_crisis,not_available_for_source,1899,1
diego,quality_poverty,not_available_for_source,1899,1
diego,quality_propensity_score_model,missing_binary_vote_outcome,1899,1
diego,quality_propensity_score_predictors,minimal_predictors_available,1874,0.9868351764086362
diego,quality_propensity_score_predictors,partial_predictors,25,0.013164823591363875
diego,quality_sociodemographics,core_complete,1857,0.9778830963665087
diego,quality_sociodemographics,core_partial,42,0.022116903633491312
diego,quality_tariffs_costs_payback,not_available_for_source,1899,1
diego,quality_technology_adoption,not_available_for_source,1899,1
diego,quality_trust_information,component_partial,1899,1
diego,quality_vote_politics,missing_or_not_collected,1899,1
rv,quality_attention_quality,component_partial,1205,0.9804719283970708
rv,quality_attention_quality,missing_component,17,0.013832384052074858
rv,quality_attention_quality,component_complete,7,0.005695687550854353
rv,quality_concerns_barriers,component_partial,1226,0.9975589910496339
rv,quality_concerns_barriers,missing_component,3,0.0024410089503661514
rv,quality_determinants_32,usable_complete,900,0.7323026851098454
rv,quality_determinants_32,no_determinants,274,0.2229454841334418
rv,quality_determinants_32,too_many_missing,54,0.043938161106590726
rv,quality_determinants_32,low_variability,1,8.136696501220504e-4
rv,quality_energy_crisis,component_partial,1176,0.9568755085435313
rv,quality_energy_crisis,missing_component,53,0.043124491456468676
rv,quality_poverty,missing_component,903,0.7347436940602116
rv,quality_poverty,component_partial,326,0.26525630593978844
rv,quality_propensity_score_model,missing_binary_vote_outcome,603,0.4906427990235964
rv,quality_propensity_score_model,model_ready_without_income,413,0.3360455655004068
rv,quality_propensity_score_model,outcome_available_but_predictors_partial,200,0.16273393002441008
rv,quality_propensity_score_model,model_ready_minimal,13,0.010577705451586655
rv,quality_propensity_score_predictors,complete_without_income,762,0.6200162733930025
rv,quality_propensity_score_predictors,partial_predictors,333,0.2709519934906428
rv,quality_propensity_score_predictors,missing_predictors,106,0.08624898291293735
rv,quality_propensity_score_predictors,minimal_predictors_available,28,0.022782750203417412
rv,quality_sociodemographics,core_complete,988,0.8039056143205858
rv,quality_sociodemographics,core_partial,126,0.10252237591537836
rv,quality_sociodemographics,core_missing,106,0.08624898291293735
rv,quality_sociodemographics,core_poor,9,0.007323026851098454
rv,quality_tariffs_costs_payback,component_partial,1226,0.9975589910496339
rv,quality_tariffs_costs_payback,missing_component,3,0.0024410089503661514
rv,quality_technology_adoption,component_partial,1226,0.9975589910496339
rv,quality_technology_adoption,missing_component,3,0.0024410089503661514
rv,quality_trust_information,component_partial,1229,1
rv,quality_vote_politics,vote_and_politics_complete,941,0.7656631407648494
rv,quality_vote_politics,vote_only,160,0.13018714401952808
rv,quality_vote_politics,missing_or_not_collected,116,0.09438567941415785
rv,quality_vote_politics,politics_only,12,0.009764035801464606
why,quality_attention_quality,component_partial,1483,0.9109336609336609
why,quality_attention_quality,missing_component,145,0.08906633906633907
why,quality_concerns_barriers,component_partial,1601,0.9834152334152334
why,quality_concerns_barriers,missing_component,27,0.016584766584766583
why,quality_determinants_32,usable_complete,1582,0.9717444717444718
why,quality_determinants_32,too_many_missing,21,0.012899262899262898
why,quality_determinants_32,no_determinants,20,0.012285012285012284
why,quality_determinants_32,low_variability,5,0.003071253071253071
why,quality_energy_crisis,component_partial,1612,0.9901719901719902
why,quality_energy_crisis,missing_component,16,0.009828009828009828
why,quality_poverty,not_available_for_source,1628,1
why,quality_propensity_score_model,missing_binary_vote_outcome,990,0.6081081081081081
why,quality_propensity_score_model,not_applicable_non_europe,638,0.3918918918918919
why,quality_propensity_score_predictors,minimal_predictors_available,774,0.47542997542997545
why,quality_propensity_score_predictors,not_applicable_non_europe,638,0.3918918918918919
why,quality_propensity_score_predictors,partial_predictors,216,0.13267813267813267
why,quality_sociodemographics,core_complete,1461,0.8974201474201474
why,quality_sociodemographics,core_poor,167,0.10257985257985258
why,quality_tariffs_costs_payback,component_partial,1628,1
why,quality_technology_adoption,component_partial,1626,0.9987714987714987
why,quality_technology_adoption,missing_component,2,0.0012285012285012285
why,quality_trust_information,component_partial,1628,1
why,quality_vote_politics,missing_or_not_collected,1628,1
