phase_prefix,phase_label,source_column,comparison_region,subsample,dataset_source,n_rows,n_valid_raw,prop_valid_raw
phase_implemented_reasons,Reasons that led to implement or contract the selected technology,rv_decision__what_were_the_reasons_that_led_you_to_implement_or_contract_the_selected_technology_or_energy_related_measure_please_select_the_3_most_important_for_you,EUROPE,DIEGO,diego,1899,0,0
phase_implemented_reasons,Reasons that led to implement or contract the selected technology,rv_decision__what_were_the_reasons_that_led_you_to_implement_or_contract_the_selected_technology_or_energy_related_measure_please_select_the_3_most_important_for_you,EUROPE,RENOVISOR,rv,1229,783,0.6371033360455655
phase_implemented_reasons,Reasons that led to implement or contract the selected technology,rv_decision__what_were_the_reasons_that_led_you_to_implement_or_contract_the_selected_technology_or_energy_related_measure_please_select_the_3_most_important_for_you,EUROPE,WHY_EUROPE,why,990,0,0
phase_implemented_reasons,Reasons that led to implement or contract the selected technology,rv_decision__what_were_the_reasons_that_led_you_to_implement_or_contract_the_selected_technology_or_energy_related_measure_please_select_the_3_most_important_for_you,LATAM,WHY_LATAM,why,638,0,0
phase_more_likely_1,What would make respondent more likely to implement or contract this technology - branch 1,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you,EUROPE,DIEGO,diego,1899,0,0
phase_more_likely_1,What would make respondent more likely to implement or contract this technology - branch 1,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you,EUROPE,RENOVISOR,rv,1229,811,0.6598860862489829
phase_more_likely_1,What would make respondent more likely to implement or contract this technology - branch 1,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you,EUROPE,WHY_EUROPE,why,990,0,0
phase_more_likely_1,What would make respondent more likely to implement or contract this technology - branch 1,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you,LATAM,WHY_LATAM,why,638,0,0
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,EUROPE,DIEGO,diego,1899,0,0
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,EUROPE,RENOVISOR,rv,1229,632,0.5142392188771359
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,EUROPE,WHY_EUROPE,why,990,0,0
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,LATAM,WHY_LATAM,why,638,0,0
