phase_prefix,dimension,n_selected,prop_selected_total
phase_implemented_reasons,FINANCIAL,549,0.11543313708999159
phase_implemented_reasons,MEANING,299,0.06286795626576955
phase_implemented_reasons,AUTONOMY,267,0.05613961312026913
phase_implemented_reasons,PHYSIOLOGICAL,229,0.04814970563498738
phase_implemented_reasons,SECURITY,186,0.0391084945332212
phase_implemented_reasons,COMPETENCE,168,0.03532380151387721
phase_implemented_reasons,STIMULATION,89,0.018713204373423043
phase_implemented_reasons,POPULARITY,48,0.010092514718250631
phase_implemented_reasons,RELATEDNESS,46,0.009671993271656855
phase_more_likely_1,FINANCIAL,622,0.13078216989066443
phase_more_likely_1,AUTONOMY,294,0.06181665264928511
phase_more_likely_1,MEANING,293,0.06160639192598823
phase_more_likely_1,SECURITY,246,0.05172413793103448
phase_more_likely_1,PHYSIOLOGICAL,210,0.04415475189234651
phase_more_likely_1,COMPETENCE,191,0.04015979814970563
phase_more_likely_1,STIMULATION,111,0.023338940285954585
phase_more_likely_1,POPULARITY,47,0.009882253994953743
phase_more_likely_1,RELATEDNESS,46,0.009671993271656855
phase_more_likely_2,FINANCIAL,455,0.0956686291000841
phase_more_likely_2,AUTONOMY,228,0.0479394449116905
phase_more_likely_2,MEANING,219,0.0460470984020185
phase_more_likely_2,SECURITY,208,0.04373423044575273
phase_more_likely_2,COMPETENCE,163,0.03427249789739277
phase_more_likely_2,PHYSIOLOGICAL,153,0.032169890664423884
phase_more_likely_2,STIMULATION,87,0.018292682926829267
phase_more_likely_2,RELATEDNESS,55,0.011564339781328847
phase_more_likely_2,POPULARITY,26,0.0054667788057190915
