dataset_source,source_survey,quality_variable,quality_label,n,prop
diego,Survey_September2023_cleaned,phase_implemented_reasons_quality,no_dimension_selected,1899,1
diego,Survey_September2023_cleaned,phase_more_likely_1_quality,no_dimension_selected,1899,1
diego,Survey_September2023_cleaned,phase_more_likely_2_quality,no_dimension_selected,1899,1
diego,Survey_September2023_cleaned,quality_phase_dimension_block,no_phase_dimension_response,1899,1
rv,concerns2,phase_implemented_reasons_quality,no_dimension_selected,100,1
rv,concerns2,phase_more_likely_1_quality,no_dimension_selected,100,1
rv,concerns2,phase_more_likely_2_quality,no_dimension_selected,100,1
rv,concerns2,quality_phase_dimension_block,no_phase_dimension_response,100,1
rv,concerns2;decision,phase_implemented_reasons_quality,complete,15,0.9375
rv,concerns2;decision,phase_implemented_reasons_quality,no_dimension_selected,1,0.0625
rv,concerns2;decision,phase_more_likely_1_quality,complete,13,0.8125
rv,concerns2;decision,phase_more_likely_1_quality,no_dimension_selected,3,0.1875
rv,concerns2;decision,phase_more_likely_2_quality,complete,10,0.625
rv,concerns2;decision,phase_more_likely_2_quality,no_dimension_selected,6,0.375
rv,concerns2;decision,quality_phase_dimension_block,complete,16,1
rv,concerns2;decision;energy_crisis;poverty,phase_implemented_reasons_quality,complete,10,1
rv,concerns2;decision;energy_crisis;poverty,phase_more_likely_1_quality,complete,8,0.8
rv,concerns2;decision;energy_crisis;poverty,phase_more_likely_1_quality,no_dimension_selected,2,0.2
rv,concerns2;decision;energy_crisis;poverty,phase_more_likely_2_quality,complete,7,0.7
rv,concerns2;decision;energy_crisis;poverty,phase_more_likely_2_quality,no_dimension_selected,3,0.3
rv,concerns2;decision;energy_crisis;poverty,quality_phase_dimension_block,complete,10,1
rv,concerns2;decision;poverty,phase_implemented_reasons_quality,complete,9,0.75
rv,concerns2;decision;poverty,phase_implemented_reasons_quality,no_dimension_selected,3,0.25
rv,concerns2;decision;poverty,phase_more_likely_1_quality,complete,6,0.5
rv,concerns2;decision;poverty,phase_more_likely_1_quality,no_dimension_selected,6,0.5
rv,concerns2;decision;poverty,phase_more_likely_2_quality,complete,9,0.75
rv,concerns2;decision;poverty,phase_more_likely_2_quality,no_dimension_selected,3,0.25
rv,concerns2;decision;poverty,quality_phase_dimension_block,complete,12,1
rv,concerns2;energy_crisis,phase_implemented_reasons_quality,no_dimension_selected,4,1
rv,concerns2;energy_crisis,phase_more_likely_1_quality,no_dimension_selected,4,1
rv,concerns2;energy_crisis,phase_more_likely_2_quality,no_dimension_selected,4,1
rv,concerns2;energy_crisis,quality_phase_dimension_block,no_phase_dimension_response,4,1
rv,concerns2;energy_crisis;poverty,phase_implemented_reasons_quality,no_dimension_selected,14,1
rv,concerns2;energy_crisis;poverty,phase_more_likely_1_quality,no_dimension_selected,14,1
rv,concerns2;energy_crisis;poverty,phase_more_likely_2_quality,no_dimension_selected,14,1
rv,concerns2;energy_crisis;poverty,quality_phase_dimension_block,no_phase_dimension_response,14,1
rv,concerns2;poverty,phase_implemented_reasons_quality,no_dimension_selected,4,1
rv,concerns2;poverty,phase_more_likely_1_quality,no_dimension_selected,4,1
rv,concerns2;poverty,phase_more_likely_2_quality,no_dimension_selected,4,1
rv,concerns2;poverty,quality_phase_dimension_block,no_phase_dimension_response,4,1
rv,decision,phase_implemented_reasons_quality,complete,697,0.7727272727272727
rv,decision,phase_implemented_reasons_quality,no_dimension_selected,168,0.18625277161862527
rv,decision,phase_implemented_reasons_quality,too_many_missing,28,0.031042128603104215
rv,decision,phase_implemented_reasons_quality,usable_partial,9,0.009977827050997782
rv,decision,phase_more_likely_1_quality,complete,728,0.8070953436807096
rv,decision,phase_more_likely_1_quality,no_dimension_selected,133,0.14745011086474502
rv,decision,phase_more_likely_1_quality,too_many_missing,30,0.03325942350332594
rv,decision,phase_more_likely_1_quality,usable_partial,9,0.009977827050997782
rv,decision,phase_more_likely_1_quality,no_valid_determinants,2,0.0022172949002217295
rv,decision,phase_more_likely_2_quality,complete,568,0.6297117516629712
rv,decision,phase_more_likely_2_quality,no_dimension_selected,308,0.34146341463414637
rv,decision,phase_more_likely_2_quality,too_many_missing,18,0.019955654101995565
rv,decision,phase_more_likely_2_quality,usable_partial,6,0.0066518847006651885
rv,decision,phase_more_likely_2_quality,no_valid_determinants,2,0.0022172949002217295
rv,decision,quality_phase_dimension_block,complete,827,0.9168514412416852
rv,decision,quality_phase_dimension_block,not_usable,36,0.03991130820399113
rv,decision,quality_phase_dimension_block,no_phase_dimension_response,24,0.026607538802660754
rv,decision,quality_phase_dimension_block,partially_usable,8,0.008869179600886918
rv,decision,quality_phase_dimension_block,usable_partial,7,0.007760532150776054
rv,decision;energy_crisis,phase_implemented_reasons_quality,complete,8,0.8
rv,decision;energy_crisis,phase_implemented_reasons_quality,no_dimension_selected,2,0.2
rv,decision;energy_crisis,phase_more_likely_1_quality,complete,8,0.8
rv,decision;energy_crisis,phase_more_likely_1_quality,no_dimension_selected,2,0.2
rv,decision;energy_crisis,phase_more_likely_2_quality,complete,6,0.6
rv,decision;energy_crisis,phase_more_likely_2_quality,no_dimension_selected,4,0.4
rv,decision;energy_crisis,quality_phase_dimension_block,complete,10,1
rv,decision;energy_crisis;poverty,phase_implemented_reasons_quality,complete,6,0.8571428571428571
rv,decision;energy_crisis;poverty,phase_implemented_reasons_quality,no_dimension_selected,1,0.14285714285714285
rv,decision;energy_crisis;poverty,phase_more_likely_1_quality,complete,6,0.8571428571428571
rv,decision;energy_crisis;poverty,phase_more_likely_1_quality,no_dimension_selected,1,0.14285714285714285
rv,decision;energy_crisis;poverty,phase_more_likely_2_quality,complete,5,0.7142857142857143
rv,decision;energy_crisis;poverty,phase_more_likely_2_quality,no_dimension_selected,2,0.2857142857142857
rv,decision;energy_crisis;poverty,quality_phase_dimension_block,complete,7,1
rv,decision;poverty,phase_implemented_reasons_quality,complete,1,1
rv,decision;poverty,phase_more_likely_1_quality,complete,1,1
rv,decision;poverty,phase_more_likely_2_quality,complete,1,1
rv,decision;poverty,quality_phase_dimension_block,complete,1,1
rv,energy_crisis,phase_implemented_reasons_quality,no_dimension_selected,107,1
rv,energy_crisis,phase_more_likely_1_quality,no_dimension_selected,107,1
rv,energy_crisis,phase_more_likely_2_quality,no_dimension_selected,107,1
rv,energy_crisis,quality_phase_dimension_block,no_phase_dimension_response,107,1
rv,energy_crisis;poverty,phase_implemented_reasons_quality,no_dimension_selected,4,1
rv,energy_crisis;poverty,phase_more_likely_1_quality,no_dimension_selected,4,1
rv,energy_crisis;poverty,phase_more_likely_2_quality,no_dimension_selected,4,1
rv,energy_crisis;poverty,quality_phase_dimension_block,no_phase_dimension_response,4,1
rv,poverty,phase_implemented_reasons_quality,no_dimension_selected,38,1
rv,poverty,phase_more_likely_1_quality,no_dimension_selected,38,1
rv,poverty,phase_more_likely_2_quality,no_dimension_selected,38,1
rv,poverty,quality_phase_dimension_block,no_phase_dimension_response,38,1
why,Investment_Arquetypes_2022,phase_implemented_reasons_quality,no_dimension_selected,1628,1
why,Investment_Arquetypes_2022,phase_more_likely_1_quality,no_dimension_selected,1628,1
why,Investment_Arquetypes_2022,phase_more_likely_2_quality,no_dimension_selected,1628,1
why,Investment_Arquetypes_2022,quality_phase_dimension_block,no_phase_dimension_response,1628,1
