dataset_source,source_survey,score_variable,n_rows,n_valid_score,prop_valid_score,mean_score,sd_score,min_score,max_score
diego,Survey_September2023_cleaned,phase_implemented_reasons_selected_dimension_score_mean,1899,0,0,NA,NA,NA,NA
diego,Survey_September2023_cleaned,phase_more_likely_1_selected_dimension_score_mean,1899,0,0,NA,NA,NA,NA
diego,Survey_September2023_cleaned,phase_more_likely_2_selected_dimension_score_mean,1899,0,0,NA,NA,NA,NA
rv,concerns2,phase_implemented_reasons_selected_dimension_score_mean,100,0,0,NA,NA,NA,NA
rv,concerns2,phase_more_likely_1_selected_dimension_score_mean,100,0,0,NA,NA,NA,NA
rv,concerns2,phase_more_likely_2_selected_dimension_score_mean,100,0,0,NA,NA,NA,NA
rv,concerns2;decision,phase_implemented_reasons_selected_dimension_score_mean,16,15,0.9375,71.03893976393975,9.08029051367211,56.3333333333333,86.14285714285708
rv,concerns2;decision,phase_more_likely_1_selected_dimension_score_mean,16,13,0.8125,72.81582840236686,8.81563458517668,58,93
rv,concerns2;decision,phase_more_likely_2_selected_dimension_score_mean,16,10,0.625,68.42773504273504,15.96893702276949,36.66666666666669,92.2
rv,concerns2;decision;energy_crisis;poverty,phase_implemented_reasons_selected_dimension_score_mean,10,10,1,75.79439393939394,12.701458951995788,48.3,95.6666666666667
rv,concerns2;decision;energy_crisis;poverty,phase_more_likely_1_selected_dimension_score_mean,10,8,0.8,73.66969696969696,11.139899812573985,50,88.1
rv,concerns2;decision;energy_crisis;poverty,phase_more_likely_2_selected_dimension_score_mean,10,7,0.7,70.37380952380953,11.988682383440032,54.1,86.6
rv,concerns2;decision;poverty,phase_implemented_reasons_selected_dimension_score_mean,12,9,0.75,70.91946479446479,9.914979014912786,56.12500000000001,85.71428571428571
rv,concerns2;decision;poverty,phase_more_likely_1_selected_dimension_score_mean,12,6,0.5,70.7517094017094,9.200637775776375,60.8333333333333,83.5
rv,concerns2;decision;poverty,phase_more_likely_2_selected_dimension_score_mean,12,9,0.75,68.27385392385393,9.511662999212016,56.416666666666686,82.09090909090911
rv,concerns2;energy_crisis,phase_implemented_reasons_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
rv,concerns2;energy_crisis,phase_more_likely_1_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
rv,concerns2;energy_crisis,phase_more_likely_2_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
rv,concerns2;energy_crisis;poverty,phase_implemented_reasons_selected_dimension_score_mean,14,0,0,NA,NA,NA,NA
rv,concerns2;energy_crisis;poverty,phase_more_likely_1_selected_dimension_score_mean,14,0,0,NA,NA,NA,NA
rv,concerns2;energy_crisis;poverty,phase_more_likely_2_selected_dimension_score_mean,14,0,0,NA,NA,NA,NA
rv,concerns2;poverty,phase_implemented_reasons_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
rv,concerns2;poverty,phase_more_likely_1_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
rv,concerns2;poverty,phase_more_likely_2_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
rv,decision,phase_implemented_reasons_selected_dimension_score_mean,902,734,0.8137472283813747,67.45160931635726,11.895816761158901,0,100
rv,decision,phase_more_likely_1_selected_dimension_score_mean,902,767,0.8503325942350333,66.9008250079632,11.905801086311607,0,100
rv,decision,phase_more_likely_2_selected_dimension_score_mean,902,592,0.656319290465632,66.92032646876396,12.765453976793928,0,100
rv,decision;energy_crisis,phase_implemented_reasons_selected_dimension_score_mean,10,8,0.8,79.57727272727273,16.146614897106,59.25,100
rv,decision;energy_crisis,phase_more_likely_1_selected_dimension_score_mean,10,8,0.8,69.21180555555556,13.838383867184621,55.3333333333333,100
rv,decision;energy_crisis,phase_more_likely_2_selected_dimension_score_mean,10,6,0.6,68.23842592592592,13.828609235377701,58.8888888888889,91.62499999999999
rv,decision;energy_crisis;poverty,phase_implemented_reasons_selected_dimension_score_mean,7,6,0.8571428571428571,70.42786195286195,14.836489659190683,42.444444444444386,83.25
rv,decision;energy_crisis;poverty,phase_more_likely_1_selected_dimension_score_mean,7,6,0.8571428571428571,63.94166666666666,18.323186586035373,27,75
rv,decision;energy_crisis;poverty,phase_more_likely_2_selected_dimension_score_mean,7,5,0.7142857142857143,76.54807692307692,7.391735849970533,66.87499999999999,84.61538461538458
rv,decision;poverty,phase_implemented_reasons_selected_dimension_score_mean,1,1,1,57.85714285714289,NA,57.85714285714289,57.85714285714289
rv,decision;poverty,phase_more_likely_1_selected_dimension_score_mean,1,1,1,56.1111111111111,NA,56.1111111111111,56.1111111111111
rv,decision;poverty,phase_more_likely_2_selected_dimension_score_mean,1,1,1,74.37499999999999,NA,74.37499999999999,74.37499999999999
rv,energy_crisis,phase_implemented_reasons_selected_dimension_score_mean,107,0,0,NA,NA,NA,NA
rv,energy_crisis,phase_more_likely_1_selected_dimension_score_mean,107,0,0,NA,NA,NA,NA
rv,energy_crisis,phase_more_likely_2_selected_dimension_score_mean,107,0,0,NA,NA,NA,NA
rv,energy_crisis;poverty,phase_implemented_reasons_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
rv,energy_crisis;poverty,phase_more_likely_1_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
rv,energy_crisis;poverty,phase_more_likely_2_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
rv,poverty,phase_implemented_reasons_selected_dimension_score_mean,38,0,0,NA,NA,NA,NA
rv,poverty,phase_more_likely_1_selected_dimension_score_mean,38,0,0,NA,NA,NA,NA
rv,poverty,phase_more_likely_2_selected_dimension_score_mean,38,0,0,NA,NA,NA,NA
why,Investment_Arquetypes_2022,phase_implemented_reasons_selected_dimension_score_mean,1628,0,0,NA,NA,NA,NA
why,Investment_Arquetypes_2022,phase_more_likely_1_selected_dimension_score_mean,1628,0,0,NA,NA,NA,NA
why,Investment_Arquetypes_2022,phase_more_likely_2_selected_dimension_score_mean,1628,0,0,NA,NA,NA,NA
